,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Ungulates,2.00000000,0.75999999,1.00000000,0.75999999,0.40000001,4.00000000,0.73917109,0.10000000,-0.0001000000,-0.00013158
2,"Sm terrestrial mammals",2.29256296,0.75999999,0.18000001,0.13680001,1.29999995,6.50000000,0.92659688,0.20000000,-0.0049999999,-0.03654971
3,Berries,1.00000000,0.75999999,0.60000002,0.45600000,2.00000000,,0.95200962,,-0.0099999998,-0.02192982
4,"Root vegetables",1.00000000,0.75999999,0.50000000,0.38000000,2.00000000,,0.74241161,,-0.0099999998,-0.02631579
5,"Medicinal plants",1.00000000,0.75999999,0.10000000,0.075999998,2.00000000,,0.54205769,,-0.0020000001,-0.02631579
6,Undergrowth,1.00000000,0.75999999,1.00000000,0.75999999,5.00000000,,0.65359998,,-0.025000000,-0.03289474
7,Eagles,3.95235610,1.00000000,0.0000100000,0.0000100000,0.20000000,3.00000000,0.00000000,0.06666667,,
8,"Birds pelagic",3.60918307,0.23999999,0.0001300000,0.0000312000,0.30000001,0.75800002,0.00000000,0.39577839,,
9,Waterfowl,3.22056389,0.23999999,1.79999995,0.43200001,1.00000000,29.1900005,0.79771829,0.03425831,-0.029999999,-0.06944444
10,Whales/dolphins,3.89926791,0.23999999,0.020000000,0.0048000002,0.029999999,13.1000004,0.00000000,0.00229008,,
11,"Sea lions",3.32898593,0.23999999,0.80000001,0.19200000,0.059999999,12.6999998,0.63550347,0.00472441,-0.0049999999,-0.02604167
12,Seals,3.33162403,0.23999999,1.00000000,0.23999999,0.14000000,15.9499998,0.99462032,0.00877743,-0.0003100000,-0.00129167
13,"Salmon shark",4.22327995,0.23999999,0.020000000,0.0048000002,0.20000000,1.20000005,0.00000000,0.16666670,,
14,Dogfish,3.52440095,0.23999999,8.00000000,1.91999996,0.19000000,2.70000005,0.95346069,0.07037037,,
15,Sturgeon,3.25168705,0.23999999,30.0000000,7.19999981,0.059999999,0.89999998,0.92285812,0.06666667,-0.0099999998,-0.00138889
16,"Marine white fish",3.29676890,0.23999999,15.0000000,3.59999990,0.80000001,5.00000000,0.20434719,0.16000000,-0.044300001,-0.01230556
17,Flatfish,3.41879797,0.23999999,12.1000004,2.90400004,0.20000000,1.20000005,0.99804282,0.16666670,-0.0010000000,-0.00034435
18,Anchovy,2.21330190,0.23999999,10.00000000,2.40000010,1.00000000,2.25000000,0.56482857,0.44444439,-0.020000000,-0.00833333
19,Eulachon,2.21330190,0.23999999,5.00000000,1.20000005,1.00000000,5.69999981,0.58518809,0.17543860,-0.0070000002,-0.00583333
20,"Surf smelt",2.21330190,0.23999999,6.00000000,1.44000006,1.00000000,4.19999981,0.66869080,0.23809530,-0.020000000,-0.01388889
21,Herring,3.20718002,0.23999999,55.0000000,13.1999998,1.00000000,2.00000000,0.69538522,0.50000000,-0.086999997,-0.00659091
22,"Pink salmon",3.50474405,0.23999999,2.00000000,0.47999999,0.80000001,8.89999962,0.98200679,0.08988765,-0.0099999998,-0.02083333
23,"Chum salmon juv",3.67695498,0.23999999,0.17500000,0.041999999,1.00000000,13.1499996,0.15360969,0.07604563,-0.0007000000,-0.01666667
24,"Chum salmon ad",3.00000000,0.23999999,10.00000000,2.40000010,1.00000000,7.00185013,0.93134719,0.14281940,-0.035000000,-0.01458333
25,"Sockeye salmon",3.70220208,0.23999999,0.55000001,0.13200000,0.80000001,8.39999962,0.50144422,0.09523810,-0.0018000000,-0.01363636
26,"Coho salmon juv",3.66137910,0.23999999,2.20000005,0.52800000,2.40000010,7.87143183,0.46760589,0.30490011,-0.020000000,-0.03787879
27,"Coho salmon ad",3.00000000,0.23999999,0.37500000,0.090000004,1.29999995,3.24000192,0.57288963,0.40123430,-0.0015000000,-0.01666667
28,"Chinook salmon juv",3.34623694,0.23999999,2.50000000,0.60000002,2.20000005,11.8642902,0.76929092,0.18543039,-0.022150001,-0.03691667
29,"Chinook salmon ad",3.47419810,0.23999999,1.00000000,0.23999999,1.39999998,5.21978998,0.87404251,0.26820999,-0.0010000000,-0.00416667
30,Salmonid,3.34649301,0.23999999,2.00000000,0.47999999,1.10000002,6.50000000,0.91312009,0.16923080,-0.0055000000,-0.01145833
31,Surfperch,3.03265095,0.23999999,1.00000000,0.23999999,1.00000000,2.40000010,0.38144800,0.41666669,,
32,Rockfish,3.16320801,0.23999999,5.00000000,1.20000005,0.18000001,2.59999990,0.79124153,0.06923077,,
33,Sculpin,3.29099011,0.23999999,0.50000000,0.12000000,1.00000000,6.40000010,0.88026500,0.15625000,,
34,Stickleback,3.12117004,0.23999999,1.00000000,0.23999999,1.00000000,10.5000000,0.34929261,0.09523810,,
35,"Misc. prey fish",2.00000000,0.23999999,10.00000000,2.40000010,10.00000000,30.0000000,0.84948832,0.33333331,,
36,"Outside system",2.00000000,0.23999999,50.0000000,12.0000000,10.00000000,30.0000000,0.19932880,0.33333331,,
37,"Zooplankton (carn)",2.96938801,0.23999999,21.0000000,5.03999996,7.00000000,20.0000000,0.92266190,0.34999999,,
38,"Zooplankton (herb)",2.00000000,0.23999999,28.0000000,6.71999979,30.0000000,80.0000000,0.65403539,0.37500000,,
39,Jellyfish,3.08106589,0.23999999,3.00000000,0.72000003,9.60000038,13.0000000,0.73359299,0.73846161,,
40,Octopus/squid,3.34482408,0.23999999,1.00000000,0.23999999,2.59999990,6.40000010,0.51828778,0.40625000,-0.0004430000,-0.00184583
41,Shrimp,2.89081597,0.23999999,10.00000000,2.40000010,1.20000005,9.66699982,0.75727731,0.12413370,,
42,Crabs,2.81901193,0.23999999,13.0000000,3.11999989,1.50000000,3.50000000,0.70785218,0.42857140,,
43,Bivalves,2.24693894,0.23999999,41.0000000,9.84000015,1.20000005,6.00000000,0.86680073,0.20000000,,
44,Echinoderms,2.67868900,0.23999999,30.0000000,7.19999981,0.30000001,1.20000005,0.67457700,0.25000000,,
45,Eelgrass,1.00000000,0.23999999,20.0000000,4.80000019,4.94999981,,0.23281610,,,
46,"Other benthos",2.06650996,0.23999999,50.0000000,12.0000000,4.50000000,15.00000000,0.81930548,0.30000001,,
47,Phytoplankton,1.00000000,0.23999999,37.0000000,8.88000011,130.000000,,0.56959188,,,
48,Macrophytes,1.00000000,0.23999999,11.0000000,2.64000010,9.00000000,,0.81730950,,,
49,Mushrooms,1.00000000,0.75999999,1.20000005,0.91200000,0.050000001,,0.90342963,,-0.0004430000,-0.00048575
50,Terrestrial,1.00000000,0.75999999,10.00000000,7.59999990,,,0.00000000,,,
51,"Cultural shell deposit",1.00000000,0.75999999,50.0000000,38.0000000,,,0.00000000,,,
52,Detritus,1.00000000,0.23999999,10.00000000,2.40000010,,,0.48972389,,,
