,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Sea birds",3.77932310,1.00000000,0.02048893,0.02048893,0.25000000,109.500000,0.50000000,0.00228310,,
2,Mammals,4.30285311,1.00000000,0.03441031,0.03441031,0.10000000,11.7900000,0.50000000,0.00848176,,
3,Billfish,4.19944620,1.00000000,0.08338702,0.08338702,0.30000001,6.40000010,0.80000001,0.04687500,,
4,"Large Tuna",3.64230609,1.00000000,2.22499990,2.22499990,0.89999998,11.5690002,0.82038939,0.07779410,,
5,"Pelagic predato",3.98233008,1.00000000,0.33472261,0.33472261,0.99710000,9.97099972,0.80000001,0.10000000,,
6,"Small tuna",3.34073400,1.00000000,0.71150178,0.71150178,0.98720002,9.87199974,0.89999998,0.10000000,,
7,Jacks,3.29570103,1.00000000,0.65874642,0.65874642,0.65499997,6.55000019,0.90000010,0.10000000,,
8,"Moray eels",3.96055198,1.00000000,0.15999000,0.15999000,0.28000000,2.79999995,0.90000010,0.10000000,,
9,"Pelagic sharks",4.59496212,1.00000000,0.04500956,0.04500956,0.10000000,2.66799998,0.50000000,0.03748126,,
10,Bathydemersal,3.82663989,1.00000000,0.25490490,0.25490490,0.38440001,3.84400010,0.89999992,0.10000000,,
11,"Demersal sharks",3.78604198,1.00000000,0.14094940,0.14094940,0.25999999,2.59999990,0.89999992,0.10000000,,
12,"Demersal predat",3.74765897,1.00000000,0.21600001,0.21600001,0.71899998,3.80599999,0.92938292,0.18891220,,
13,Rays,3.54176402,1.00000000,0.01923870,0.01923870,0.42330000,4.23299980,0.89999998,0.10000000,,
14,"O Demersal fish",3.13466001,1.00000000,1.89300001,1.89300001,0.72700000,5.14200020,0.89004463,0.14138471,,
15,"Demersal fish",3.47025800,1.00000000,1.45599997,1.45599997,0.56199998,5.75899982,0.92813981,0.09758639,,
16,Flatfish,3.34175491,1.00000000,0.00224223,0.00224223,0.71749997,7.17500019,0.89999992,0.10000000,,
17,"Small pelagics",2.95679498,1.00000000,12.0500002,12.0500002,1.13660002,11.3660002,0.95280463,0.10000000,,
18,"Reef feeders",3.39720893,1.00000000,0.39608741,0.39608741,0.58440000,5.84399986,0.89999998,0.10000000,,
19,Sparids,2.81719995,1.00000000,1.84099996,1.84099996,0.68300003,16.2469997,0.86837548,0.04203853,,
20,Flyingfish,3.00000000,1.00000000,0.64563078,0.64563078,1.42999995,14.3000002,0.89999998,0.10000000,,
21,Herbivores,2.00307608,1.00000000,0.96799999,0.96799999,0.58700001,15.8629999,0.81378222,0.03700435,,
22,Turtles,2.75496006,1.00000000,0.12590900,0.12590900,0.15000001,3.50000000,0.50000000,0.04285714,,
23,Crustaceans,2.79819298,1.00000000,13.04811001,13.04811001,1.60000002,10.00000000,0.95000011,0.16000000,,
24,Echinoderms,2.37735605,1.00000000,15.04218960,15.04218960,1.20000005,4.00000000,0.94999993,0.30000001,,
25,Molluscs/Worms,2.27759600,1.00000000,25.84230995,25.84230995,2.50000000,7.00000000,0.94999999,0.35714290,,
26,"Heterotrophic b",2.04399991,1.00000000,12.84331989,12.84331989,3.00000000,12.5000000,0.94999999,0.23999999,,
27,Microfauna,2.00000000,1.00000000,0.43941239,0.43941239,100.0000000,215.000000,0.94999999,0.46511629,,
28,Zooplankton,2.00000000,1.00000000,2.84795094,2.84795094,63.4399986,280.000000,0.94999999,0.22657140,,
29,Phytoplankton,1.00000000,1.00000000,2.74116707,2.74116707,285.000000,,0.94999999,,,
30,"Benthic autotro",1.00000000,1.00000000,20.46353912,20.46353912,13.2500000,,0.50000000,,,
31,Detritus,1.00000000,1.00000000,300.799988,300.799988,,,0.79380268,,,
