,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Minke whales",3.88662100,1.00000000,0.0045300000,0.0045300000,0.098999999,8.42123890,0.00000000,0.01175599,,
2,"Fin whales",3.21527910,1.00000000,0.0061800000,0.0061800000,0.098999999,4.16083908,0.00000000,0.02379328,,
3,"Humpback whales",3.73914504,1.00000000,0.069600001,0.069600001,0.098999999,5.08076620,0.00000000,0.01948525,,
4,"Brydes whales",3.85721493,1.00000000,0.0043199998,0.0043199998,0.050000001,6.26001310,0.00000000,0.00798720,,
5,"Sei whales",3.21708488,1.00000000,0.0008500000,0.0008500000,0.020000000,6.17756081,0.00000000,0.00323752,,
6,"Blue whales",3.20261908,1.00000000,0.0024699999,0.0024699999,0.059999999,3.39775109,0.00000000,0.01765874,,
7,"Sperm whales",4.24182987,1.00000000,0.018820001,0.018820001,0.050000001,5.02988911,0.00000000,0.00994058,,
8,"Killer whales",4.06985617,1.00000000,0.00052632,0.00052632,0.020000000,9.46834278,0.94999999,0.00211230,,
9,"Beaked whales",3.88380289,1.00000000,0.0001300000,0.0001300000,0.035999998,9.93305111,0.00000000,0.00362426,,
10,"Small cetaceans",3.80294609,1.00000000,0.039999999,0.039999999,0.029999999,14.4038897,0.78436041,0.00208277,,
11,Seabirds,3.37064004,1.00000000,0.0002000000,0.0002000000,0.13000000,73.6900024,0.00000000,0.00176415,,
12,"Sea turtles",4.05995321,1.00000000,0.037000000,0.037000000,0.83499998,3.53500009,0.29826269,0.23620930,,
13,"Large tunas and billfishes",3.98213792,1.00000000,0.027200000,0.027200000,2.34999990,15.5299997,0.34154439,0.15132000,,
14,"Small tunas",3.59831500,1.00000000,0.01448168,0.01448168,2.50000000,25.0000000,0.94999993,0.10000000,,
15,Dolphinfish,4.43660307,1.00000000,0.027799999,0.027799999,4.71999979,20.0000000,0.74063689,0.23600000,,
16,Flyingfishes,3.28497601,1.00000000,0.20800000,0.20800000,4.00000000,24.7600002,0.54250222,0.16155089,,
17,"Other offshore predators",2.05250907,1.00000000,1.62699997,1.62699997,1.86300004,9.27000046,0.16932219,0.20097090,,
18,"Pelagic sharks",4.28276777,1.00000000,0.011600000,0.011600000,0.40000001,10.00000000,0.26485541,0.04000000,,
19,"Coastal & demersal sharks and rays",3.74723697,1.00000000,0.039999999,0.039999999,0.11200000,1.79999995,0.59598207,0.06222223,,
20,Scombrids,4.08799219,1.00000000,0.066000000,0.066000000,6.21999979,10.3100004,0.06062768,0.60329771,,
21,"Small & Schooling pelagics",3.21938396,1.00000000,16.5750008,16.5750008,2.94000006,23.6499996,0.45918190,0.12431290,,
22,"Reef fishes",2.94478989,1.00000000,8.89930725,8.89930725,3.14000010,21.0000000,0.94999999,0.14952379,,
23,"Coastal predators",3.40459299,1.00000000,1.25999999,1.25999999,2.39000010,7.21999979,0.20341380,0.33102489,,
24,Cephalopods,3.24623609,1.00000000,5.00000000,5.00000000,4.72499990,19.3999996,0.45371991,0.24355669,,
25,"Crustaceans and benthos",2.10226107,1.00000000,46.79356003,46.79356003,20.0000000,76.1849976,0.94999999,0.26251891,,
26,Zooplankton,2.20261908,1.00000000,49.6360016,49.6360016,12.8999996,57.7000008,0.82849389,0.22357020,,
27,"Benthic producers",1.00000000,1.00000000,17.39590073,17.39590073,71.7500000,,0.60000002,,,
28,Phytoplankton,1.00000000,1.00000000,76.91999817,76.91999817,42.7999992,,0.60000002,,,
29,Detritus2,1.00000000,1.00000000,600.000000,600.000000,0.16339870,,0.85072160,,,
