,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Plunge and pursuit divers seabirds",4.32245302,1.00000000,0.0010000000,0.0010000000,,0.15300000,135.263000,0.00000000,0.00113113,,
2,"Surface feeders seabirds",3.67273307,1.00000000,0.0020000001,0.0020000001,,0.24699999,114.464996,0.00000000,0.00215787,,
3,"Baleen whales",3.94167495,1.00000000,0.065135382,0.065135382,,0.035000000,4.77461100,0.00000000,0.00733044,,
4,"Toothed whales",4.65823412,1.00000000,0.032677811,0.032677811,,0.13500001,11.9983997,0.00000000,0.01125150,,
5,"Sharks L",4.76501083,1.00000000,0.07873587,0.07873587,,0.15000001,1.79999995,0.60000002,0.08333334,,
6,Sharks/rays,4.09833717,1.00000000,0.33398610,0.33398610,,0.34999999,3.50000000,0.80000007,0.10000000,,
7,Anglerfish,4.51905012,1.00000000,0.42646909,0.42646909,,0.40000001,2.40000010,0.80000007,0.16666670,,
8,"Sea bass",4.32827282,1.00000000,0.031799350,0.031799350,,0.41100001,3.75399995,0.93257499,0.10948320,,
,Cod,,,,,,,,,,,
9,"Cod ad",4.27523804,1.00000000,0.072323091,0.072323099,0.58399999,,3.78757811,0.91084301,0.15418831,,
10,"Cod juvenile",3.99042606,1.00000000,0.0099633848,0.0099633848,0.87550002,,9.14076233,0.90241808,0.09577976,,
11,"Blue whitting",3.68628097,1.00000000,0.47709301,0.47709301,,0.36700001,1.83500004,0.94999999,0.20000000,,
,Hake,,,,,,,,,,,
12,"Hake adulte",4.48069715,1.00000000,0.30993161,0.30993170,0.77100003,,2.52039504,0.83980012,0.30590439,,
13,"Hake juvenile",4.14278793,1.00000000,0.074380927,0.074380927,1.20000005,,6.20200014,0.94568068,0.19348601,,
14,Haddock,3.55314493,1.00000000,0.32149240,0.32149240,,0.38000000,3.33100009,0.96022862,0.11407980,,
15,Whitting,4.20244598,1.00000000,0.69070822,0.69070822,,0.28999999,4.70800018,0.88080209,0.06159728,,
16,Megrim,4.32694197,1.00000000,0.29221129,0.29221129,,0.40000001,2.00000000,0.89999998,0.20000000,,
17,Sole,3.22899604,1.00000000,0.039999999,0.039999999,,0.49200001,3.70000005,0.89527309,0.13297300,,
18,Boarfish,3.64805293,1.00000000,2.13715005,2.13715005,,0.69499999,6.62077808,0.93417609,0.10497260,,
19,Plaice,3.15050006,1.00000000,0.049516968,0.049516968,,0.80000001,3.42000008,0.96932280,0.23391810,,
20,"Demersal L",3.88009095,1.00000000,0.63762528,0.63762528,,0.34400001,1.72000003,0.85000008,0.20000000,,
21,"Demersal M",3.55301404,1.00000000,1.59701204,1.59701204,,0.50000000,2.50000000,0.95000011,0.20000000,,
22,"Demersal S",3.26738691,1.00000000,1.12820601,1.12820601,,1.10000002,4.40000010,0.95000011,0.25000000,,
23,"Horse Mackerel",3.60397696,1.00000000,1.48938894,1.48938894,,0.60000002,2.40000010,0.89879578,0.25000000,,
24,Mackerel,3.65844297,1.00000000,0.44456971,0.44456971,,0.56000000,2.24000001,0.96182728,0.25000000,,
25,Sprat,3.47689509,1.00000000,0.51310867,0.51310867,,1.02999997,4.11999989,0.94999993,0.25000000,,
26,Herring,3.49106312,1.00000000,0.70395482,0.70395482,,0.77999997,4.59000015,0.86667860,0.16993460,,
27,Sardine,3.42252994,1.00000000,0.49961141,0.49961141,,0.83999997,6.80000019,0.92133129,0.12352940,,
28,Pouts,3.79545498,1.00000000,0.68124849,0.68124849,,1.39999998,7.00000000,0.94999993,0.20000000,,
29,"Pelagic L",4.31180477,1.00000000,0.11281950,0.11281950,,0.40000001,4.13000011,0.89999998,0.09685230,,
30,"Pelagic M",3.54330611,1.00000000,0.57668543,0.57668543,,0.73000002,4.92000008,0.94999999,0.14837401,,
31,Cephalopods,3.67807102,1.00000000,0.31104800,0.31104800,,3.11999989,10.39999962,0.94999993,0.30000001,,
32,"Norway lobster",3.24576807,1.00000000,0.12561899,0.12561899,,0.69999999,3.40000010,0.80000007,0.20588230,,
33,Lobsters/Crabs,3.47753501,1.00000000,0.60928291,0.60928291,,1.20000005,8.00000000,0.80000001,0.15000001,,
34,Shrimps,2.98640299,1.00000000,2.85799003,2.85799003,,3.00000000,20.00000000,0.94999993,0.15000001,,
35,"Carnivorous and necrophagous invertebrates",3.15644002,1.00000000,12.91271019,12.91271019,,1.88499999,12.56667042,0.69999999,0.15000001,,
36,"Sub-surface deposit feeders invertebrates",2.45199990,1.00000000,31.98241997,31.98241997,,1.60000002,8.00000000,0.69999999,0.20000000,,
37,"Surface suspension and deposit feeders",2.04999995,1.00000000,31.02346992,31.02346992,,2.79999995,14.00000000,0.80000001,0.20000000,,
38,"Benthic meiofauna",2.09999990,1.00000000,13.59300995,13.59300995,,10.00000000,50.00000000,0.89999998,0.20000000,,
39,"Suprabenthic invertebrates",2.13102889,1.00000000,0.32565129,0.32565129,,20.0000000,100.00000000,0.89999998,0.20000000,,
40,Macrozooplankton,2.65514398,1.00000000,3.13393807,3.13393807,,10.5000000,38.0000000,0.94999999,0.27631581,,
41,Mesozooplankton,2.46751404,1.00000000,4.92601109,4.92601109,,16.4500008,80.0000000,0.89999992,0.20562500,,
42,Microzooplankton,2.15306091,1.00000000,5.32307577,5.32307577,,45.0499992,316.000000,0.89999998,0.14256330,,
43,Bacteria,2.00000000,1.00000000,0.82454169,0.82454169,,500.000000,1428.57104492,0.80999988,0.34999999,,
44,"Phytoplankton L",1.00000000,1.00000000,9.55124569,9.55124569,,119.000000,,0.80000001,,,
45,"Phytoplankton S",1.00000000,1.00000000,6.13263083,6.13263083,,151.000000,,0.60000002,,,
46,"Benthic producers",1.00000000,1.00000000,0.31791970,0.31791970,,4.50000000,,0.20000000,,,
47,Discards,1.00000000,1.00000000,1.00000000,1.00000000,,,,,,,
48,Detritus,1.00000000,1.00000000,325.700012,325.700012,,,,0.97849911,,,
