,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",4.03284979,1.00000000,0.020641999,0.020641999,0.020000000,4.39438295,0.70830780,0.00455126,,
2,"Toothed whales",5.01588917,1.00000000,0.042855900,0.042855900,0.020000000,6.68902302,0.43188101,0.00298997,,
3,"Beaked whales",4.87816906,1.00000000,0.0004492180,0.0004492180,0.020000000,8.80568314,0.31907010,0.00227126,,
4,Seabirds,4.00355911,1.00000000,0.0001250510,0.0001250510,0.078353919,73.5619278,0.31016269,0.00106514,,
5,"Pelagic sharks",4.72697592,1.00000000,0.00172406,0.00172406,0.38999999,10.00000000,0.89999992,0.03900000,,
6,Yellowfin,4.56151581,1.00000000,0.0000780207,0.0000780207,1.04999995,15.5299997,0.39606711,0.06761108,,
7,Bluefin,4.31028986,1.00000000,0.0000078129,0.0000078129,0.50000000,4.00000000,0.76413310,0.12500000,,
8,Skipjack,4.28438711,1.00000000,0.0026044711,0.0026044711,1.35000002,19.6100006,0.37794739,0.06884243,,
9,Albacore,4.59102297,1.00000000,0.0001553950,0.0001553950,0.80000001,9.60000038,0.96344978,0.08333333,,
10,Bigeye,4.39492321,1.00000000,0.0089415060,0.0089415060,0.75000000,17.1599998,0.55477148,0.04370629,,
11,Swordfish,4.86761284,1.00000000,0.0003023260,0.0003023260,0.69999999,4.00000000,0.71510041,0.17500000,,
12,Billfishes,5.01485109,1.00000000,0.0016564660,0.0016564660,0.41587061,4.13698387,0.48116881,0.10052510,,
13,"Lg. Plank. fish",4.07721186,1.00000000,0.00153934,0.00153934,0.11200000,1.79999995,0.10000000,0.06222223,,
14,"Lg. Epi. fish",4.34072304,1.00000000,0.01111438,0.01111438,0.69300002,8.93769264,0.89999998,0.07753679,,
15,"Md. Epi. fish",3.91634011,1.00000000,0.04477997,0.04477997,1.08000004,7.67083311,0.89999998,0.14079310,,
16,"Sm. Epi. fish",3.16496205,1.00000000,0.62889498,0.62889498,2.05333304,12.5488901,0.89999998,0.16362670,,
17,"Lg. Meso fish",4.33366919,1.00000000,0.00055815,0.00055815,0.15000001,3.54999995,0.89999998,0.04225352,,
18,"Sm. Meso fish",3.20916104,1.00000000,3.25385404,3.25385404,3.75714302,18.2500000,0.15472880,0.20587090,,
19,"Sm. Bathyp. fish",3.16093802,1.00000000,0.02071543,0.02071543,1.03999996,3.65000010,0.89999998,0.28493151,,
20,"Md. Bathyp.fish",3.57013607,1.00000000,0.02237692,0.02237692,0.19000000,0.28999999,0.89999992,0.65517241,,
21,"Lg. Bathyp. fish",3.14775801,1.00000000,0.00553516,0.00553516,0.27000001,0.49000001,0.89999992,0.55102038,,
22,"Sm. Bathyd. slp",3.66933703,1.00000000,0.015937470,0.015937470,0.35473680,0.64497608,0.68215889,0.55000001,,
23,"Lg. Bathyd. slp",3.85349202,1.00000000,0.018835191,0.018835191,0.16000000,0.29090911,0.60741508,0.55000001,,
24,"Sm. Bathyd. abs",3.18906593,1.00000000,0.093451723,0.093451723,0.34250000,0.62272727,0.52122098,0.55000001,,
25,"Lg. Bathyd. abs",2.86146998,1.00000000,0.14593831,0.14593831,0.20222220,0.36767679,0.52555192,0.54999989,,
26,"Sm Squids",3.89956093,1.00000000,0.22625910,0.22625910,4.59999990,36.5000000,0.90000010,0.12602741,,
27,"Lg Squids",4.41517019,1.00000000,0.06735694,0.06735694,4.59999990,36.5000000,0.89999998,0.12602741,,
28,"Benth. ceph.",3.72437310,1.00000000,0.00509896,0.00509896,1.14999998,2.29999995,0.89999998,0.50000000,,
29,Meiobenthos,2.56472707,1.00000000,0.98400003,0.98400003,2.25000000,22.6499996,0.24403560,0.09933775,,
30,Macrobenthos,2.57822299,1.00000000,0.36899999,0.36899999,1.00000000,9.85000038,0.18112350,0.10152280,,
31,Megabenthos,2.47823596,1.00000000,0.39399999,0.39399999,1.10000002,6.69999981,0.08909688,0.16417910,,
32,"Het. bacteria",2.00000000,1.00000000,22.5429993,22.5429993,18.4500008,25.0000000,0.62407547,0.73799998,,
33,"Sm. Zoop. shlw",2.06060600,1.00000000,66.0000000,66.0000000,17.2999992,57.7000008,0.70415282,0.29982671,,
34,"Lg. Zoop. shlw",3.07070708,1.00000000,17.5676804,17.5676804,8.69999981,29.0000000,0.12343140,0.30000001,,
35,"Sm. Zoop. deep",2.24808693,1.00000000,18.8585796,18.8585796,17.2999992,57.7000008,0.41850099,0.29982671,,
36,"Lg. Zoop. deep",2.99971795,1.00000000,5.93174696,5.93174696,8.69999981,29.0000000,0.05967378,0.30000001,,
37,Phytoplankton,1.00000000,1.00000000,20.2500000,20.2500000,146.382507,,0.77733088,,,
38,Detritus,1.00000000,1.00000000,,,,,0.97443372,,142.62260437,-0.01426368
