,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cyanobacteria,1.00000000,1.00000000,3.40000010,3.40000010,,160.000000,,0.07401931,,,
2,"spring phytoplankton",1.00000000,1.00000000,2.79999995,2.79999995,,117.000000,,0.51577759,,,
3,"other phytoplankton",1.00000000,1.00000000,4.50000000,4.50000000,,135.000000,,0.99223328,,,
4,microzooplankton,2.00000000,1.00000000,3.09999990,3.09999990,,110.000000,275.000000,0.49709389,0.40000001,,
5,"Temora sp",2.20000005,1.00000000,1.89999998,1.89999998,,26.0000000,83.0000000,0.46258199,0.31325299,,
6,"Acartia sp",2.20000005,1.00000000,1.35000002,1.35000002,,25.0000000,83.0000000,0.35487390,0.30120480,,
7,"Pseudocalanus sp.",2.29999995,1.00000000,4.38999987,4.38999987,,8.00000000,27.0000000,0.50643158,0.29629630,,
8,"other mesozooplankton",2.20000005,1.00000000,4.00000000,4.00000000,,30.0000000,100.0000000,0.07658789,0.30000001,,
9,Mysids,2.53888893,1.00000000,2.03521800,2.03521800,,7.30000019,15.0000000,0.75000012,0.48666671,,
10,meiozoobenthos,2.00000000,1.00000000,4.80000019,4.80000019,,6.17000008,31.1666698,0.66507792,0.19796790,,
11,macrozoobenthos,2.09793806,1.00000000,27.2999992,27.2999992,,1.91999996,11.1000004,0.25041899,0.17297301,,
,Sprat,,,,,,,,,,,
12,"Sprat 0 / Sprat 1",3.22008109,1.00000000,0.92244852,0.92244852,1.98000002,,10.9921703,0.60709262,0.18012820,0.015681630,0.01700001
13,"Ad. Sprat",3.23211908,1.00000000,4.21316099,4.21316719,0.60000002,,4.75004005,0.76378232,0.12631470,0.071623750,0.01699998
,Herring,,,,,,,,,,,
14,"Herring 0 / Herring 1 / Herring",3.32147908,1.00000000,3.97413611,3.97413611,1.94550002,,4.84975719,0.29690021,0.40115410,-0.035767220,-0.00900000
15,"Ad. Herring",3.34945393,1.00000000,5.61942101,5.61942005,0.41600001,,2.00000095,0.66583622,0.20799990,-0.050574780,-0.00900000
,Cod,,,,,,,,,,,
16,"Cod larvae",3.27999997,1.00000000,0.0016055621,0.0016055621,13.0000000,,74.7076263,0.95881659,0.17401171,0.0005832718,0.36328200
17,"Cod 0 / Cod 1",3.37698293,1.00000000,0.27009380,0.27009380,0.89999998,,11.2051601,0.85728198,0.08032014,0.098120213,0.36328200
18,"Cod 2 / Cod 3",3.85448098,1.00000000,1.01949894,1.01949894,0.62000000,,5.33692312,0.43729490,0.11617180,0.37036559,0.36328211
19,"Ad. Cod",4.07345295,1.00000000,0.49000040,0.49000069,0.92000002,,3.49999499,0.82872540,0.26285759,0.17800830,0.36328170
20,Seals,4.58483887,1.00000000,0.0006000000,0.0006000000,,0.10000000,12.7700005,0.00000000,0.00783085,,
21,"Detritus-water column",1.00000000,1.00000000,3255.81006,3255.81006,,0.93086052,0.72049999,0.65375972,,,
22,Detritus-sediment,1.00000000,1.00000000,4651.16992,4651.16992,,,,0.87821740,,,
