,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Sea mammals",4.00182199,1.00000000,0.015000000,0.015000000,2.16499996,29.3040009,0.00000000,0.07388069,,
2,"Sea birds",3.85083890,1.00000000,0.013000000,0.013000000,0.39100000,89.0319977,0.00000000,0.00439168,,
3,Sciaenidae,3.47486901,1.00000000,0.30877531,0.30877531,0.79100001,4.41699982,0.94099998,0.17908080,,
4,Scombridae,3.66674089,1.00000000,0.29528540,0.29528540,0.86400002,7.26499987,0.95999998,0.11892640,,
5,"Sharks / Rays",3.90072799,1.00000000,0.17852969,0.17852969,0.46500000,9.47999954,0.73600000,0.04905064,,
6,Squid,3.70210505,1.00000000,1.13985598,1.13985598,3.16300011,19.2649994,0.82499999,0.16418380,,
7,Carangidae,3.51980901,1.00000000,0.92070132,0.92070132,0.63499999,3.20400000,0.96700019,0.19818980,,
8,Serranidae,3.44485211,1.00000000,0.32699999,0.32699999,1.32299995,6.44399977,0.90210652,0.20530730,,
9,Scorp/Triglidae,3.33331299,1.00000000,0.11200000,0.11200000,0.82099998,3.88299990,0.79143220,0.21143450,,
10,"Other fish",3.19114304,1.00000000,2.20530295,2.20530295,1.52800000,7.95400000,0.93300003,0.19210459,,
11,Haemulidae,3.24943590,1.00000000,0.33700001,0.33700001,1.47399998,8.56700039,0.49699119,0.17205560,,
12,Clupaeidae,3.01902509,1.00000000,10.66858006,10.66858006,3.30900002,10.5559998,0.93999988,0.31347099,,
13,Lutjanidae,2.91007996,1.00000000,0.17416100,0.17416100,0.60100001,5.08799982,0.94900012,0.11812110,,
14,Paralichthydae,2.70146799,1.00000000,0.54339123,0.54339123,0.58399999,2.98699999,0.96499997,0.19551390,,
15,"Other molluscs",2.84419203,1.00000000,0.68599999,0.68599999,2.01799989,8.75199986,0.98413640,0.23057590,,
16,Myctophidae,2.73992205,1.00000000,0.86488312,0.86488312,1.45599997,7.93699980,0.80299997,0.18344460,,
17,"Other macrocrus",2.77080894,1.00000000,0.49273381,0.49273381,2.33699989,7.93800020,0.95800000,0.29440659,,
18,"Red crab",2.45946598,1.00000000,0.059000000,0.059000000,6.73400021,24.5470009,0.26411030,0.27433091,,
19,Shrimp,2.32359099,1.00000000,0.50201792,0.50201792,5.87500000,20.1399994,0.92000002,0.29170811,,
20,Crabs,2.36535406,1.00000000,0.35326651,0.35326651,2.63800001,9.07199955,0.96399993,0.29078481,,
21,Polychaeta,2.25991607,1.00000000,0.62011278,0.62011278,4.28299999,20.6110001,0.95100009,0.20780170,,
22,Stomatopods,2.20855999,1.00000000,0.01871599,0.01871599,2.16799998,8.74699974,0.94400001,0.24785639,,
23,Zooplankton,2.18906093,1.00000000,20.1749992,20.1749992,24.4580002,97.7040024,0.88060242,0.25032750,,
24,Meiobenthos,2.04384089,1.00000000,1.64804602,1.64804602,8.44400024,52.9280014,0.93400002,0.15953749,,
25,Phytoplankton,1.00000000,1.00000000,26.14012909,26.14012909,66.3960037,,0.89999992,,,
26,"Discarded fish",1.00000000,1.00000000,0.64700001,0.64700001,,,,,-3.52518010,-5.44850111
27,Detritus,1.00000000,1.00000000,2.00000000,2.00000000,,,0.33049321,,927.93902588,463.96951294
