,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large sharks",4.17046881,1.00000000,0.054000001,0.054000001,0.11400000,1.85000002,0.00162371,0.06162162,,
2,Barracudas,4.14001703,1.00000000,0.054400001,0.054400001,0.18000001,3.50000000,0.01020791,0.05142858,,
3,"Australian Sea Lion",3.97438788,1.00000000,0.0086000003,0.0086000003,0.19000000,24.7000008,0.63950253,0.00769231,,
4,"Bottlenose Dolphin",3.73640299,1.00000000,0.082300000,0.082300000,0.079999998,21.6700001,0.13129890,0.00369174,,
5,Tailors,3.66458106,1.00000000,0.17900001,0.17900001,0.70999998,19.5000000,0.02324551,0.03641025,,
6,Cormorants,3.58545589,1.00000000,0.039000001,0.039000001,0.090000004,57.6599998,0.06685209,0.00156087,,
7,Squids,3.58886909,1.00000000,1.32177401,1.32177401,0.83999997,16.6399994,0.94999999,0.05048077,,
8,"Australian Pelican",3.40685010,1.00000000,0.018999999,0.018999999,0.090000004,69.9599991,0.13722271,0.00128645,,
9,"Gulls and Terns",3.34785104,1.00000000,0.010160000,0.010160000,0.14000000,69.9599991,0.31041059,0.00200114,,
10,"Little Penguin",3.33136606,0.10000000,0.020700000,0.0020699999,0.19000000,30.1000004,0.21979950,0.00631229,,
11,"Scaly Mackerel",3.37104988,1.00000000,0.12899999,0.12899999,1.88999999,17.2000008,0.65871680,0.10988370,,
12,"Small sharks",3.30373597,1.00000000,0.0028100000,0.0028100000,0.36100000,2.09999990,0.40854400,0.17190480,,
13,"Yellowtail Scad",3.26803398,1.00000000,0.31990001,0.31990001,0.44000000,4.69999981,0.49621451,0.09361702,,
14,Cuttlefish,3.24922204,1.00000000,0.051890001,0.051890001,0.83999997,16.6399994,0.69860572,0.05048077,,
15,Trevallies,3.25878501,0.10000000,94.9700089,9.49700069,0.31999999,4.90000010,0.30471170,0.06530612,,
16,Flounders,3.18898010,1.00000000,3.43799996,3.43799996,0.86000001,7.09999990,0.61200207,0.12112680,,
17,"Pink Snapper adult",3.04363394,1.00000000,0.34470001,0.34470001,1.10000002,2.09999990,0.26137289,0.52380961,,
18,"Pink Snapper pre-spawner",3.02846408,1.00000000,0.18644130,0.18644130,0.47000000,4.50000000,0.94999999,0.10444440,,
19,"King George Whiting",3.00185204,1.00000000,0.94900000,0.94900000,0.41000000,11.3999996,0.28637210,0.03596491,,
20,"Whiting Species",3.00115204,1.00000000,20.7000008,20.7000008,0.51999998,16.2999992,0.58187449,0.03190184,,
21,"Small pelagics",3.05173612,1.00000000,7.15380001,7.15380001,0.11000000,8.10000038,0.34470999,0.01358025,,
22,"Western Australian Octopus",2.90561700,1.00000000,0.086599998,0.086599998,1.10000002,7.30000019,0.94538039,0.15068489,,
23,Grunters,2.88026690,1.00000000,1.10140002,1.10140002,1.12000000,7.80000019,0.41698530,0.14358971,,
24,Pipefishes,2.88602996,1.00000000,0.091200002,0.091200002,0.80000001,31.6000004,0.00000000,0.02531646,,
25,Gurnards,2.86082101,1.00000000,0.19000000,0.19000000,0.80000001,11.8900003,0.25129959,0.06728343,,
26,Weedfish,2.65924001,1.00000000,0.22100000,0.22100000,1.85000002,18.2000008,0.13987960,0.10164830,,
27,Soldiers,2.63900709,1.00000000,0.89700001,0.89700001,0.47999999,6.30000019,0.21940941,0.07619047,,
28,"PInk Snapper  juvenile",2.54469395,1.00000000,0.04387944,0.04387944,1.58000004,6.69999981,0.94999993,0.23582090,,
29,"Other seabirds",2.61706996,1.00000000,0.0005000000,0.0005000000,0.12000000,37.7000008,0.00000000,0.00318302,,
30,Rays,2.46697092,1.00000000,6.77260017,6.77260017,0.32600001,4.11999989,0.00022528,0.07912622,,
31,Dragonets,2.59011507,1.00000000,1.38000000,1.38000000,0.83999997,22.7000008,0.37362960,0.03700440,,
32,"Southern Garfish",2.55694008,1.00000000,0.28520000,0.28520000,0.89999998,13.6000004,0.68487871,0.06617647,,
33,Wrasses,2.40249705,1.00000000,0.81300002,0.81300002,0.47000000,11.5000000,0.54863077,0.04086956,,
34,Butterfishes,2.30960703,0.10000000,30.7770004,3.07769990,1.12000000,14.3999996,0.81785500,0.07777778,,
35,"Demersal fish",2.28254795,1.00000000,111.588997,111.588997,0.17000000,4.69999981,0.84506351,0.03617021,,
36,"Common Silverbelly",2.20869207,1.00000000,0.14100000,0.14100000,0.98000002,14.6999998,0.53629798,0.06666667,,
37,Goatfishes,2.18147302,1.00000000,0.82300001,0.82300001,1.09000003,7.36000013,0.72562510,0.14809780,,
38,"Blue Sprat",2.28362608,1.00000000,23.6240005,23.6240005,1.20000005,31.0000000,0.90026641,0.03870968,,
