,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,20.1299992,20.1299992,180.692001,,0.58137602,,,
2,Bacteria,2.00000000,1.00000000,3.82699990,3.82699990,91.2500000,182.50000000,0.87792617,0.50000000,,
3,Microzooplankton,2.21942592,1.00000000,3.16100001,3.16100001,72.0000000,242.423996,0.53689462,0.29700029,,
4,"Small Copepods",2.10366893,1.00000000,7.80900002,7.80900002,42.5769997,127.750000,0.97770143,0.33328381,,
5,"Large Copepods",2.23333502,1.00000000,7.63299990,7.63299990,48.5229988,109.500000,0.89684522,0.44313240,,
6,"Gelatinous Zooplankton",2.93354607,1.00000000,1.01300001,1.01300001,37.9669991,145.326004,0.66709888,0.26125401,,
7,Micronekton,2.72991610,1.00000000,7.65399981,7.65399981,14.2500000,85.4970016,0.78745341,0.16667250,,
8,"Macrobenthos polychaete",2.33923507,1.00000000,14.6820002,14.6820002,2.51399994,17.5000000,0.98188162,0.14365710,,
9,"Macrobenthos crustaceans",2.61710000,1.00000000,5.89599991,5.89599991,3.06200004,21.0000000,0.79276621,0.14580950,,
10,"Macrobenthos mollusks",2.28082800,1.00000000,8.34000015,8.34000015,2.04299998,13.9490004,0.94412899,0.14646210,,
11,"Macrobenthos others",2.48139596,1.00000000,8.89900017,8.89900017,2.01900005,16.0590000,0.94718450,0.12572390,,
12,"Megabenthos filters",2.10800910,1.00000000,2.99699998,2.99699998,3.93799996,16.5119991,0.20208880,0.23849320,,
13,"Megabenthos others",2.96808791,1.00000000,4.49800014,4.49800014,1.89800000,9.53299999,0.63358438,0.19909790,,
14,Shrimp,2.79930210,1.00000000,1.96000004,1.96000004,1.00000000,5.00000000,0.49765509,0.20000000,,
15,Mesopelagic,3.26515198,1.00000000,0.15099999,0.15099999,0.64999998,1.82500005,0.74906921,0.35616440,,
16,"Atlantic herring",3.51244593,1.00000000,6.19612503,6.19612503,0.62000000,4.59000015,0.61446881,0.13507630,,
17,Alosines,3.39854288,1.00000000,0.075999998,0.075999998,1.29999995,9.39999962,0.90322489,0.13829790,,
18,"Small Atlantic menhaden",2.49839807,1.00000000,1.58092105,1.58092105,1.50000000,15.8599997,0.53624523,0.09457756,,
19,"Medium Atlantic menhaden",2.64015698,1.00000000,2.87792397,2.87792397,0.93000001,7.00888300,0.49736869,0.13268881,,
20,"Large Atlantic menhaden",2.78241396,1.00000000,0.48802021,0.48802021,0.89999998,4.37766600,0.85716248,0.20558900,,
21,Anchovies,3.69742608,1.00000000,2.31995392,2.31995392,3.00000000,10.8999996,0.75590342,0.27522939,,
22,Mackerel,3.83117008,1.00000000,0.77399999,0.77399999,0.38900000,1.97800004,0.99672192,0.19666331,,
23,Squid,3.71191311,1.00000000,1.06200004,1.06200004,0.97899997,2.70300007,0.82665431,0.36219010,,
24,Butterfish,3.58905792,1.00000000,0.89800000,0.89800000,1.26999998,1.97800004,0.41772020,0.64206272,,
25,"Small pelagics",3.36809707,1.00000000,0.28999999,0.28999999,0.97000003,4.00000000,0.88617611,0.24250001,,
26,"Small bluefish",4.36324310,1.00000000,0.045000002,0.045000002,0.51435292,18.1112995,0.93724948,0.02839956,,
27,"Medium bluefish",4.43659210,1.00000000,0.059000000,0.059000000,0.51013118,3.52876306,0.66771448,0.14456370,,
28,"Large bluefish",4.63528585,1.00000000,0.19300000,0.19300000,0.49225539,1.93327904,0.14316660,0.25462201,,
29,"Small striped bass",3.98937011,1.00000000,0.066181943,0.066181943,0.25047621,23.2700005,0.78160250,0.01076391,,
30,"Medium striped bass",4.04709816,1.00000000,0.36532831,0.36532831,0.24793839,6.34553909,0.19228600,0.03907286,,
31,"Large striped bass",4.22691393,1.00000000,0.28803220,0.28803220,0.24001449,3.19393110,0.19872190,0.07514705,,
32,"Small weakfish",4.07471514,1.00000000,0.15500000,0.15500000,0.44977379,13.5248203,0.92488098,0.03325544,,
33,"Medium weakfish",4.27549314,1.00000000,0.30300000,0.30300000,0.43030709,4.21579313,0.08717532,0.10207030,,
34,"Large weakfish",4.35229921,1.00000000,0.035999998,0.035999998,0.42383471,2.44866300,0.48103699,0.17308819,,
35,"Small dogfish",4.05627012,1.00000000,0.47147360,0.47147360,0.24732110,1.47317696,0.78507310,0.16788280,,
36,"Large dogfish",4.09457016,1.00000000,2.70000005,2.70000005,0.24445850,0.60610002,0.06729130,0.40333030,,
37,"Small cod",3.62652206,1.00000000,0.026592880,0.026592880,0.47936881,6.90679216,0.80598682,0.06940542,,
38,"Medium cod",3.91939402,1.00000000,0.083595403,0.083595403,0.45990780,3.49429202,0.96498740,0.13161691,,
39,"Large cod",4.19454813,1.00000000,0.084328987,0.084328987,0.43484041,2.25999999,0.95769089,0.19240730,,
40,Haddock,3.68870091,1.00000000,0.60299999,0.60299999,0.45300001,3.00000000,0.44775829,0.15099999,,
41,Hake,3.81113195,1.00000000,0.82700002,0.82700002,1.11500001,3.84999990,0.64116400,0.28961039,,
42,Croaker,3.59003806,1.00000000,0.81573021,0.81573021,0.44999999,0.90499997,0.32682171,0.49723759,,
43,"Small yellowtail flounder",3.59735799,1.00000000,0.043892689,0.043892689,1.07371902,4.40914202,0.16985700,0.24352109,,
44,"Large yellowtail flounder",3.49030590,1.00000000,0.11115320,0.11115320,1.09973502,2.90000010,0.46284989,0.37921900,,
45,"Small summer  flounder",4.24501705,1.00000000,0.029937960,0.029937960,0.56362188,4.40914202,0.64318800,0.12783030,,
46,"Large summer  flounder",4.53668213,1.00000000,0.17543329,0.17543329,0.53464842,2.90000010,0.48383921,0.18436150,,
47,Skate,3.82577896,1.00000000,1.65499997,1.65499997,0.45300001,2.40000010,0.28955990,0.18875000,,
48,"Demersal benthivores - other",3.62034106,1.00000000,2.05399990,2.05399990,0.44999999,0.90499997,0.96393132,0.49723759,,
49,"Demersal piscivores - other",4.13110399,1.00000000,0.54600000,0.54600000,0.55000001,1.21300006,0.94519728,0.45342129,,
50,"Demersal omnivores - other",3.96472192,1.00000000,1.50000000,1.50000000,0.44999999,0.81400001,0.87085688,0.55282551,,
51,"Medium pelagic - other",4.53811407,1.00000000,0.12100000,0.12100000,0.44999999,1.83800006,0.06026793,0.24483129,,
52,"Sharks - coastal",4.53092623,1.00000000,0.017899999,0.017899999,0.20000000,1.24699998,0.95488238,0.16038489,,
53,"Sharks - pelagic",4.59017277,1.00000000,0.016000001,0.016000001,0.11300000,0.69000000,0.31570119,0.16376810,,
54,"Large pelagics (HMS)",4.31104994,1.00000000,0.070000000,0.070000000,0.57900000,6.79400015,0.82777852,0.08522225,,
55,Pinnipeds,4.48594904,1.00000000,0.035000000,0.035000000,0.075000003,5.50000000,0.25328079,0.01363636,,
56,"Baleen whales",3.47460103,1.00000000,0.46399999,0.46399999,0.039999999,3.21700001,0.02733250,0.01243394,,
57,Odontocetes,4.49170589,1.00000000,0.059999999,0.059999999,0.039999999,14.3009996,0.59925699,0.00279701,,
58,Seabird,4.26968384,1.00000000,0.0070000002,0.0070000002,0.27500001,9.31799984,0.41888371,0.02951277,,
59,Detritus,1.00000000,1.00000000,52.6051598,52.6051598,,,0.50800687,,,
