,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Shark (small, juv.)",3.91202402,1.00000000,0.00451625,0.00451625,1.63999999,7.70499992,0.60000002,0.21284880,,
2,Rays,3.21052289,1.00000000,0.18600000,0.18600000,0.59500003,5.82559109,0.74790877,0.10213560,,
3,"Non-reef fish, Mullets, milkfish",2.03300095,1.00000000,0.06954199,0.06954199,2.67300010,21.5090008,0.70000011,0.12427360,,
4,"Non-reef fish, Piscivorous",3.94490600,1.00000000,0.35800001,0.35800001,2.44799995,10.5629997,0.60890490,0.23175240,,
5,"Non-reef fish, zoobenthos feeders",3.16298604,1.00000000,1.41799998,1.41799998,3.97499990,13.5469999,0.73279959,0.29342291,,
6,"Pelagic fish, Tunas, tuna-like",4.00397301,1.00000000,0.03432041,0.03432041,1.47599995,7.01463795,0.69999999,0.21041711,,
7,"Pelagic fish, Belonidae",3.59646702,1.00000000,0.20541050,0.20541050,1.54600000,8.37399960,0.64999998,0.18461910,,
8,"Pelagic fish, Barracudas & other piscivores",3.84875011,1.00000000,0.34058869,0.34058869,2.32999992,10.8079996,0.69999999,0.21558100,,
9,"Pelagic fish, Anchovies, sprats & silversides",2.74558401,1.00000000,2.39590311,2.39590311,5.80800009,23.6889992,0.85000002,0.24517711,,
10,"Pelagic fish, Sardines",2.38760090,1.00000000,1.02658105,1.02658105,3.39000010,15.8444700,0.80000007,0.21395481,,
11,"Pelagic fish, Halfbeaks, flyingfishes",2.34129095,1.00000000,0.17773320,0.17773320,1.96000004,10.8452902,0.64999998,0.18072359,,
12,"Pelagic fish, Mackerels, scads",3.04210806,1.00000000,1.30199301,1.30199301,2.90000010,13.9680004,0.63000000,0.20761740,,
13,"Carangids (Jacks, trevallies)",3.79274797,1.00000000,0.50553989,0.50553989,1.96000004,8.97000027,0.60000002,0.21850610,,
14,"Reef fish, Congers, morrays",3.73187590,0.16000000,0.17603920,0.02816626,1.84000003,9.10742664,0.69999999,0.20203289,,
15,"Reef fish, Groupers & other pisc.fish",3.77008200,0.16000000,0.66799998,0.10688000,2.16000009,10.1199999,0.93499368,0.21343870,,
16,"Reef fish, Emperors",3.49863005,0.16000000,2.50769711,0.40123159,2.27999997,11.0777998,0.80000001,0.20581700,,
17,"Reef fish, Snappers",3.61056495,0.16000000,0.84799999,0.13568000,2.56800008,11.0500002,0.91790718,0.23239820,,
18,"Reef fish, Zoobenthos feeders",3.31747103,0.16000000,4.05499983,0.64880002,3.90599990,14.0600004,0.95981652,0.27780941,,
19,"Reef fish, Herbivores, benth.grazers",2.00630093,0.16000000,3.70600009,0.59296000,4.67199993,21.4805298,0.89872837,0.21749930,,
20,"Reef fish, Omnivores",2.48757195,0.16000000,1.33000004,0.21280000,3.11800003,16.0111408,0.91469610,0.19473940,,
21,"Reef fish, Planktivores",2.77489901,0.16000000,1.94599998,0.31136000,3.81500006,16.7067204,0.91135722,0.22835121,,
22,"Inverts. Crabs",2.51046109,1.00000000,3.52778792,3.52778792,5.05000019,22.0000000,0.89999998,0.22954550,,
23,"Inverts. Shrimps",2.62508702,1.00000000,2.50081396,2.50081396,5.78999996,25.9400005,0.80000007,0.22320740,,
24,"Inverts. Lobsters, mantis shrimps",2.76483488,1.00000000,0.82492918,0.82492918,2.50000000,12.1499996,0.64999998,0.20576130,,
25,"Inverts. Other benthic crustaceans",2.23283410,1.00000000,9.95686531,9.95686531,8.35000038,33.4000015,0.80000001,0.25000000,,
26,"Inverts. Squids, cuttlefishes",3.46589899,1.00000000,0.85789871,0.85789871,3.64000010,16.6399994,0.69999993,0.21875000,,
27,"Inverts. Octopus",3.24606609,1.00000000,0.06956867,0.06956867,1.63999999,7.30000019,0.64999998,0.22465751,,
28,"Inverts. Shells",2.08442092,1.00000000,23.77577019,23.77577019,3.51500010,12.7500000,0.69999993,0.27568629,,
29,"Inverts. Sea cucumbers",2.00000000,1.00000000,0.21144360,0.21144360,0.97000003,3.88000011,0.69999999,0.25000000,,
30,"Inverts. Other echinoderms",2.33701491,1.00000000,9.29977894,9.29977894,1.23749995,4.94999981,0.69999993,0.25000000,,
31,"Inverts. Worms",2.06142306,1.00000000,5.72540283,5.72540283,7.19999981,26.0000000,0.69999999,0.27692309,,
32,"Inverts. Polyps-hard,soft corals",2.15151501,0.16000000,73.01357269,11.68216991,2.09999990,7.30000019,0.60000002,0.28767121,,
33,"Inverts. Sponges",2.00000000,1.00000000,14.79008961,14.79008961,2.50000000,7.00000000,0.60000008,0.35714290,,
34,Zooplankton,2.01010108,1.00000000,2.24873400,2.24873400,40.0000000,133.000000,0.94999999,0.30075189,,
35,Phytoplankton,1.00000000,1.00000000,2.54999995,2.54999995,180.000000,,0.84507042,,,
36,"Benthic algae",1.00000000,1.00000000,52.91046906,52.91046906,15.0000000,,0.50000000,,,
37,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.59257531,,,
