,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Bluntnose sixgill shark",4.31967211,1.00000000,0.12800001,0.12800001,0.14800000,1.13999999,0.00000000,0.12982459,,
2,"Demersal sharks",4.02090120,1.00000000,0.20000000,0.20000000,0.25000000,1.89999998,0.60739201,0.13157900,,
3,Monkfish,3.90245700,1.00000000,0.050000001,0.050000001,0.43000001,2.70000005,0.40085581,0.15925930,,
4,"Phycis blennoides",3.32856107,1.00000000,0.10000000,0.10000000,0.50800002,2.75000000,0.36096060,0.18472730,,
5,"Lepidion lepidion",3.08000803,1.00000000,0.14000000,0.14000000,0.73600000,2.91000009,0.45325309,0.25292099,,
6,Macrourids,2.79488301,1.00000000,0.22499999,0.22499999,0.51599997,3.34999990,0.52323520,0.15402980,,
7,"Mora moro",3.19918394,1.00000000,0.25000000,0.25000000,0.28299999,2.45000005,0.67394781,0.11551020,,
8,"Alepocephalus rostratus",3.39104795,1.00000000,0.28500000,0.28500000,0.26499999,2.02999997,0.73052108,0.13054191,,
9,"Other demersal, small",3.04599500,1.00000000,0.079999998,0.079999998,1.04999995,3.59999990,0.92688107,0.29166669,,
10,Cephalopods,3.13307095,1.00000000,0.10500000,0.10500000,2.19000006,7.30000019,0.58534682,0.30000001,,
11,"Aristeus antennatus",2.76917100,1.00000000,0.15000001,0.15000001,3.00000000,8.59000015,0.64628333,0.34924331,,
12,"Mesopelagic crustacea",2.94301510,1.00000000,0.30500001,0.30500001,3.11500001,8.89999962,0.57531798,0.34999999,,
13,"Benthopelagic fish",2.75623298,1.00000000,0.54000002,0.54000002,1.29999995,7.40000010,0.51276642,0.17567571,,
14,"Benthic invertebrates, crustacea",2.46714711,1.00000000,0.25500000,0.25500000,2.76799989,10.3999996,0.85500193,0.26615381,,
15,"Benthic invertebrates, other",2.11315107,1.00000000,0.63144600,0.63144600,3.19000006,16.2000008,0.99000013,0.19691360,,
16,"Zooplankton, gelatinous",2.61538506,1.00000000,0.079999998,0.079999998,22.0000000,56.0000000,0.42056879,0.39285710,,
17,"Zooplankton, BBL",2.05263209,1.00000000,0.38089991,0.38089991,18.0000000,50.0000000,0.94999999,0.36000001,,
18,Meiobenthos,2.00000000,1.00000000,0.012000000,0.012000000,60.0000000,240.00000000,0.83002013,0.25000000,,
19,"Surface production",1.00000000,1.00000000,0.0099999998,0.0099999998,3577.00000,,0.00000000,,,
20,"Marine snow (POC)",1.00000000,1.00000000,35.0000000,35.0000000,,,0.71093267,,,
21,Detritus,1.00000000,1.00000000,29.6599998,29.6599998,,,0.29666880,,,
