,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.97941399,1.00000000,0.059365999,0.059365999,0.050000001,5.05900002,0.35376370,0.00988338,,
2,"Toothed mammals",4.67129993,1.00000000,0.08535191,0.08535191,0.050000001,12.2659998,0.80000007,0.00407631,-0.0030000000,-0.03514860
3,Seabirds,3.76569605,1.00000000,0.017000001,0.017000001,0.0099999998,35.0000000,0.00000000,0.00028571,,
4,Cod,4.08506298,1.00000000,0.56999999,0.56999999,0.65300000,3.09999990,0.67865479,0.21064520,,
5,Haddock,3.63662505,1.00000000,0.72299999,0.72299999,0.34599999,3.79999995,0.72594023,0.09105263,,
6,Saithe,4.11266804,1.00000000,0.61100000,0.61100000,0.44299999,3.29999995,0.80536509,0.13424240,,
7,Redfish,3.66728091,1.00000000,2.13299990,2.13299990,0.34999999,4.50000000,0.64840198,0.07777777,,
8,"Greenland Halibut",3.58642101,1.00000000,0.11451430,0.11451430,0.44600001,3.50000000,0.94999999,0.12742861,,
9,"Other demersal fish",4.01804686,1.00000000,2.60217690,2.60217690,0.44999999,3.00000000,0.94999993,0.15000001,,
10,"Other deep water",4.16779613,1.00000000,0.90843171,0.90843171,0.34999999,3.09999990,0.94999993,0.11290320,,
11,Herring,3.39058208,1.00000000,3.11096001,3.11096001,0.29600000,4.59999990,0.94899988,0.06434783,,
12,"Blue Whiting",3.55124688,1.00000000,3.85068798,3.85068798,0.35540000,9.06000042,0.94999999,0.03922737,,
13,Mackerel,3.71272612,1.00000000,1.14249599,1.14249599,0.27599999,4.40000010,0.94999999,0.06272727,,
14,"Other pelagics",3.17451501,1.00000000,13.67129040,13.67129040,0.58499998,4.50000000,0.94700009,0.13000000,,
15,Benthos,2.51315808,1.00000000,8.73681355,8.73681355,3.00000000,10.00000000,0.94999999,0.30000001,,
16,Nekton,3.61718202,1.00000000,9.98289204,9.98289204,0.60000002,3.50000000,0.94999993,0.17142861,,
17,"Lrg. Zooplankton",2.60664797,1.00000000,16.1930008,16.1930008,9.85703468,40.0000000,0.94999993,0.24642590,,
18,"Sm. Zooplankton",2.05263209,1.00000000,11.69838047,11.69838047,40.0000000,140.000000,0.94999999,0.28571430,,
19,Phytoplankton,1.00000000,1.00000000,54.3600006,54.3600006,50.0000000,,0.69115800,,,
20,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.02604028,,2696.09008789,269.60900879
