,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Bars,3.65945601,1.00000000,0.10000000,0.10000000,0.50000000,6.00000000,0.12000000,0.08333334,,
2,Catfish,2.60854506,1.00000000,0.50000000,0.50000000,0.80000001,12.6999998,0.03750000,0.06299213,,
3,Roach,2.75541806,1.00000000,1.25000000,1.25000000,0.50000000,14.5000000,0.02880000,0.03448276,,
4,Carp,2.40247703,1.00000000,0.050000001,0.050000001,0.40000001,6.00000000,0.15000001,0.06666667,,
5,Cyprinid,2.82352901,1.00000000,3.06500006,3.06500006,0.60000002,12.0000000,0.25231099,0.05000000,,
6,MACROINVTB,2.67182708,1.00000000,1.15999997,1.15999997,3.96370196,11.0000000,0.95000011,0.36033660,,
7,ZOO,2.17647099,1.00000000,23.95056915,23.95056915,5.00000000,20.0000000,0.94999999,0.25000000,,
8,PHYTO,1.00000000,1.00000000,6.73000002,6.73000002,307.000000,,0.14541180,,,
9,Vegetation,1.00000000,1.00000000,9.90899944,9.90899944,5.00000000,,0.10000000,,,
10,Detritus,1.00000000,1.00000000,,,,,0.06731421,,,
