,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Phytoplankton- Primary Producers",1.00000000,1.00000000,25.7047195,25.7047195,166.134201,,0.67398930,,,
2,Bacteria,2.00000000,1.00000000,6.51790810,6.51790810,91.2499771,380.208191,0.89726567,0.23999999,,
3,Microzooplankton,2.31867290,1.00000000,5.58798122,5.58798122,72.0000229,242.424301,0.84116662,0.29699999,,
4,"Small copepods",2.18234706,1.00000000,12.9851398,12.9851398,41.6650391,127.750000,0.68289018,0.32614511,,
5,"Large Copepods",2.57077098,1.00000000,6.98079395,6.98079395,54.6358604,109.500000,0.62881202,0.49895760,,
6,"Gelatinous Zooplankton",3.14636707,1.00000000,1.31946301,1.31946301,40.0000000,143.080002,0.89999968,0.27956390,,
7,Micronekton,2.95581388,1.00000000,3.80512595,3.80512595,14.2500000,36.5000000,0.27898949,0.39041099,,
8,Mesopelagics,3.36516309,1.00000000,0.045000002,0.045000002,0.95037621,1.82500005,0.82315242,0.52075410,,
9,"Macrobenthos- polychaetes",2.34012508,1.00000000,11.4027205,11.4027205,2.50000000,17.5000000,0.89682460,0.14285710,,
10,"Macrobenthos- crustaceans",2.37005901,1.00000000,10.8735304,10.8735304,3.00000000,21.0000000,0.89942020,0.14285710,,
11,"Macrobenthos- molluscs",2.22409010,1.00000000,9.88650036,9.88650036,2.00000000,14.0000000,0.89435518,0.14285710,,
12,"Macrobenthos- other",2.40520906,1.00000000,40.0225716,40.0225716,2.00000000,17.6399994,0.89009339,0.11337870,,
13,"Megabenthos- filterers",2.07999992,1.00000000,3.61377907,3.61377907,5.00000000,18.0000000,0.89396352,0.27777779,,
14,"Megabenthos- other",3.02353406,1.00000000,3.96506405,3.96506405,2.00000000,18.0000000,0.89815563,0.11111110,,
15,"Shrimp et al.",2.63772011,1.00000000,0.090000004,0.090000004,2.00000000,5.00000000,0.84603250,0.40000001,,
16,"Larval-juv fish- all",3.25694609,1.00000000,0.62939960,0.62939960,15.0000000,45.0000000,0.78417999,0.33333331,,
17,"Small Pelagics- commercial",3.66758299,1.00000000,14.9773703,14.9773703,0.34527120,2.00000000,0.89891458,0.17263560,,
18,"Small Pelagics- other",3.35690308,1.00000000,1.07369995,1.07369995,0.95710921,2.00000000,0.90000021,0.47855461,,
19,"Small Pelagics- squid",3.98579597,1.00000000,1.26216197,1.26216197,0.95037621,2.75000000,0.89327329,0.34559131,,
20,"Small Pelagics- anadromous",3.54152012,1.00000000,0.25000000,0.25000000,0.42498091,2.00000000,0.68102962,0.21249050,,
21,"Medium Pelagics- (piscivores & other)",4.68426800,1.00000000,0.29153010,0.29153010,0.45899999,2.38140011,0.89999992,0.19274370,,
22,"Demersals- benthivores",3.72386098,1.00000000,4.57617617,4.57617617,0.44999999,0.92000002,0.89999992,0.48913041,,
23,"Demersals- omnivores",3.85146689,1.00000000,3.43895698,3.43895698,0.44999999,0.82999998,0.89999992,0.54216868,,
24,"Demersals- piscivores",4.04540300,1.00000000,2.24467492,2.24467492,0.48600000,2.20556688,0.89542860,0.22035150,,
25,"Sharks- pelagics",4.71856594,1.00000000,0.043340661,0.043340661,0.10200000,0.53280193,0.89854223,0.19144070,,
26,HMS,4.39076281,1.00000000,0.0043953899,0.0043953899,0.68262303,2.05301404,0.41979879,0.33249801,,
27,"Baleen Whales",3.69865108,1.00000000,0.41671780,0.41671780,0.038020860,4.50000000,0.01500075,0.00844908,,
28,Odontocetes,4.70004320,1.00000000,0.11272810,0.11272810,0.039999999,13.8297596,0.88284922,0.00289231,,
29,"Sea Birds",4.13862705,1.00000000,0.0034968629,0.0034968629,0.27500001,4.37923098,0.89096588,0.06279641,,
30,Discard,1.00000000,1.00000000,0.48363981,0.48363981,,,0.33022180,,0.89227217,1.84491098
31,Detritus-POC,1.00000000,1.00000000,50.0000000,50.0000000,,,0.87928247,,,
