,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.80313611,1.00000000,0.45800000,0.45800000,0.029999999,4.00000000,0.51855898,0.00750000,,
2,"Toothed whales",4.40134478,1.00000000,0.048999999,0.048999999,0.059999999,10.00000000,0.89999992,0.00600000,-0.0003852503,-0.00786225
3,Seals,4.31591177,1.00000000,0.50900000,0.50900000,0.070000000,15.0000000,0.89999998,0.00466667,-0.015421330,-0.03029731
4,Seabirds,3.94440794,1.00000000,0.0080000004,0.0080000004,1.00000000,99.0000000,0.21123140,0.01010101,,
5,"Cod 4+",3.99029994,1.00000000,0.046999998,0.046999998,0.30000001,2.50000000,0.26329789,0.12000000,,
6,"Cod juv",3.85995603,1.00000000,0.0099999998,0.0099999998,0.60000002,3.50000000,0.63350052,0.17142861,0.0022511950,0.22511950
7,"Grl. halibut 5+",4.11997890,0.21799999,2.14100003,0.46673799,0.69999999,1.79999995,0.84302181,0.38888890,0.20000000,0.42850599
8,"Grl. halibut juv",3.98843002,0.51999998,1.61717999,0.84093380,0.89999998,3.40000010,0.94999999,0.26470590,0.11500060,0.13675350
9,"Redfish larger than 14cm",3.65402102,0.51999998,0.070000008,0.036400001,1.09500802,2.50000000,0.94999993,0.43800321,,
10,"Redfish juv less 15cm",3.61973500,0.51999998,0.33100000,0.17212000,1.95050597,5.00000000,0.94999999,0.39010119,0.018284610,0.10623170
11,"Polar cod",3.36197591,1.00000000,2.51285791,2.51285791,1.00000000,5.00000000,0.94999999,0.20000000,0.11885000,0.04729674
12,"Thorny ray",2.98651099,1.00000000,0.034000002,0.034000002,0.40000001,1.29999995,0.19018281,0.30769229,,
13,"Long rough Dab",2.95910692,0.51999998,0.10385010,0.05400207,0.60000002,2.00000000,0.94999993,0.30000001,-0.011823330,-0.21894220
14,"Other pel fish",3.47835493,1.00000000,3.63599992,3.63599992,1.10000002,2.50000000,0.94197702,0.44000000,,
15,"Other bot fish",3.26873994,1.00000000,1.77102697,1.77102697,0.60000002,2.00000000,0.94999999,0.30000001,,
16,"Northern shrimp",2.65815997,0.51999998,3.30699992,1.71964002,0.89999998,6.00000000,0.91355962,0.15000001,,
17,Benthos,2.22044706,1.00000000,85.0000000,85.0000000,1.50000000,9.75000000,0.49830061,0.15384620,,
18,Squids,3.59432197,1.00000000,0.37602520,0.37602520,2.44000006,6.00000000,0.94999999,0.40666670,,
19,"Large Zooplankton",2.58968902,1.00000000,25.0000000,25.0000000,4.00000000,15.0000000,0.71335971,0.26666671,,
20,"Small Zooplankton",2.02040792,1.00000000,15.0000000,15.0000000,20.0000000,50.0000000,0.90412939,0.40000001,,
21,Phytoplankton,1.00000000,1.00000000,20.0000000,20.0000000,50.0000000,,0.78959090,,,
22,Detritus,1.00000000,1.00000000,,,,,0.90348989,,170.64819336,-0.01706653
