,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Whales,4.01259899,1.00000000,0.030900000,0.030900000,0.020000000,4.65000010,0.00000000,0.00430107,,
2,Dolphins,4.47707891,1.00000000,0.04333927,0.04333927,0.070000000,12.1199999,0.15000001,0.00577558,,
3,Turtles,2.19374990,1.00000000,0.02957043,0.02957043,0.15000001,3.50000000,0.20000000,0.04285714,,
4,"Sea birds",3.80822301,1.00000000,0.0012800000,0.0012800000,0.30000001,85.6600037,0.00000000,0.00350222,,
5,Rays+,3.97087502,1.00000000,0.38600001,0.38600001,0.36300001,3.63000011,0.38147900,0.10000000,,
6,Sharks+,4.30971003,1.00000000,0.10463710,0.10463710,0.41000000,4.09999990,0.40000001,0.10000000,,
7,"Large pelagics",4.20603991,1.00000000,0.38446781,0.38446781,0.85000002,6.59999990,0.89999998,0.12878790,,
8,Barracudas+,4.12244606,1.00000000,0.05825495,0.05825495,0.92000002,9.19999981,0.89999998,0.10000000,,
9,Carangids,4.15883017,1.00000000,0.06271144,0.06271144,1.00000000,9.46000004,0.89999992,0.10570820,,
10,"Horse mackerels+",3.12987995,1.00000000,2.33330798,2.33330798,0.69999999,7.00000000,0.89999998,0.10000000,,
11,Ethmalosa,2.53125000,1.00000000,1.52195799,1.52195799,1.41999996,14.19999981,0.95000023,0.10000000,,
12,Sardinella+,2.84846401,1.00000000,0.99935591,0.99935591,2.10999990,21.10000038,0.95000011,0.10000000,,
13,"Bobo croaker",3.92421389,1.00000000,0.50900000,0.50900000,0.82999998,3.31999993,0.91109037,0.25000000,,
14,"Other croakers",3.92380500,1.00000000,0.25900000,0.25900000,0.84799999,3.39199996,0.97056669,0.25000000,,
15,"Lesser Afr. threadfin",3.87925100,1.00000000,0.19700000,0.19700000,0.78399998,3.13599992,0.96648711,0.25000000,,
16,"Giant Afr. threadfin",4.10742092,1.00000000,0.054000001,0.054000001,0.91100001,4.55499983,0.92249388,0.20000000,,
17,"Royal threadfin",3.95704603,1.00000000,0.068000004,0.068000004,0.56000000,2.24000001,0.94046140,0.25000000,,
18,Seabream+,3.61938596,1.00000000,0.47900000,0.47900000,0.72500002,2.90000010,0.96063101,0.25000000,,
19,"Sea catfish",3.69966412,1.00000000,0.46200001,0.46200001,0.68199998,2.72799993,0.97230411,0.25000000,,
20,Mullets+,2.33392596,1.00000000,0.41499999,0.41499999,0.68099999,2.72399998,0.86401778,0.25000000,,
21,Grunts+,3.59911990,1.00000000,0.093999997,0.093999997,0.64999998,2.59999990,0.98820341,0.25000000,,
22,Soles+,3.29921198,1.00000000,0.28400001,0.28400001,1.00199997,4.00799990,0.71479052,0.25000000,,
23,"L. demersal pred.eaters",3.95423508,1.00000000,0.40000001,0.40000001,0.44400001,2.22000003,0.92913961,0.20000000,,
24,"SM demersal pred.eaters",3.56981897,1.00000000,0.77200001,0.77200001,0.85600001,3.42400002,0.99439198,0.25000000,,
25,"ML demersal invert.eaters",3.30065489,1.00000000,0.85299999,0.85299999,0.77499998,3.09999990,0.73399758,0.25000000,,
26,"S. demersal invert.eaters",3.32420611,1.00000000,0.84899998,0.84899998,1.09000003,4.36000013,0.76195699,0.25000000,,
27,"Bathy-dem pred.eaters",3.79212093,1.00000000,0.34067869,0.34067869,0.75500000,3.01999998,0.80000001,0.25000000,,
28,"Bathy-dem invert.eaters",3.54917312,1.00000000,0.55038750,0.55038750,0.37000000,1.48000002,0.89999980,0.25000000,,
29,Crustacea,3.03114510,1.00000000,3.44155002,3.44155002,2.59999990,20.0000000,0.80000007,0.13000000,,
30,Cephalopods,3.59709501,1.00000000,0.70087707,0.70087707,2.70000005,10.00000000,0.89999998,0.27000001,,
31,Benthos,2.20833302,1.00000000,100.0000000,100.0000000,1.79999995,25.0000000,0.79400629,0.07200000,,
32,"Large zooplankton",2.93750000,1.00000000,4.31457615,4.31457615,10.00000000,50.00000000,0.80000001,0.20000000,,
33,"Small zooplankton",2.00000000,1.00000000,25.78680038,25.78680038,40.0000000,200.00000000,0.60000002,0.20000000,,
34,"Primary producers",1.00000000,1.00000000,69.0000000,69.0000000,84.0000000,,0.81441349,,,
35,Detritus,1.00000000,1.00000000,290.000000,290.000000,,,0.59844661,,,
