,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Elasmobranchi (SHARKS)",4.02771997,1.00000000,0.71880990,0.71880990,,0.28000000,3.00000000,0.75000000,0.09333333,,
2,"Zalophus californianus",3.97102904,0.56000000,0.025309781,0.014173480,,0.54400003,35.4700012,0.06185963,0.01533690,,
,Tmacdonaldi,,,,,,,,,,,
3,"Totoaba macdonaldi (ADULTS)",3.96096802,0.15000001,0.053333331,0.0079999957,0.41400000,,4.99999714,0.79265171,0.08280005,,
7,"Totoaba macdonaldi (JUVENILES)",3.82461691,0.15000001,0.13073140,0.019609710,0.69999999,,10.2719297,0.59391582,0.06814688,,
4,"Marine birds",3.95455098,0.10000000,0.0040000002,0.0004000000,,0.50000000,45.0000000,0.00993629,0.01111111,,
5,Odontoceti,3.92652202,0.60000002,0.28999999,0.17399999,,0.23600000,26.4489994,0.10619650,0.00892283,,
6,"Phocoena sinus",3.91535997,0.30000001,0.0049999999,0.0015000000,,0.60000002,30.0000000,0.30109119,0.02000000,,
8,Merluccidae,3.79267597,0.30000001,0.49000001,0.14700000,,0.44999999,1.85000002,0.58622152,0.24324320,,
9,Mysticeti,3.54798293,0.50000000,0.18000001,0.090000004,,0.20000000,2.92000008,0.03721913,0.06849315,,
10,"Coastal birds",3.44582796,0.0099999998,0.013400000,0.0001340000,,0.25000000,45.0000000,0.05932115,0.00555556,,
11,Sciaenidae,3.43536901,0.30000001,0.84034699,0.25210410,,2.95000005,12.1000004,0.68747759,0.24380170,,
12,Rhinobatidae,3.32290292,0.30000001,0.49881500,0.14964449,,0.68000001,2.59999990,0.63903081,0.26153851,,
13,Serranidae,3.26167798,0.25000000,0.079374000,0.019843500,,0.79000002,3.59999990,0.86597317,0.21944450,,
14,"Elasmobranchi (RAYS)",3.10230398,0.30000001,1.37982595,0.41394779,,0.93000001,5.09999990,0.78982961,0.18235290,,
15,"Other fishes",3.01986790,1.00000000,2.10384798,2.10384798,,1.95000005,7.95400000,0.94999993,0.24515970,,
16,Haemulidae,3.00963998,0.40000001,0.17303400,0.069213599,,2.84999990,14.3999996,0.82795560,0.19791670,,
17,"Sicyonia penicillata",3.00132298,0.44999999,0.047809221,0.021514149,,3.00000000,8.50000000,0.75067329,0.35294119,,
18,"Small pelagics",2.97486806,0.30000001,5.18263102,1.55478895,,3.29999995,10.5559998,0.94999999,0.31261840,,
,CC,,,,,,,,,,,
19,"Farfantepenaeus californiensis (JUVENILES)",2.87500000,1.00000000,0.038013820,0.038013820,8.50000000,,40.1894112,0.48702320,0.21149850,,
30,"Farfantepenaeus californiensis (ADULTS)",2.40731001,0.40000001,0.20000000,0.080000021,5.40000010,,19.8999996,0.73973370,0.27135679,,
,CA,,,,,,,,,,,
20,"Litopenaeus stylirostris (JUVENILES)",2.87500000,1.00000000,0.11858510,0.11858510,9.00000000,,37.1064301,0.21528250,0.24254560,,
28,"Litopenaeus stylirostris (ADULTS)",2.44907308,0.50000000,0.40000001,0.20000000,5.40000010,,19.1210003,0.88535029,0.28241199,,
21,Cephalopoda,2.81806111,0.40000001,5.81040001,2.32416010,,3.45000005,11.6800003,0.75000012,0.29537669,,
22,"Flat fishes",2.77470398,0.44999999,0.50735861,0.22831130,,0.64999998,10.6999998,0.74999988,0.06074766,,
23,Myctophidos,2.77141595,1.00000000,1.16856802,1.16856802,,1.45599997,7.93699980,0.94999999,0.18344460,,
24,Mojarras,2.64275289,0.40000001,0.79260999,0.31704399,,1.64999998,6.19999981,0.64900517,0.26612899,,
25,"Callinectes sp.",2.53413892,0.55000001,1.12599599,0.61929780,,2.65000010,9.07199955,0.07108548,0.29210761,,
26,Polychaeta,2.47330904,1.00000000,5.07000208,5.07000208,,8.00000000,27.0000000,0.94999993,0.29629630,,
27,Stomatopoda,2.46237993,0.55000001,0.11972900,0.065850951,,2.50000000,8.69999981,0.76641452,0.28735629,,
29,"Benthic inv.",2.42393303,1.00000000,2.88599992,2.88599992,,30.0000000,84.0000000,0.52256280,0.35714290,,
31,Zooplankton,2.25000000,1.00000000,28.0000000,28.0000000,,25.0000000,70.0000000,0.68731630,0.35714290,,
32,Phytoplankton,1.00000000,1.00000000,116.000000,116.000000,,57.8499985,,0.21716990,,,
33,Macrophytes,1.00000000,0.69999999,2.29999995,1.61000001,,58.2000008,,0.43687719,,,
34,Detritus,1.00000000,1.00000000,88.5199966,88.5199966,,,,0.06004304,,17091.10937500,193.07620239
