,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Dolphins,4.76432610,1.00000000,0.0014500000,0.0014500000,,0.10000000,41.0699997,0.00231424,0.00243487,,
2,Dugongs,2.00000000,1.00000000,0.0003200000,0.0003200000,,0.079999998,36.5000000,0.70312512,0.00219178,,
3,Crocodiles,4.85488081,1.00000000,0.0001030000,0.0001030000,,0.31799999,2.07999992,0.00000000,0.15288460,,
4,Turtles,2.88759804,1.00000000,0.0002300000,0.0002300000,,0.19200000,3.50000000,0.71906608,0.05485714,,
5,"Sea snakes",5.04078007,1.00000000,0.0020999999,0.0020999999,,0.69999999,6.30000019,0.04421361,0.11111110,,
6,"Lesser frigates",5.00586987,1.00000000,0.0000300000,0.0000300000,,0.079999998,36.7000008,0.00000000,0.00217984,,
7,"Brown boobies",4.88418722,1.00000000,0.0020200000,0.0020200000,,0.079999998,33.7999992,0.00000000,0.00236686,,
8,"Crested terns",4.69307899,1.00000000,0.0003400000,0.0003400000,,0.20400000,47.5000000,0.00000000,0.00429474,,
9,"Common terns",4.57074022,1.00000000,0.0003600000,0.0003600000,,0.16000000,65.0999985,0.00000000,0.00245776,,
10,"Large sharks",4.68384695,1.00000000,0.17709340,0.17709340,,0.32600001,4.04795504,0.01415282,0.08053450,,
11,"Medium coastal sharks",4.66169691,1.00000000,0.018155999,0.018155999,,0.57900000,4.90000010,0.88763982,0.11816330,,
12,"Reef sharks",4.70841789,1.00000000,0.24951200,0.24951200,,0.43500000,4.59999990,0.00135557,0.09456522,,
13,"Black-tip sharks",4.67810297,1.00000000,0.0033896279,0.0033896279,,0.59799999,8.57800007,0.43095991,0.06971322,,
14,"Small sharks",4.55102491,1.00000000,0.48165101,0.48165101,,1.30499995,7.48430014,0.00169424,0.17436500,,
15,"Weasel sharks",4.67613077,1.00000000,0.033614699,0.033614699,,0.55900002,4.65000010,0.01193094,0.12021510,,
16,Sawfishes,4.55215311,1.00000000,0.050000001,0.050000001,,0.26199999,2.66000009,0.17124420,0.09849624,,
17,Billfishes,4.62957811,1.00000000,0.0002800000,0.0002800000,,0.37000000,7.76666689,0.61422509,0.04763949,,
18,"Large mackerels and tunas",4.59525585,1.00000000,0.015000000,0.015000000,,0.70300001,12.9045696,0.89830017,0.05447683,,
19,"Large trevallies and barracudas",4.52385807,1.00000000,0.30000001,0.30000001,,0.93800002,9.35000038,0.87421888,0.10032090,,
20,"Small tunas and bonitos",4.45457602,1.00000000,0.13000000,0.13000000,,1.01600003,16.1516895,0.85478508,0.06290364,,
21,"Catfish and flatheads",3.89440799,1.00000000,0.69999999,0.69999999,,1.16999996,7.21666718,0.94616717,0.16212469,,
22,Jewfishes,4.34568501,1.00000000,0.93821663,0.93821663,,0.99500000,10.6499996,0.23307391,0.09342723,,
23,"Cobia, groupers and jacks",4.34074783,1.00000000,0.47346261,0.47346261,,0.65200001,7.98549986,0.52433062,0.08164799,,
24,"Red snappers",4.44061899,1.00000000,1.16799998,1.16799998,,0.88700002,5.15999985,0.00142461,0.17189920,,
