,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Phytoplankton- Primary Producers",1.00000000,1.00000000,22.1257992,22.1257992,163.143204,,0.87985891,,,
2,Bacteria,2.00000000,1.00000000,5.48396015,5.48396015,91.2500000,380.208313,0.88329482,0.23999999,,
3,Microzooplankton,2.32580304,1.00000000,4.88461781,4.88461781,72.0000000,242.424194,0.94134861,0.29700011,,
4,"Small copepods",2.18833804,1.00000000,10.4029198,10.4029198,30.9180908,127.750000,0.91189033,0.24202029,,
5,"Large Copepods",2.42247391,1.00000000,11.9550800,11.9550800,35.0000000,109.500000,0.74511141,0.31963471,,
6,"Gelatinous Zooplankton",3.10477901,1.00000000,1.28304005,1.28304005,35.0000000,146.000000,0.91168118,0.23972601,,
7,Micronekton,2.87036490,1.00000000,4.87350702,4.87350702,14.2500000,36.5000000,0.88153613,0.39041099,,
8,"Macrobenthos- polychaetes",2.49250507,1.00000000,18.9422092,18.9422092,2.54999995,17.5000000,0.89999992,0.14571430,,
9,"Macrobenthos- crustaceans",2.80304790,1.00000000,4.03993320,4.03993320,3.29999995,21.0000000,0.88618010,0.15714280,,
10,"Macrobenthos- molluscs",2.30420899,1.00000000,9.86601257,9.86601257,2.24000001,13.7200003,0.86405641,0.16326530,,
11,"Macrobenthos- other",2.55259109,1.00000000,24.9363194,24.9363194,2.03999996,11.7765999,0.88694561,0.17322490,,
12,"Megabenthos- filterers",2.11880994,1.00000000,2.87938499,2.87938499,0.86399990,10.00000000,0.88238049,0.08639999,,
13,"Megabenthos- other",3.17537403,1.00000000,3.50483990,3.50483990,1.67999995,11.0304804,0.88890737,0.15230520,,
14,"Shrimp et al.",2.90955400,1.00000000,0.39600000,0.39600000,2.00000000,5.00000000,0.80240208,0.40000001,,
15,"Larval-juv fish- all",3.25524497,1.00000000,0.20653760,0.20653760,15.0000000,45.0000000,0.89723152,0.33333331,,
16,"Small Pelagics- commercial",3.60940909,1.00000000,5.71427298,5.71427298,0.51999998,1.88238394,0.86740988,0.27624539,,
17,"Small Pelagics- other",3.20923305,1.00000000,1.24045098,1.24045098,0.41999999,2.00000000,0.89022428,0.20999999,,
18,"Small Pelagics- squid",3.90602112,1.00000000,0.27480781,0.27480781,1.39999998,2.00000000,0.86710489,0.69999999,,
19,"Small Pelagics- anadromous",3.40757108,1.00000000,0.15273561,0.15273561,0.43680000,2.00000000,0.89251608,0.21840000,,
20,"Medium Pelagics- (piscivores & other)",4.58343410,1.00000000,0.022928599,0.022928599,0.64899981,1.42799997,0.90275860,0.45448169,,
21,"Demersals- benthivores",3.70404005,1.00000000,2.98087406,2.98087406,0.45899999,0.89999998,0.85167700,0.50999999,,
22,"Demersals- omnivores",3.69247603,1.00000000,0.39971629,0.39971629,0.54000002,0.89999998,0.84592903,0.60000002,,
23,"Demersals- piscivores",4.45317698,1.00000000,4.00609016,4.00609016,0.55000001,1.01429999,0.81139690,0.54224592,,
24,"Sharks- pelagics",4.64969921,1.00000000,0.0029559080,0.0029559080,0.15000001,0.62302601,0.84300143,0.24076040,,
25,HMS,4.28876400,1.00000000,0.0058691362,0.0058691362,0.50000000,2.36159992,0.81142437,0.21172090,,
26,Pinnipeds,4.55461884,1.00000000,0.063000001,0.063000001,0.067337222,4.84999990,0.28651869,0.01388396,,
27,"Baleen Whales",3.58387089,1.00000000,0.60200000,0.60200000,0.042007621,2.29999995,0.01683634,0.01826418,,
28,Odontocetes,4.65070295,1.00000000,0.033599999,0.033599999,0.039999999,8.50000000,0.53762412,0.00470588,,
29,"Sea Birds",4.03636503,1.00000000,0.0035000001,0.0035000001,0.27500001,5.36192799,0.12498540,0.05128752,,
30,Discard,1.00000000,1.00000000,0.44208330,0.44208330,,,0.31638330,,0.50627029,1.14519203
31,Detritus-POC,1.00000000,1.00000000,81.3333435,81.3333435,,,0.99526948,,,
