,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Zooplankton,2.05263209,1.00000000,3.56599998,3.56599998,40.0000000,160.000000,0.30148989,0.25000000,,
2,Benthos,2.11111093,1.00000000,5.00000000,5.00000000,22.0000000,73.3330002,0.86055529,0.30000141,,
3,"Pelagic fish",2.05263209,1.00000000,12.4759998,12.4759998,0.52499998,21.6669998,1.00004101,0.02423040,,
4,"Demersal fish",3.14555407,1.00000000,3.46300006,3.46300006,2.17100000,15.7629995,0.99982661,0.13772760,,
5,"Crabs, shrimps",2.49941492,1.00000000,1.00000000,1.00000000,14.6809998,40.0000000,1.00002897,0.36702499,,
6,"Pelagic pred.",3.05263090,1.00000000,0.046000000,0.046000000,1.05700004,32.1290016,0.97093481,0.03289863,,
7,"Demersal pred.",3.82248497,1.00000000,0.67600000,0.67600000,0.85500002,12.9189997,1.00187099,0.06618159,,
8,Mackerels,3.35054708,1.00000000,0.13400000,0.13400000,0.98500001,26.1739998,1.00037098,0.03763277,,
9,Tunas,3.05263209,1.00000000,0.044000000,0.044000000,2.11100006,15.4549999,0.62998569,0.13659009,,
10,Billfish,3.44731903,1.00000000,0.0049999999,0.0049999999,2.42899990,6.00000000,0.70009059,0.40483329,,
11,Sharks,3.78831291,1.00000000,0.082000002,0.082000002,0.50300002,7.92999983,0.80007750,0.06343002,,
12,Dolphin,3.98315501,1.00000000,0.020000000,0.020000000,0.10000000,41.0670013,0.00000000,0.00243505,,
13,Phytoplankton,1.00000000,1.00000000,4.68599987,4.68599987,254.000000,,0.67115110,,,
14,"Benthic prod.",1.00000000,1.00000000,3.69000006,3.69000006,8.00000000,,0.78125387,,,
15,Detritus,1.00000000,1.00000000,236.000000,236.000000,,,0.42713001,,,
