,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,6.00000000,6.00000000,180.000000,,0.65836108,,,
2,Microphytobenthos,1.00000000,1.00000000,0.50000000,0.50000000,120.000000,,0.93350011,,,
3,Mangroves,1.00000000,1.00000000,100.0000000,100.0000000,0.22000000,,0.44659090,,,
4,Zooplankton,2.05263209,1.00000000,4.00000000,4.00000000,40.0000000,160.000000,0.50033122,0.25000000,,
5,Shrimp,2.52868390,1.00000000,1.50000000,1.50000000,6.00000000,28.0000000,0.91226661,0.21428570,,
6,Squids,3.53561401,1.00000000,0.40000001,0.40000001,8.30000019,32.0000000,0.91424692,0.25937501,,
7,"Small pelagics",2.42105293,1.00000000,2.59999990,2.59999990,5.50000000,28.0000000,0.92007679,0.19642860,,
8,"Carangids & others",3.62916303,1.00000000,0.50000000,0.50000000,0.80000001,7.30000019,0.94260007,0.10958900,,
9,"Small demersal fish",3.02960396,1.00000000,1.29999995,1.29999995,2.29999995,12.0000000,0.93242818,0.19166671,,
10,Flatfish,3.09485412,1.00000000,0.77999997,0.77999997,1.79999995,7.50000000,0.93927348,0.23999999,,
11,Catfish,3.50077200,1.00000000,0.50000000,0.50000000,0.89999998,4.00000000,0.92000008,0.22499999,,
12,"Snappers & Grunts",3.67227888,1.00000000,0.40000001,0.40000001,0.94999999,4.30000019,0.96152627,0.22093020,,
13,Lizardfish,3.64104700,1.00000000,0.19000000,0.19000000,1.00000000,7.00000000,0.98147368,0.14285710,,
14,"Large Scianids",3.62521911,1.00000000,0.30000001,0.30000001,0.60000002,4.00000000,0.96333331,0.15000001,,
15,"Rays & Sharks",3.89900899,1.00000000,0.090000004,0.090000004,0.60000002,2.79999995,0.95407391,0.21428570,,
16,"Morays & eels",3.84429693,1.00000000,0.16000000,0.16000000,0.75000000,3.59999990,0.99233341,0.20833330,,
17,Endobenthos,2.09649110,1.00000000,0.34999999,0.34999999,30.0000000,150.000000,0.98961902,0.20000000,,
18,Epibenthos,2.01052594,1.00000000,12.0000000,12.0000000,4.00000000,25.0000000,0.45855621,0.16000000,,
19,"Predatory crabs",3.04717493,1.00000000,0.50000000,0.50000000,2.00000000,11.0000000,0.88690013,0.18181820,,
20,"Sea/shore birds",3.35266900,1.00000000,0.050000001,0.050000001,0.15000001,65.0000000,0.00000000,0.00230769,,
21,"Detritus & Bacteria",1.00000000,1.00000000,1.00000000,1.00000000,,,0.33604971,,,
