,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,10.0799999,10.0799999,102.559998,,0.70001483,,,
2,Macrophytes,1.00000000,1.00000000,0.052999999,0.052999999,11.0000000,,0.69770688,,,
3,Zooplankton,2.05263209,1.00000000,6.28999996,6.28999996,18.7000008,125.410004,0.68721771,0.14911090,,
4,Infauna,2.23838997,1.00000000,15.0000000,15.0000000,7.00000000,27.0000000,0.97504991,0.25925931,,
5,Epifauna,2.61968398,1.00000000,5.00000000,5.00000000,5.00000000,19.0000000,0.86806208,0.26315790,,
6,Shrimps,2.62995005,1.00000000,0.70400000,0.70400000,7.57000017,28.0000000,0.90091288,0.27035719,,
7,"Small pelagic fish",2.58302093,1.00000000,0.83499998,0.83499998,3.36999989,18.9799995,0.89960438,0.17755529,,
8,Mullets/catfish,2.73287511,1.00000000,0.15000001,0.15000001,1.00000000,4.50000000,0.85987002,0.22222219,,
9,Crabs,2.86517191,1.00000000,1.29999995,1.29999995,3.79999995,14.1599998,0.83651191,0.26836160,,
10,Triggerfish/filefish,3.33059406,1.00000000,0.47999999,0.47999999,0.80000001,7.38999987,0.53199738,0.10825440,,
11,Porgies/spadefish,3.39954710,1.00000000,0.28000000,0.28000000,0.75999999,11.8500004,0.92165232,0.06413502,,
12,Croaker/mojarra,3.50813389,1.00000000,0.12000000,0.12000000,1.58000004,15.3000002,0.96736282,0.10326800,,
13,"Small demersal fish",3.47112608,1.00000000,0.80000001,0.80000001,2.29999995,8.55000019,0.84701842,0.26900581,,
14,"Pelagic predatory fish",3.80060196,1.00000000,0.33000001,0.33000001,0.91000003,8.80000019,0.95850807,0.10340910,,
15,"Large demersal fish",3.86855292,1.00000000,0.27000001,0.27000001,0.60000002,6.00000000,0.74437952,0.10000000,,
16,Snappers/grunts,3.86499500,1.00000000,0.44999999,0.44999999,0.88999999,6.98999977,0.83709610,0.12732470,,
17,Ray/sharks,4.02425623,1.00000000,0.039999999,0.039999999,0.60000002,5.30000019,0.04166667,0.11320750,,
18,Detritus,1.00000000,1.00000000,,,,,0.67540377,,,
