,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Polar Bear WHB",4.85705805,1.00000000,0.0004603630,0.0004603630,0.12898310,2.07999992,0.41387579,0.06201110,,
2,"SH Polar Bear",4.90618420,1.00000000,0.0003836360,0.0003836360,0.15441160,2.07999992,0.50608909,0.07423635,,
3,"Polar Bear Foxe",4.92687321,1.00000000,0.0001918180,0.0001918180,0.12046880,2.07999992,0.30270389,0.05791770,,
4,"Killer Whale",4.87197685,1.00000000,0.0000250000,0.0000250000,0.15079241,4.99844503,0.26526529,0.03016786,,
5,Narwhal,4.06229305,1.00000000,0.0019307830,0.0019307830,0.084279209,26.1815395,0.27062020,0.00321903,,
6,Bowhead,3.33519506,1.00000000,0.010865750,0.010865750,0.021124950,5.47543097,0.05281917,0.00385814,,
7,"Walrus N",3.33189797,1.00000000,0.0027402551,0.0027402551,0.17171000,47.1227493,0.18816391,0.00364389,,
8,"Walrus S",3.45172095,1.00000000,0.0009864920,0.0009864920,0.097222216,33.7783699,0.14324680,0.00287824,,
9,"Bearded Seal",3.86560798,1.00000000,0.0036993439,0.0036993439,0.17622221,14.2616501,0.79128343,0.01235637,,
10,"Harbour Seal",3.97115111,1.00000000,0.0010456810,0.0010456810,0.12491190,18.6116505,0.07364796,0.00671149,,
11,"Ringed Seal",4.07726908,1.00000000,0.046858352,0.046858352,0.15838671,17.2716503,0.41255659,0.00917033,,
12,"Harp seal",4.10262299,1.00000000,0.0010000000,0.0010000000,0.12553690,15.6603603,0.68835032,0.00801622,,
13,"Beluga E",3.69373012,1.00000000,0.0020716321,0.0020716321,0.065800004,21.4480209,0.28052580,0.00306788,,
14,"Beluga W",3.87342596,1.00000000,0.024662290,0.024662290,0.063597783,16.7128601,0.13272050,0.00380532,,
15,"Beluga James",3.86847591,1.00000000,0.0014637890,0.0014637890,0.087300003,16.6232109,0.56433469,0.00525169,,
16,Seabirds,3.83910990,1.00000000,0.064999998,0.064999998,0.37000000,1.48000002,0.09712003,0.25000000,,
17,"Arctic Char",3.30013895,1.00000000,0.17951150,0.17951150,0.20000000,1.50000000,0.94999999,0.13333330,,
18,"Atlantic Salmon",3.45016503,1.00000000,0.05132023,0.05132023,0.51999998,7.15000010,0.95000011,0.07272727,,
19,Gadiformes,3.23475194,1.00000000,0.68181407,0.68181407,0.47000000,1.85000002,0.95000011,0.25405401,,
20,"Sculpins/ Zoarcids",3.18828511,1.00000000,0.24764220,0.24764220,0.69999999,3.26923108,0.94999993,0.21411760,,
21,Capelin,3.13171506,1.00000000,0.30401489,0.30401489,1.70000005,4.80000019,0.94999993,0.35416669,,
22,Sandlance,3.12802410,1.00000000,0.51214588,0.51214588,0.85000002,3.45000005,0.94999993,0.24637680,,
23,Sharks/Rays,4.03274584,1.00000000,0.00000318,0.00000318,0.22000000,1.25000000,0.94999993,0.17600000,,
24,"Other Marine Fish",2.94750690,1.00000000,0.25602889,0.25602889,0.93199998,3.01764703,0.94999999,0.30884990,,
25,"Brackish Fish",3.21579099,1.00000000,0.01452878,0.01452878,3.50000000,5.79818201,0.94999999,0.60363752,,
26,Cephalopods,3.64516711,1.00000000,0.09707987,0.09707987,1.50000000,5.00000000,0.94999993,0.30000001,,
27,MacroZooplankton,2.71062803,1.00000000,7.50000000,7.50000000,1.00000000,3.00000000,0.19064660,0.33333331,,
28,Euphausids,2.78673506,1.00000000,2.14800000,2.14800000,3.29999995,13.19999981,0.73323017,0.25000000,,
29,Copepods,2.04999995,1.00000000,4.01499987,4.01499987,16.0000000,64.00000000,0.45728871,0.25000000,,
30,Crustaceans,2.40979600,1.00000000,1.79999995,1.79999995,3.59999990,14.39999962,0.49980709,0.25000000,,
31,"Other MesoZooplankton",2.33589196,1.00000000,1.21000004,1.21000004,10.00000000,40.00000000,0.51211041,0.25000000,,
32,MicroZooplankton,2.00000000,1.00000000,2.18054104,2.18054104,15.0000000,45.0000000,0.94999999,0.33333331,,
33,"Marine Worms",2.27491903,1.00000000,5.42041302,5.42041302,0.60000002,4.00000000,0.94999993,0.15000001,,
34,Echinoderms,2.57448602,1.00000000,8.01978970,8.01978970,0.30000001,1.00000000,0.94999999,0.30000001,,
35,Bivalves,2.14829397,1.00000000,5.32627487,5.32627487,0.56999999,6.30000019,0.94999999,0.09047619,,
36,"Other Benthos",2.09135604,1.00000000,2.89358902,2.89358902,2.50000000,12.5000000,0.94999993,0.20000000,,
37,"Primary Production",1.00000000,1.00000000,8.00000000,8.00000000,46.45864105,,0.80000007,,,
38,"Ice Algae",1.00000000,1.00000000,3.50000000,3.50000000,45.32863998,,0.64999998,,,
39,"Ice Detritus",1.00000000,1.00000000,0.0089999996,0.0089999996,,,0.85568970,,,
40,"Pelagic Detritus",1.00000000,1.00000000,0.33000001,0.33000001,,,0.21955840,,,
