,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Toothed whales",4.06540203,1.00000000,0.27633050,0.27633050,0.0060000001,1.90162599,0.94999999,0.00315519,,
2,"Baleen whales",3.20187092,1.00000000,2.69439197,2.69439197,0.017999999,4.27472305,0.94999993,0.00421080,,
3,Pinnipeds,3.93166304,1.00000000,0.17398070,0.17398070,0.039999999,11.3960896,0.94999999,0.00350998,,
4,Seabirds,3.40739799,1.00000000,0.03716610,0.03716610,0.25000000,54.7500000,0.94999999,0.00456621,,
5,"Adult Cod",3.64787698,1.00000000,2.51402998,2.51402998,0.49079999,2.45400000,0.94999993,0.20000000,,
6,"Juvenile Cod",3.10506701,1.00000000,0.22059929,0.22059929,1.82700002,6.09000015,0.94999999,0.30000001,,
7,Haddock,3.14735007,1.00000000,0.66848069,0.66848069,0.58933997,2.94670010,0.95000011,0.20000000,,
8,Saithe,3.57653499,1.00000000,0.87685102,0.87685102,0.46533999,2.32669997,0.95000011,0.20000000,,
9,Redfish,3.10877991,1.00000000,3.07928395,3.07928395,0.40000001,2.00000000,0.94999993,0.20000000,,
10,"Greenland Halibut",4.11536503,1.00000000,0.67710757,0.67710757,0.48789999,2.43950009,0.94999993,0.20000000,,
11,"Other Flatfish",3.40971208,1.00000000,0.86912823,0.86912823,0.52990001,2.64949989,0.95000023,0.20000000,,
12,"Other Dem. Fish",3.24688005,1.00000000,2.06480098,2.06480098,0.34687501,2.31250000,0.94999999,0.15000001,,
13,Herring,2.90000010,1.00000000,1.12386894,1.12386894,0.94999999,4.72270012,0.94999993,0.20115609,,
14,Capelin,2.90000010,1.00000000,4.11744881,4.11744881,1.32667994,6.63339996,0.95000011,0.20000000,,
15,"Other Pelagics",3.04403210,1.00000000,15.80823994,15.80823994,0.28999999,1.93333304,0.94999999,0.15000001,,
16,Nephrops,2.79999995,1.00000000,0.43538311,0.43538311,0.20000000,1.00000000,0.94999999,0.20000000,,
17,"Northern Shrimp",2.84999990,1.00000000,1.00257397,1.00257397,1.83000004,9.14999962,0.94999993,0.20000000,,
18,Molluscs,2.96109295,1.00000000,1.16746294,1.16746294,0.94950002,6.32999992,0.75000012,0.15000001,,
19,Benthos,2.00000000,1.00000000,64.68826294,64.68826294,0.60000002,6.66666698,0.50000012,0.090000004,,
20,"Other Fish",3.10809708,1.00000000,7.80885983,7.80885983,0.69999999,3.50000000,0.94999981,0.20000000,,
21,Zooplankton,2.00000000,1.00000000,18.11602020,18.11602020,5.91499996,20.0849991,0.94999993,0.29449841,,
22,"Benthic producers",1.00000000,1.00000000,3685.00000,3685.00000,4.42999983,,0.00792690,,,
23,Phytoplankton,1.00000000,1.00000000,4.59671402,4.59671402,200.000000,,0.40000001,,,
24,Detritus,1.00000000,1.00000000,200.000000,200.000000,,,0.01792440,,33458.96093750,167.29479980
