,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,51.3979988,51.3979988,255.227997,,0.33978689,,,
2,macroalgae,1.00000000,1.00000000,69.2040024,69.2040024,15.8400002,,0.13604590,,,
3,zooplankton,2.23456812,1.00000000,28.2700005,28.2700005,45.8269997,175.677002,0.89022481,0.26085940,,
4,polychaetes,2.06296301,1.00000000,324.891998,324.891998,0.89899999,5.61100006,0.60269082,0.16022100,,
5,scallops,2.00000000,1.00000000,7.04899979,7.04899979,1.57599998,10.0369997,0.80540138,0.15701900,,
6,"sea urchins",2.09566689,1.00000000,7.92500019,7.92500019,0.55100000,2.58899999,0.94904852,0.21282350,,
7,"herbivorous gastropods",2.00000000,1.00000000,25.2439995,25.2439995,0.92500001,2.77800012,0.78783631,0.33297339,,
8,"benthic detrivores",2.00000000,1.00000000,70.6790009,70.6790009,0.98900002,5.42500019,0.84472352,0.18230410,,
9,"misc. filter feeders",2.24074101,1.00000000,82.1340027,82.1340027,1.01800001,4.85900021,0.94845110,0.20950811,,
10,"predatory gastropods",2.92744207,1.00000000,28.1040001,28.1040001,1.65300000,4.73099995,0.80488348,0.34939760,,
11,"small carnivores",2.95625305,1.00000000,9.97399998,9.97399998,0.89700001,4.95200014,0.91737169,0.18113890,,
12,"predatory crabs",3.35329604,1.00000000,27.7810001,27.7810001,2.16499996,9.88899994,0.92954391,0.21893010,,
13,"sea stars",3.10658693,1.00000000,11.5670004,11.5670004,0.69199997,3.25399995,0.85805172,0.21266130,,
14,octopus,3.57133508,1.00000000,0.31500000,0.31500000,4.87799978,11.4410000,0.84395450,0.42636129,,
15,"littoral fish",2.86375499,1.00000000,1.77400005,1.77400005,1.30700004,10.4259996,0.84619021,0.12535970,,
16,"small pelagic fish",2.24444389,1.00000000,5.86899996,5.86899996,1.93900001,20.8680000,0.96597272,0.09291738,,
17,"pelagic predatory fish",3.23980188,1.00000000,1.36000001,1.36000001,0.77100003,7.92799997,0.67866993,0.09725025,,
18,"marine mammals",3.44966006,1.00000000,0.052000001,0.052000001,0.10100000,49.0870018,0.00000000,0.00205757,,
19,"sea birds",3.30204105,1.00000000,0.056000002,0.056000002,0.034000002,62.5600014,0.00000000,0.00054348,,
20,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.18759900,,,
