,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Dolphins,4.04736996,0.89999998,0.00668808,0.00601927,0.10000000,41.0699997,0.30000001,0.00243487,,
2,"Sea lions",3.92483306,0.89999998,0.021000000,0.018900000,0.098700002,50.5070000,0.39642230,0.00195419,,
3,"Intertidal birds",3.10104394,0.10000000,0.10373370,0.01037337,0.090000004,40.0000000,0.10000000,0.00225000,,
4,"Surface diving birds",3.67350888,1.00000000,0.00122335,0.00122335,0.090000004,45.0000000,0.10000000,0.00200000,,
5,"Large coastal sharks",4.27969408,0.89999998,0.014500000,0.013050000,0.30000001,6.40000010,0.86631268,0.04687500,,
6,"Small coastal sharks",3.94860005,1.00000000,0.0073199999,0.0073199999,0.31999999,10.3999996,0.60652572,0.03076923,,
7,Rays,3.32894492,1.00000000,0.83899999,0.83899999,0.38000000,7.71999979,0.00175347,0.04922280,,
8,Dhufish,4.09471798,1.00000000,0.22000000,0.22000000,0.60000002,3.90000010,0.80683142,0.15384620,,
9,"Pink snapper",3.18439102,1.00000000,0.080200002,0.080200002,0.67000002,3.79999995,0.56699771,0.17631580,,
10,"Baldchin grouper",2.91703391,1.00000000,2.90100002,2.90100002,0.70999998,9.19999981,0.09346285,0.07717391,,
11,"King wrasse",3.09866309,1.00000000,29.3299999,29.3299999,0.38000000,15.0000000,0.34081921,0.02533333,,
12,"Western foxfish",3.06303000,1.00000000,1.36899996,1.36899996,0.55000001,12.1999998,0.13025410,0.04508197,,
13,"Breaksea cod",3.33277893,1.00000000,1.03100002,1.03100002,0.63499999,13.8999996,0.12198500,0.04568345,,
14,"Inshore reef ass. herbivore",2.00000000,0.60000002,28.4699993,17.0820007,0.51999998,29.0499992,0.74549872,0.01790017,,
15,"Inshore reef ass. omnivore",2.56764102,0.60000002,0.28400001,0.17039999,1.32900000,27.7800007,0.17317970,0.04784017,,
16,"Inshore reef ass. zoobenthos feed.",2.58406901,1.00000000,13.0299997,13.0299997,0.74800003,17.7299995,0.36318469,0.04218838,,
17,"Inshore ass. carnivore",3.30454707,0.69999999,0.35200000,0.24640000,0.84200001,12.3000002,0.47115600,0.06845529,,
18,"Inshore sand ass. omnivore",2.73797202,0.60000002,0.033799998,0.020280000,0.53500003,13.4399996,0.95598441,0.03980655,,
19,"Inshore seagrass ass. omnivore",2.75925303,0.60000002,2.65899992,1.59539998,6.00000000,13.4499998,0.42002749,0.44609669,,
20,"Inshore seagrass ass. zoob. feed.",3.09191489,0.60000002,0.27599999,0.16560000,1.26499999,9.31999969,0.72565508,0.13572960,,
21,"Inshore benthopelagic carnivore",3.20244002,0.60000002,0.11900000,0.071400002,0.44000000,5.34999990,0.69997573,0.08224299,,
22,"Inshore pelagic zooplankton feed",3.01727104,0.60000002,0.0001000000,0.0000600000,1.46000004,13.6599998,0.95289230,0.10688140,,
23,"NDR reef ass. herbivore",2.00000000,1.00000000,1.89400005,1.89400005,0.48500001,16.7500000,0.87011111,0.02895522,,
24,"NDR reef ass. omnivore",2.63845706,1.00000000,9.72700024,9.72700024,1.14199996,21.2900009,0.50255609,0.05364020,,
25,"NDR reef ass. carnivore",3.43868089,1.00000000,3.20400000,3.20400000,0.44400001,7.01000023,0.06245239,0.06333809,,
26,"NDR reef ass. zoobenthos feed.",2.88098407,1.00000000,4.35300016,4.35300016,1.28900003,8.85999966,0.16777220,0.14548530,,
27,"NDR reef aa. zooplankton feed",3.01506305,1.00000000,0.39800000,0.39800000,2.06999993,10.00000000,0.22938570,0.20700000,,
28,"NDR sand ass. omnivore",2.62728310,1.00000000,15.5699997,15.5699997,0.79000002,11.0299997,0.20825221,0.07162285,,
29,"NDR sand ass. carnivore",3.47140503,1.00000000,0.0025800001,0.0025800001,0.65300000,7.50000000,0.96891832,0.08706667,,
30,"NDR sand ass. zoobenthos feed.",2.73151207,1.00000000,0.91700000,0.91700000,0.65300000,7.50000000,0.12537380,0.08706667,,
31,"NDR seagrass ass. omnivore",2.45461798,1.00000000,2.67700005,2.67700005,0.65499997,14.3000002,0.55482852,0.04580419,,
32,"NDR seagrass ass. carnivore",3.17668390,1.00000000,0.0020000001,0.0020000001,0.41999999,6.50000000,0.01531747,0.06461538,,
33,"NDR benthopelagic carnivore",3.79924393,1.00000000,0.0093099996,0.0093099996,0.29800001,2.87500000,0.93644559,0.10365220,,
34,"NDR pelagic zooplankton Feed.",2.77123189,1.00000000,0.020700000,0.020700000,1.12000000,9.50000000,0.90823847,0.11789470,,
35,"Sessile epibenthos",2.10675406,0.60000002,286.700012,172.020004,2.50000000,6.50000000,0.17095380,0.38461539,,
36,"Photo. corals/sponges",2.00000000,0.10000000,19.9500008,1.99500000,13.2500000,16.7999992,0.85227752,0.78869051,,
37,Infauna,2.00869608,1.00000000,1.46000004,1.46000004,3.90000010,27.2999992,0.75996292,0.14285710,,
38,"Infaunal bivalves",2.00717998,0.80000001,0.19300000,0.15440001,1.35000002,4.67000008,0.92739028,0.28907919,,
39,"Sessile bivalves",2.00057006,0.89999998,2.56800008,2.31119990,1.20899999,29.0000000,0.95003039,0.04168966,,
40,"Deposit feed. invert.",2.05600405,1.00000000,18.6900005,18.6900005,0.60000002,3.82999992,0.93903792,0.15665799,,
41,"Small mobil epifauna",2.06303811,1.00000000,16.8199997,16.8199997,7.01000023,27.1399994,0.98406988,0.25829041,,
42,"Small mobile herbivores",2.16106796,1.00000000,13.5100002,13.5100002,9.60000038,27.1399994,0.77051049,0.35372150,,
43,"Large mobile herb. invert.",2.00000000,1.00000000,94.4800034,94.4800034,1.13999999,7.44999981,0.86095172,0.15302010,,
44,"Large mobile carn. invert.",2.73795390,1.00000000,5.30000019,5.30000019,0.50999999,2.91000009,0.81344497,0.17525770,,
45,"Large Crabs",2.09677601,1.00000000,57.30587006,57.30587006,2.79999995,8.50000000,0.95000023,0.32941169,,
46,Cuttlefish,3.17819905,1.00000000,4.24966002,4.24966002,2.36999989,5.80000019,0.60000002,0.40862069,,
47,Squid,3.49722290,1.00000000,0.31260639,0.31260639,1.79999995,17.5000000,0.30000001,0.10285710,,
48,Octopus,3.08016610,1.00000000,8.99053383,8.99053383,2.36999989,7.90000010,0.79999989,0.30000001,,
49,"Lobster-post puerulus",2.01269698,0.69999999,5.95400000,4.16779995,2.76999998,13.4499998,0.95004958,0.20594800,,
50,"Lobster- Juvenile",2.18317389,1.00000000,23.5599995,23.5599995,0.67900002,5.74900007,0.66232407,0.11810750,,
51,"Lobster - Adolescent",2.41456294,1.00000000,10.3199997,10.3199997,1.25800002,4.36499977,0.86236328,0.28820160,,
52,"Lobster Adult",2.62428808,0.60000002,1.19400001,0.71640003,2.15000010,4.00000000,0.80834568,0.53750002,,
53,"Small Gastropods",2.05984211,1.00000000,1.03299999,1.03299999,2.70000005,14.0000000,0.59368569,0.19285710,,
54,"Large Carn. Gastropods",3.08055210,0.89999998,0.11200000,0.10080000,2.79999995,14.0000000,0.35604709,0.20000000,,
55,"Large Herb. Gastropods",2.00000000,1.00000000,15.7500000,15.7500000,2.79999995,14.0000000,0.84289807,0.20000000,,
56,"Sea turtles",2.16147494,1.00000000,0.00200000,0.00200000,0.050000001,3.50000000,0.10000000,0.01428571,,
57,"Roe abalone",2.00290394,0.10000000,1.91659904,0.19165990,2.79999995,14.0000000,0.80000001,0.20000000,,
58,"Small Zooplankton",2.00000000,1.00000000,1.98000002,1.98000002,29.5000000,55.0000000,0.23044850,0.53636372,,
59,"Large Zooplankton",2.01721501,1.00000000,12.5000000,12.5000000,17.2999992,95.0000000,0.04013285,0.18210530,,
60,Chaetognaths,2.06609511,1.00000000,2.91606593,2.91606593,8.69999981,29.0000000,0.94999993,0.30000001,,
61,"Carnivorous Jellyfish",3.05279899,1.00000000,0.26499999,0.26499999,16.5000000,80.0000000,0.00000000,0.20625000,,
62,"Microbial heterotrophs",2.00000000,1.00000000,2.50000000,2.50000000,95.0000000,215.000000,0.73330820,0.44186050,,
63,Ecklonia,1.00000000,0.25000000,28.0000000,7.00000000,3.00000000,,0.51861542,,,
64,Sargassum,1.00000000,0.25000000,300.000000,75.0000000,2.00000000,,0.75951612,,,
65,"Low algae",1.00000000,0.20000000,1200.00000,240.000000,2.00000000,,0.72850943,,,
66,Turfs,1.00000000,0.20000000,120.000000,24.0000000,2.00000000,,0.79983407,,,
67,"Corraline algae",1.00000000,0.40000001,240.000000,96.0000000,2.00000000,,0.38594371,,,
68,"Ephemeral seagrasses",1.00000000,0.15000001,431.799988,64.7699966,2.14499998,,0.89328319,,,
69,"Perenial seagrasses",1.00000000,0.20000000,462.200012,92.4400024,7.30000019,,0.99284369,,,
70,"Seagrass epiphytes",1.00000000,0.20000000,173.399994,34.6800003,2.00000000,,0.94173437,,,
71,Microphytobenthos,1.00000000,1.00000000,0.088000000,0.088000000,706.500000,,0.32188320,,,
72,"Small Phytoplankton",1.00000000,1.00000000,13.1000004,13.1000004,50.9700012,,0.99800003,,,
73,"Large Phytoplankton",1.00000000,1.00000000,3.90000010,3.90000010,24.2000008,,0.84994072,,,
74,"Detached seagrass",1.00000000,0.89999998,5.00000000,4.50000000,,,0.75740618,,,
75,"Detached brown algae",1.00000000,1.00000000,7.16400003,7.16400003,,,0.23942490,,,
76,"Detached algae other",1.00000000,1.00000000,6.82200003,6.82200003,,,0.59632993,,,
77,"Dead Carcasses",1.00000000,1.00000000,0.024000000,0.024000000,,,0.96186882,,,
78,Bait,1.00000000,1.00000000,2.00000000,2.00000000,,,0.44807461,,,
79,"Water colum detritus",1.00000000,1.00000000,5.19999981,5.19999981,,,0.44417870,,,
80,Detritus,1.00000000,1.00000000,17.9400005,17.9400005,,,0.95852089,,,
