,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Spinner dolphins",3.21118402,1.00000000,2.74000001,2.74000001,0.15099999,11.5190001,0.00690289,0.01310878,,
2,"Monk seals",3.89031410,1.00000000,0.17900001,0.17900001,0.12100000,11.5080004,0.03296551,0.01051442,,
3,"Sea birds",3.16503310,1.00000000,0.0024000001,0.0024000001,0.12700000,76.5149994,0.01171260,0.00165980,,
4,Rays,3.14973807,1.00000000,4.23299980,4.23299980,0.20000000,3.09999990,0.00210843,0.06451613,,
5,"Sharks and jacks",3.52779293,1.00000000,0.070000000,0.070000000,1.05799997,5.09999990,0.45328110,0.20745100,,
6,Hawksbills,3.17610693,1.00000000,0.054000001,0.054000001,0.10000000,3.50000000,0.06611111,0.02857143,,
7,"Green sea turtles",2.00101995,1.00000000,1.59099996,1.59099996,0.10900000,6.76359987,0.03911336,0.01611568,,
8,Piscivores,3.39350390,1.00000000,1.72950006,1.72950006,0.61500001,6.12080002,0.52660137,0.10047710,,
9,Herbivores,2.01836610,1.00000000,20.3349991,20.3349991,1.39999998,27.1490002,0.20505440,0.05156728,,
10,Corallivores,2.59666204,1.00000000,0.54170001,0.54170001,2.09999990,12.9179897,0.54740769,0.16256399,,
11,Detritivores,2.00000000,1.00000000,2.25979996,2.25979996,1.89999998,32.2718010,0.28170449,0.05887493,,
12,MIF,3.13049507,1.00000000,9.76099968,9.76099968,0.94999999,8.10760021,0.39401659,0.11717400,,
13,SIF,2.83507609,1.00000000,0.54400003,0.54400003,1.70000005,9.58090019,0.22397441,0.17743640,,
14,Zoo,2.84833789,1.00000000,3.04600000,3.04600000,1.45000005,13.3780003,0.58474803,0.10838690,,
15,Urchins,2.00005698,1.00000000,280.000000,280.000000,0.48400000,8.54699993,0.05571974,0.05662806,,
16,"Crown of thorns",2.59424305,1.00000000,0.11700000,0.11700000,0.41100001,9.00000000,0.00742404,0.04566667,,
17,"Benthic Invts",2.17764902,1.00000000,42.53813171,42.53813171,2.91000009,15.2500000,0.94999999,0.19081970,,
18,Corals,1.57606101,1.00000000,130.000000,130.000000,0.14000000,2.09999990,0.59443802,0.06666667,,
19,Octocoral,2.06968594,1.00000000,2.90000010,2.90000010,0.20000000,4.63000011,0.48431301,0.04319654,,
20,Macroalgae,1.00000000,1.00000000,22.6910000,22.6910000,9.82400036,,0.92540890,,,
21,CCA,1.00000000,1.00000000,37.8180008,37.8180008,1.76999998,,0.35753539,,,
22,"Turf algae",1.00000000,1.00000000,128.779999,128.779999,19.0000000,,0.94218451,,,
23,"Turf algae_LB",1.00000000,1.00000000,3.06500006,3.06500006,25.0000000,,0.92095751,,,
24,Zooplankton,2.02030611,1.00000000,1.24000001,1.24000001,219.000000,949.000000,0.97852272,0.23076920,,
25,Phytoplankton,1.00000000,1.00000000,3.28999996,3.28999996,325.458008,,0.98440403,,,
26,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.69430637,,,
