,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,14.0000000,14.0000000,476.000000,,0.48267221,,,
2,Periphyton,1.00000000,1.00000000,32.5999985,32.5999985,1.39999998,,0.35512269,,,
3,"Herbivorous zooplankton",2.00000000,1.00000000,37.7000008,37.7000008,105.000000,280.000000,0.69207889,0.37500000,,
4,"Carnivorous zooplankton",3.18750000,1.00000000,28.0000000,28.0000000,49.0000000,128.000000,0.57782221,0.38281250,,
5,Infauna,2.48337698,1.00000000,13.0000000,13.0000000,4.00000000,20.0000000,0.55190378,0.20000000,,
6,Bernacles,2.32500005,1.00000000,5.48000002,5.48000002,1.70000005,4.01999998,0.16530700,0.42288560,,
7,Gastropods,2.00000000,1.00000000,9.81999969,9.81999969,1.10000002,4.69999981,0.03654730,0.23404260,,
8,Bivalves,2.00000000,1.00000000,8.78999996,8.78999996,1.35000002,7.00000000,0.02559137,0.19285710,,
9,Shrimp,3.00612998,1.00000000,8.14999962,8.14999962,1.25000000,13.0000000,0.15454550,0.09615385,,
10,Crabs,2.37033391,1.00000000,5.50000000,5.50000000,0.73000002,7.00000000,0.17279200,0.10428570,,
11,Holothuroids,2.00000000,1.00000000,1.85000002,1.85000002,0.28999999,2.00000000,0.00000000,0.14500000,,
12,"Herbivorous fish",2.11187506,1.00000000,0.88999999,0.88999999,1.05999994,12.0000000,0.66822141,0.08833333,,
13,"Zooplanktivorous fish",3.80052304,1.00000000,0.63999999,0.63999999,1.28999996,6.75000000,0.96790701,0.19111110,,
14,"Benthic-feeding fish",3.70100093,1.00000000,0.51999998,0.51999998,1.97000003,5.84000015,0.97644669,0.33732879,,
15,"Piscivorous fish",3.97278094,1.00000000,0.25999999,0.25999999,0.62000000,6.00000000,0.93052107,0.10333330,,
16,"Detritivorous fish",2.00000000,1.00000000,0.28000000,0.28000000,1.66999996,13.0000000,0.97519249,0.12846150,,
17,Detritus,1.00000000,1.00000000,1000.000000,1000.000000,,,0.95409042,,,
