,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seabirds,4.48556805,1.00000000,0.0002000000,0.0002000000,0.13000000,73.6900024,0.44658700,0.00176415,,
2,"Baleen whales",4.30301189,1.00000000,0.025126999,0.025126999,0.039999999,12.1899996,0.00000000,0.00328138,,
3,"Deep-diving whales",5.12650108,1.00000000,0.014536000,0.014536000,0.039999999,5.44000006,0.00000000,0.00735294,,
4,"Killer whales",4.75239515,1.00000000,0.0015820001,0.0015820001,0.020000000,9.64000034,0.32154870,0.00207469,,
5,"Shallow-diving cetaceans",4.75667191,1.00000000,0.033620998,0.033620998,0.050000001,13.5000000,0.79592991,0.00370370,,
6,Swordfish,4.71000624,1.00000000,0.0070000002,0.0070000002,0.37000000,5.30999994,0.91142172,0.06967985,,
7,Billfishes,4.36535120,1.00000000,0.00987075,0.00987075,0.46000001,4.59999990,0.94999999,0.10000000,,
8,Yellowfin,4.85885477,1.00000000,0.00585740,0.00585740,2.00000000,15.5299997,0.94999999,0.12878300,,
9,Skipjack,4.84840393,1.00000000,0.011944000,0.011944000,1.96000004,19.6100006,0.69496292,0.09994900,,
10,Albacore,4.58489180,1.00000000,0.0097040003,0.0097040003,0.77999997,7.80000019,0.88807333,0.09999999,,
11,Bigeye,4.50223207,1.00000000,0.0016749999,0.0016749999,1.75899994,17.5900002,0.76946813,0.09999999,,
12,"Blackfin tuna",4.19563818,1.00000000,0.00520016,0.00520016,1.85000002,9.89000034,0.94999999,0.18705760,,
13,"Other offshore predators",4.57174921,1.00000000,0.28999999,0.28999999,1.87000000,7.44000006,0.18473171,0.25134411,,
14,Mackerels,4.26663685,1.00000000,0.064999998,0.064999998,1.09000003,10.3100004,0.64168042,0.10572260,,
15,Wahoo,4.80636692,1.00000000,0.00104016,0.00104016,2.50000000,31.8099995,0.94999993,0.07859164,,
16,Dolphinfish,4.43898106,1.00000000,0.027799999,0.027799999,4.71999979,20.0000000,0.95851982,0.23600000,,
17,"Pelagic sharks",4.75656700,1.00000000,0.01160465,0.01160465,0.40000001,10.00000000,0.98999989,0.04000000,,
18,Flyingfish,3.02922702,1.00000000,0.20824941,0.20824941,4.00000000,24.7600002,0.94999999,0.16155089,,
19,"Coastal predators",3.60409188,1.00000000,1.25736201,1.25736201,0.72000003,7.21999979,0.94999999,0.09972300,,
20,"Small offshore pelagics",2.95843410,1.00000000,7.39400005,7.39400005,3.59999990,14.6400003,0.33238310,0.24590160,,
21,"Small coastal pelagics",2.95912504,0.020000000,12.1999998,0.24400000,3.50000000,14.6400003,0.95660710,0.23907100,,
22,"Small mesopelagics",3.05416203,1.00000000,8.72407055,8.72407055,3.75999999,15.0000000,0.94999999,0.25066671,,
23,"Large mesopelagics",4.01638699,1.00000000,10.8330002,10.8330002,0.35499999,3.54999995,0.17684160,0.10000000,,
24,"Leatherback turtle",3.98590994,1.00000000,0.00056939,0.00056939,0.15000001,3.50000000,0.99000001,0.04285714,,
25,"Other turtles",3.50449109,0.020000000,0.03834518,0.00076690,0.15000001,3.50000000,0.99000013,0.04285714,,
26,"Small squids",3.86046505,1.00000000,1.15744305,1.15744305,5.50000000,18.3299999,0.94999993,0.30005461,,
27,"Large squids",4.39836788,1.00000000,0.17708801,0.17708801,4.59999990,15.8599997,0.35927269,0.29003781,,
28,"Small zooplankton",2.00301194,1.00000000,40.0000000,40.0000000,17.2999992,57.7000008,0.66559088,0.29982671,,
29,"Large zooplankton",3.00597000,1.00000000,9.63599968,9.63599968,8.69999981,29.0000000,0.15242840,0.30000001,,
30,Phytoplankton,1.00000000,1.00000000,32.0000000,32.0000000,42.7999992,,0.84209049,,,
31,Detritus,1.00000000,1.00000000,15.0749998,15.0749998,,,0.71918857,,,
