,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,10.00000000,10.00000000,200.000000,,0.08379135,,,
2,Zooplankton,2.00000000,1.00000000,0.75000000,0.75000000,45.0000000,200.000000,0.89932770,0.22499999,,
3,Seabreams,3.00458193,1.00000000,0.69300002,0.69300002,2.72499990,5.09999990,0.89968568,0.53431368,,
4,Grunts,3.02222300,1.00000000,0.019600000,0.019600000,3.50000000,5.80000019,0.98309052,0.60344827,,
5,Croakers,3.73600006,1.00000000,0.50700003,0.50700003,2.80999994,5.00000000,0.06338310,0.56199998,,
6,Groupers,3.62888908,1.00000000,0.023399999,0.023399999,2.00000000,4.80000019,0.75000012,0.41666669,,
7,Snappers,3.90000010,1.00000000,0.015799999,0.015799999,4.00000000,6.40000010,0.88924062,0.62500000,,
8,"Brachydeuterus aurutus",2.86432791,1.00000000,0.086599998,0.086599998,3.00000000,15.0000000,0.90550441,0.20000000,,
9,Sharks,4.15674877,1.00000000,0.056200001,0.056200001,2.00000000,10.00000000,0.76512462,0.20000000,,
10,Rays,3.90000010,1.00000000,0.048000000,0.048000000,2.00000000,10.00000000,0.89583337,0.20000000,,
11,Cephalopods,3.16049409,1.00000000,0.021600001,0.021600001,6.00000000,20.0000000,0.99691367,0.30000001,,
12,Benthos,2.44444489,1.00000000,2.78800011,2.78800011,7.00000000,30.0000000,0.89999962,0.23333330,,
13,Others,3.35555601,1.00000000,0.54699999,0.54699999,3.00000000,15.0000000,0.90161848,0.20000000,,
14,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.01770406,,,
