,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Sharks/Rays,3.92762589,1.00000000,1.75000000,1.75000000,0.18000001,4.90000010,0.46788189,0.03673470,,
2,"Midwater Pisc.",4.09198284,1.00000000,85.0000000,85.0000000,1.00000000,8.89999962,0.92046243,0.11235960,,
3,"Large Planktiv.",3.65026093,1.00000000,91.67252350,91.67252350,1.39999998,10.00000000,0.92000002,0.14000000,,
4,LgReefCarnivore,3.49561596,1.00000000,237.23480225,237.23480225,0.94999999,7.30000019,0.94999999,0.13013700,,
5,Sm.Planktivores,3.79648590,1.00000000,76.37579346,76.37579346,2.59999990,10.00000000,0.98000002,0.25999999,,
6,SmReefCarnivore,2.91328192,1.00000000,129.16850281,129.16850281,1.60000002,12.8000002,0.98000002,0.12500000,,
7,Lg.Groupers,4.29119110,1.00000000,2.67968702,2.67968702,0.40000001,2.29999995,0.20000000,0.17391300,,
8,SmReefHerbivore,2.00994992,1.00000000,69.73494720,69.73494720,1.89999998,37.4500008,0.98000008,0.05073431,,
9,LgReefHerbivore,2.00729609,1.00000000,94.13449860,94.13449860,1.54999995,22.7999992,0.96000022,0.06798246,,
10,"Sea Turtles",2.78940797,1.00000000,0.015000000,0.015000000,0.15000001,3.50000000,0.00000000,0.04285714,,
11,Cephalopods,3.87700510,1.00000000,16.55171967,16.55171967,3.50000000,11.6999998,0.95000011,0.29914531,,
12,Echinoderms,2.39569902,1.00000000,475.000000,475.000000,1.50000000,4.00000000,0.93051142,0.37500000,,
13,Crustaceans,2.97634697,1.00000000,200.24729919,200.24729919,2.75000000,10.00000000,0.98500001,0.27500001,,
14,Worms/Molluscs,2.35415101,1.00000000,633.00329590,633.00329590,3.59999990,7.00000000,0.95999992,0.51428568,,
15,"Sessile Animals",2.06399989,1.00000000,1673.57996,1673.57996,0.80000001,9.00000000,0.81691331,0.08888889,,
16,Zooplankton,2.79999995,1.00000000,40.0000000,40.0000000,65.0000000,165.000000,0.95825100,0.39393941,,
17,Decomp/Microf,2.00000000,1.00000000,50.76911163,50.76911163,134.000000,215.000000,0.94999993,0.62325579,,
18,Phytoplankton,1.00000000,1.00000000,30.0000000,30.0000000,70.0000000,,0.89291918,,,
19,"Benthic prod.",1.00000000,1.00000000,2115.00000,2115.00000,13.2500000,,0.30521280,,,
20,Detritus,1.00000000,1.00000000,3400.00000,3400.00000,,,0.45390269,,-9.00000000,-0.00264706
