,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Toothed whales",4.85000610,1.00000000,0.017790001,0.017790001,0.020000000,12.7480001,0.00000000,0.00156887,,
2,Sharks,4.68499804,1.00000000,0.01965997,0.01965997,0.15000001,4.76999998,0.74999988,0.03144654,,
3,Seals,4.68396091,1.00000000,0.11100000,0.11100000,0.056000002,13.0000000,0.15725321,0.00430769,,
4,Birds,4.67412710,1.00000000,0.0076600001,0.0076600001,1.00000000,80.0000000,0.00000000,0.01250000,,
5,"Adult saithe",4.46838617,1.00000000,0.30000001,0.30000001,0.69999999,2.00000000,0.99577522,0.34999999,,
6,"Benthic piscivores",4.31037521,1.00000000,0.54602152,0.54602152,0.54100001,2.65400004,0.99000001,0.20384330,,
7,"Adult cod (4+)",4.30132389,1.00000000,1.00000000,1.00000000,0.60000002,2.00000000,0.87378180,0.30000001,,
8,Minke,4.26296377,1.00000000,0.15941000,0.15941000,0.035000000,8.14000034,0.05842975,0.00429975,,
9,"Other baleen whales",4.25371122,1.00000000,0.11172000,0.11172000,0.020000000,12.8900003,0.00000000,0.00155159,,
10,"Juvenile saithe",4.21574116,1.00000000,0.17399999,0.17399999,1.30627596,2.93799996,0.99000013,0.44461390,,
11,"Salmon and Seatrout",4.14586592,1.00000000,0.08383543,0.08383543,0.60000002,4.00000000,0.98999989,0.15000001,,
12,"Mackerel/Horse Mackerel",4.13230896,1.00000000,0.18000001,0.18000001,0.62400001,2.26999998,0.92573732,0.27488989,,
13,"Juvenile cod (1-3)",4.04684305,1.00000000,0.31020150,0.31020150,1.50000000,3.50000000,0.99000001,0.42857140,,
14,Wolfishes,3.99469090,1.00000000,0.03560171,0.03560171,0.44999999,1.76999998,0.94999993,0.25423729,,
15,"Adult haddock (4+)",3.93680310,1.00000000,0.36716899,0.36716899,0.60000002,2.31500006,0.90505141,0.25917929,,
16,"Juvenile haddock (1-3)",3.91754603,1.00000000,0.17707190,0.17707190,1.50000000,3.50000000,0.99000001,0.42857140,,
17,"Polar cod (1+)",3.84996700,1.00000000,0.59685189,0.59685189,0.69999999,2.63299990,0.99000013,0.26585639,,
18,Redfishes,3.84716010,1.00000000,0.43497160,0.43497160,0.50000000,2.00000000,0.98999989,0.25000000,,
19,"Adult capelin (2+)",3.74650502,1.00000000,0.57427168,0.57427168,1.00000000,4.69999981,0.99000001,0.21276601,,
20,Squid,3.69062400,1.00000000,0.28412491,0.28412491,1.39999998,10.00000000,0.99000001,0.14000000,,
21,"Benthic Invertebrate Feeders 1 (BIF1)",3.68032908,1.00000000,0.96842712,0.96842712,0.30970001,3.21399999,0.94999999,0.09635968,,
22,"Lobsters  crabs",3.42010498,1.00000000,0.09958233,0.09958233,2.00000000,6.00000000,0.94999999,0.33333331,,
23,"Pelagic planktivorous fish",3.41314912,1.00000000,1.20474505,1.20474505,0.65700001,5.46500015,0.99000013,0.12021960,,
24,"Adult herring (4+)",3.38546801,1.00000000,1.00000000,1.00000000,0.69999999,4.84000015,0.93272549,0.14462809,,
25,"Juvenile capelin (1)",3.24414802,1.00000000,0.49618569,0.49618569,2.00000000,9.39999962,0.99000013,0.21276601,,
26,"Juvenile herring (1-3)",3.17141294,1.00000000,1.91690004,1.91690004,1.50000000,9.68400002,0.40191299,0.15489469,,
27,"Other macrobenthos",3.00065589,1.00000000,13.2352896,13.2352896,2.50000000,12.5000000,0.55984938,0.20000000,,
28,"Carnivorous zooplankton",2.92761207,1.00000000,6.00000000,6.00000000,8.00000000,20.0000000,0.45315629,0.40000001,,
29,"Epifaunal filter feeders",2.86140394,1.00000000,20.0000000,20.0000000,1.58000004,5.76999998,0.30922270,0.27383021,,
30,"Other crustaceans",2.66914606,1.00000000,1.14267600,1.14267600,1.48000002,7.69000006,0.94999999,0.19245771,,
31,"Prawns & shrimps",2.57269907,1.00000000,0.30744481,0.30744481,1.70000005,9.67000008,0.99000001,0.17580150,,
32,"Infaunal filter feeders",2.56140399,1.00000000,20.0000000,20.0000000,1.37000000,11.0000000,0.71704781,0.12454550,,
33,Meiofauna,2.40351009,1.00000000,9.74521923,9.74521923,19.0000000,47.50000000,0.99000013,0.40000001,,
34,"Herbivorous zooplankton",2.20100498,1.00000000,15.0000000,15.0000000,9.00000000,25.0000000,0.67979199,0.36000001,,
35,"Planktonic micro-organisms",2.00502491,1.00000000,1.19834602,1.19834602,150.000000,375.00000000,0.99000001,0.40000001,,
36,"Benthic micro-organisms",2.00000000,1.00000000,1.12721097,1.12721097,150.000000,375.00000000,0.99000001,0.40000001,,
37,Phytoplankton,1.00000000,1.00000000,20.0000000,20.0000000,55.0000000,,0.28985319,,,
38,"Seaweeds and algae",1.00000000,1.00000000,0.018571431,0.018571431,2.00000000,,0.23318470,,,
39,"Dead carcasses",1.00000000,1.00000000,,,,,0.98159689,,,
40,"Water column detritus",1.00000000,1.00000000,50.0000000,50.0000000,,,0.66991192,,,
41,"Benthic detritus",1.00000000,1.00000000,50.0000000,50.0000000,,,0.95678842,,,
