,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.72571898,1.00000000,0.040887870,0.040887870,0.0099999998,6.26000023,0.00000000,0.00159744,,
2,"Toothed whales",4.46660423,1.00000000,0.0039055401,0.0039055401,0.039999999,9.92000008,0.00000000,0.00403226,,
3,"Sperm whale",5.04355812,1.00000000,0.055496491,0.055496491,0.050000001,5.03000021,0.00000000,0.00994036,,
4,Dolphins,4.30013323,1.00000000,0.0086115198,0.0086115198,0.050000001,13.7399998,0.16195360,0.00363901,,
5,"Monk seal",4.20633507,0.0099999998,0.0000233000,0.0000002330,0.079999998,13.1499996,0.00000000,0.00608365,,
6,Shearwaters,4.37050486,1.00000000,0.0001146400,0.0001146400,0.090000004,42.7200012,0.00000000,0.00210674,,
7,"Small petrels",3.89480305,1.00000000,0.0000358000,0.0000358000,0.19000000,91.2399979,0.41979471,0.00208242,,
8,"Coastal birds",3.75832891,0.15000001,0.0000273000,0.0000040950,0.050000001,69.7300034,0.00000000,0.00071705,,
9,Turtles,3.98364401,1.00000000,0.0005157000,0.0005157000,0.15000001,3.50000000,0.37941870,0.04285714,,
10,"Pelagic sharks",4.57544804,1.00000000,0.00048426,0.00048426,0.27000001,1.44000006,0.40000001,0.18750000,,
11,"Deep-sea sharks",4.68604279,0.94999999,0.04070312,0.03866796,0.36000001,2.00999999,0.60000002,0.17910451,,
12,Rays,3.96023107,0.89999998,0.00044024,0.00039621,0.22000000,2.28999996,0.60000002,0.09606987,,
13,"Bigeye tuna",4.25843096,1.00000000,0.00171325,0.00171325,1.88000000,6.00000000,0.94999999,0.31333330,,
14,"Skipjack tuna",4.11294794,1.00000000,0.00116583,0.00116583,1.42999995,10.3999996,0.94999993,0.13750000,,
15,"Other tunas",4.26319981,1.00000000,0.00133265,0.00133265,0.95999998,8.06999969,0.94999999,0.11895910,,
16,"Pelagic fish L",4.50656700,1.00000000,0.00016544,0.00016544,0.73000002,5.26999998,0.94999993,0.13851990,,
17,"Pelagic fish M",4.22010279,1.00000000,0.00010252,0.00010252,0.87000000,3.93000007,0.94999999,0.22137401,,
18,"Chub mackerel",3.34382510,1.00000000,0.02777745,0.02777745,1.98000002,5.59999990,0.94999993,0.35357139,,
19,"Blue Jack mackerel",3.36021399,1.00000000,0.03178940,0.03178940,1.75999999,6.50000000,0.94999999,0.27076921,,
20,"Pelagic fish S",2.86388898,1.00000000,0.10946890,0.10946890,1.98000002,16.0300007,0.94999999,0.12351840,,
21,"Epipelagic fish S/M",3.15763903,1.00000000,0.01470073,0.01470073,0.82999998,5.34999990,0.94999993,0.15514021,,
22,"Reef fish L",3.95383501,0.15000001,0.00000244,0.00000037,0.44000000,3.42000008,0.94999993,0.12865500,,
23,"Reef fish M",2.77671099,0.15000001,0.01966906,0.00295036,1.25999999,12.1400003,0.94999993,0.10378910,,
24,"Reef fish S",2.87172890,0.15000001,0.82385552,0.12357830,2.49000001,17.5300007,0.94999999,0.14204220,,
25,"Benthopelagic fish M",3.52726793,0.50000000,0.02224001,0.01112000,1.00999999,4.28999996,0.94999999,0.23543119,,
26,"Benthic fish S/M",3.53871202,0.30000001,0.28150749,0.08445225,1.08000004,5.86999989,0.94999993,0.18398640,,
27,"Demersal fish L",4.26894712,0.30000001,0.01828048,0.00548414,0.56999999,2.88000011,0.94999993,0.19791670,,
28,"Demersal fish M",3.96450901,0.30000001,0.06324125,0.01897238,0.34000000,3.67000008,0.94999999,0.09264305,,
29,"Demersal fish S",3.41019011,1.00000000,0.51805228,0.51805228,0.60000002,6.11999989,0.95000023,0.09803922,,
30,"Black scabbard fish",4.59921598,0.30000001,0.07135491,0.02140647,0.52999997,2.51999998,0.95000023,0.21031740,,
31,Myctophids,2.95974994,1.00000000,1.05822802,1.05822802,1.75999999,13.8800001,0.94999999,0.12680110,,
32,"Mesopelagic fish S",3.08394694,1.00000000,0.52067322,0.52067322,2.26999998,14.3400002,0.94999993,0.15829851,,
33,"Deepwater fish L",4.22688723,1.00000000,0.03245707,0.03245707,0.25999999,2.15000010,0.94999999,0.12093020,,
34,"Deepwater fish M",3.77959394,1.00000000,1.42838895,1.42838895,0.40000001,4.01000023,0.94999993,0.09975062,,
35,"Deepwater fish S",3.13868690,1.00000000,1.14143395,1.14143395,0.75400001,5.44999981,0.94999999,0.13834859,,
36,"Epipelagic cephalopods S",4.09175110,1.00000000,0.01495697,0.01495697,8.50000000,25.0000000,0.94999999,0.34000000,,
37,"Mesopelagic cephalopods S/M",3.47332907,1.00000000,0.19194770,0.19194770,4.44999981,16.8600006,0.95000011,0.26393831,,
38,"Mesopelagic cephalopods L",4.35060501,1.00000000,0.08196647,0.08196647,2.50000000,10.00000000,0.95000011,0.25000000,,
39,Crabs,2.58732104,1.00000000,0.74846858,0.74846858,1.60000002,10.00000000,0.94999999,0.16000000,,
40,Shrimps,2.86458898,1.00000000,1.63096702,1.63096702,1.45000005,11.7399998,0.94999981,0.12350940,,
41,Echinoderms,2.70026112,1.00000000,0.84913439,0.84913439,1.72000003,6.90999985,0.85000002,0.24891460,,
42,"Suprabenthic zooplankton",2.05263209,1.00000000,2.20528293,2.20528293,16.0000000,42.0000000,0.94999981,0.38095239,,
43,Mollusks,2.39412189,1.00000000,5.72690678,5.72690678,2.24000001,5.50000000,0.90000021,0.40727270,,
44,"Other benthos",2.62939906,1.00000000,5.30588102,5.30588102,2.74000001,12.2500000,0.89999992,0.22367349,,
45,Jellyfish,3.08333302,1.00000000,0.03269164,0.03269164,13.8699999,50.4799995,0.94999999,0.27476230,,
46,"Sessile filter feeders",2.20000005,1.00000000,2.05782700,2.05782700,0.80000001,9.00000000,0.50000000,0.08888889,,
47,"Zooplankton L",2.27777791,1.00000000,2.14496994,2.14496994,8.69999981,29.0000000,0.94999999,0.30000001,,
48,"Zooplankton S",2.00000000,1.00000000,10.8999996,10.8999996,11.2100000,43.2900009,0.36851260,0.25895119,,
49,Macroalgae,1.00000000,0.10000000,61.67097092,6.16709709,27.9500008,,0.50000000,,,
50,Phytoplankton,1.00000000,1.00000000,9.31999969,9.31999969,121.820000,,0.30214080,,,
51,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.23158990,,,
