,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Marine mammals",4.65067005,1.00000000,0.015840000,0.015840000,0.070000000,14.1000004,0.00000000,0.00496454,,
2,Seabirds,3.82385397,1.00000000,0.010833330,0.010833330,0.11760000,112.989998,0.00000000,0.00104080,,
3,"Rays and skates",3.41816497,1.00000000,0.057828840,0.057828840,0.11478040,2.26699996,0.00051223,0.05063097,,
4,"Velvet belly",3.99628592,1.00000000,0.089465961,0.089465961,0.23187260,4.19399977,0.00101231,0.05528675,,
5,"Rabbit fish",3.45970011,1.00000000,1.21583200,1.21583200,0.12477210,4.80200005,0.01287525,0.02598336,,
6,"Greater argentine",3.29235005,1.00000000,0.17018940,0.17018940,0.33575031,4.59000015,0.49286580,0.07314821,,
7,"Blue whiting",3.36095500,1.00000000,0.76403028,0.76403028,0.61331272,4.85799980,0.06586318,0.12624800,,
8,"Large fish feeders",4.18121099,1.00000000,0.092509300,0.092509300,0.062151790,1.61500001,0.46754241,0.03848408,,
9,Pouts,3.24009895,1.00000000,0.14623700,0.14623700,1.01367998,7.85699987,0.57345122,0.12901621,,
10,"Witch flounder",3.00803399,1.00000000,0.24112330,0.24112330,0.68123049,4.83699989,0.26212609,0.14083740,,
11,"Other commercial demersal fishes",3.72048998,1.00000000,0.22972110,0.22972110,0.18471409,3.15000010,0.89696312,0.05863939,,
12,Redfishes,3.56165099,1.00000000,0.12185700,0.12185700,0.19269870,3.95099998,0.11462710,0.04877213,,
13,"Mesopelagic fishes",3.12423706,1.00000000,0.60840720,0.60840720,0.98100001,12.1320000,0.90000010,0.08086053,,
14,Hagfish,2.18424296,1.00000000,0.018918920,0.018918920,0.30000001,6.40399981,0.45682850,0.04684572,,
15,"Benthopelagic cephalopods",3.68289208,1.00000000,0.0061187488,0.0061187488,1.67999995,12.7720003,0.76494497,0.13153771,,
16,"Pelagic shrimps",3.16810608,1.00000000,1.29316998,1.29316998,1.22000003,8.32999992,0.90000057,0.14645860,,
17,"Benthopelagic shrimps",2.90223098,1.00000000,0.50431901,0.50431901,1.50000000,10.00000000,0.89999992,0.15000001,,
18,"Benthic detritivore echinoderms",2.17500591,1.00000000,0.27838761,0.27838761,0.23000000,3.63000011,0.79827148,0.06336088,,
19,"Detritivore polychaetes",2.16249990,1.00000000,13.1330004,13.1330004,1.50999999,10.0699997,0.30387831,0.14995040,,
20,"Other benthic detritivore invertebrates",2.21950006,1.00000000,0.45148671,0.45148671,0.55000001,2.88000011,0.97234929,0.19097219,,
21,"Predatory invertebrates",3.19917798,1.00000000,0.71002048,0.71002048,1.00000000,6.67000008,0.90633500,0.14992499,,
22,"Sea cucumbers",2.16500092,1.00000000,4.81538010,4.81538010,0.23000000,2.88000011,0.04410930,0.07986111,,
23,"Jellyfish and ctenophores",3.13323998,1.00000000,3.23529410,3.23529410,6.50000000,23.5000000,0.10846150,0.27659571,,
24,"Large krill",2.38608193,1.00000000,10.6166697,10.6166697,1.25000000,16.7999992,0.50239062,0.07440477,,
25,"Small krill",2.16552401,1.00000000,11.1499996,11.1499996,2.50000000,16.7000008,0.43202990,0.14970060,,
26,"Macro mesozooplankton",2.30423498,1.00000000,20.0000000,20.0000000,6.50000000,26.0000000,0.77788562,0.25000000,,
27,Microzooplankton,2.14499998,1.00000000,4.19999981,4.19999981,36.5000000,121.699997,0.89527601,0.29991779,,
28,Suprabenthos,2.25061202,1.00000000,0.24976090,0.24976090,1.30999994,8.72999954,0.92995822,0.15005730,,
29,Meiofauna,2.25000000,1.00000000,1.14248300,1.14248300,10.6400003,42.56000137,0.63688070,0.25000000,,
30,Bacteria,2.00000000,1.00000000,1.80377495,1.80377495,143.000000,340.500000,0.90000027,0.41997060,,
31,"Large phytoplankton",1.00000000,1.00000000,18.0000000,18.0000000,65.0000000,,0.58647442,,,
32,"Heterotrophic nanofl.",2.90000010,1.00000000,1.63800001,1.63800001,36.5000000,121.669998,0.94580710,0.29999179,,
33,"Marine snow",1.00000000,1.00000000,122.300003,122.300003,,,0.56368500,,,
34,"Large pieces kelp detritus",1.00000000,1.00000000,1.04700005,1.04700005,,,0.78209031,,,
35,"Small pieces kelp detritus",1.00000000,1.00000000,22.0000000,22.0000000,,,0.54966241,,,
36,"Benthic detritus",1.00000000,1.00000000,67.0000000,67.0000000,,,0.80088770,,,
