,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Pytoplankton,1.00000000,1.00000000,17.6289997,17.6289997,114.565002,,0.11919820,,,
2,Mesozooplankton,2.05263209,1.00000000,2.65978289,2.65978289,38.2869987,127.62329865,0.89999992,0.30000001,,
3,"Benthic invertebrates",2.11111093,1.00000000,4.29402399,4.29402399,2.00000000,10.00000000,0.89999998,0.20000000,,
4,"Deep water rose shrimp",3.02447701,1.00000000,0.31400001,0.31400001,1.23800004,4.95200014,0.53637731,0.25000000,,
5,"European anchovy",3.00000000,1.00000000,6.73999977,6.73999977,1.14900005,7.97916698,0.76224488,0.14399999,,
6,"European pilchard",3.02105308,1.00000000,1.47399998,1.47399998,1.05599999,9.86915874,0.85535318,0.10700000,,
7,"Horse mackerel",3.08806992,1.00000000,1.50399995,1.50399995,1.00000000,7.35294104,0.95014048,0.13600001,,
8,Mullets,3.12531590,1.00000000,0.15500000,0.15500000,0.58800000,4.32352877,0.46527889,0.13600001,,
9,Turbot,4.09320879,1.00000000,0.015000000,0.015000000,0.52200001,4.31405020,0.12771390,0.12100000,,
10,Whiting,4.00391579,1.00000000,0.17299999,0.17299999,0.69999999,2.79999995,0.99806422,0.25000000,,
11,"European hake",4.03773308,1.00000000,0.28000000,0.28000000,0.65200001,4.17948723,0.60217339,0.15600000,,
12,Bluefish,4.00383997,1.00000000,0.57599998,0.57599998,0.88599998,8.05454540,0.60125709,0.11000000,,
13,"Atlantic bonito",4.01930380,1.00000000,0.38999999,0.38999999,1.49800003,6.37446785,0.20893940,0.23500000,,
14,"Thornback ray",3.72450399,1.00000000,0.079000004,0.079000004,0.38999999,2.48407602,0.29211289,0.15700001,,
15,"Picked dogfish",3.99824190,1.00000000,0.030999999,0.030999999,0.47400001,3.05806398,0.13610999,0.15500000,,
16,Dolphins,4.18352413,1.00000000,0.037000000,0.037000000,0.12052000,12.0520000,0.00000000,0.0099999998,,
17,Detritus,1.00000000,1.00000000,106.313004,106.313004,,,0.06550574,,,
