,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Bottlenose dolphins",4.22875118,1.00000000,0.014371040,0.014371040,0.029999999,12.8142300,0.00000000,0.00234115,,
2,"Striped dolphins",4.20840120,1.00000000,0.010800000,0.010800000,0.034657810,14.1059198,0.00000000,0.00245697,,
3,"Endangered and pelagic seabirds",3.99716091,1.00000000,0.0009251880,0.0009251880,0.40870261,73.7493134,0.00000000,0.00554178,,
4,"Gulls and cormorants",4.04893303,1.00000000,0.0003356740,0.0003356740,0.31202680,70.7960968,0.00000000,0.00440740,,
5,Terns,3.98695898,1.00000000,0.0000085919,0.0000085919,0.29373601,85.3996964,0.00000000,0.00343954,,
6,"Loggerhead turtles",3.30957103,1.00000000,0.011022790,0.011022790,0.20126070,2.51742506,0.00000000,0.07994705,,
7,"Non-commercial large pelagic fishes",3.74916792,1.00000000,0.0077790301,0.0077790301,0.13757530,1.62770796,0.00000000,0.08452088,,
8,"Other large pelagic fishes",4.01772499,1.00000000,0.0038991871,0.0038991871,0.41314441,4.13144398,0.45287949,0.10000000,,
9,Mackerels,3.50926709,1.00000000,0.010645100,0.010645100,0.85920060,7.31195402,0.58356148,0.11750630,,
10,"Horse mackerels",3.47733593,1.00000000,0.0047939429,0.0047939429,0.87154478,7.26287317,0.72786832,0.12000000,,
11,"Other medium pelagic fishes",3.93657207,1.00000000,0.0037951660,0.0037951660,0.69367158,6.47087288,0.59958899,0.10719910,,
12,"European sardine",2.95302606,1.00000000,0.056048121,0.056048121,1.63671505,10.9114304,0.52688032,0.15000001,,
13,"European anchovy",3.01001692,1.00000000,0.013960090,0.013960090,1.63252902,10.8835297,0.63096851,0.15000001,,
14,"Round sardinella",3.11623311,1.00000000,0.0004556920,0.0004556920,1.37689698,9.17930984,0.76940352,0.15000001,,
15,"Other small pelagic fish",3.01631093,1.00000000,0.030530009,0.030530009,1.30207896,9.84582329,0.76553869,0.13224681,,
16,Anglerfish,3.99890089,1.00000000,0.0052235881,0.0052235881,0.57606512,4.29734182,0.63418281,0.13405150,,
17,"European conger",3.96370292,1.00000000,0.0013634270,0.0013634270,0.64029038,4.63005114,0.73578942,0.13829011,,
