,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Engraulis encransiculus",3.04999995,1.00000000,10.5000000,10.5000000,1.98000002,9.13000011,0.18220261,0.21686751,,
2,"Atherina spp.",3.04999995,1.00000000,0.10300000,0.10300000,1.70000005,15.6499996,0.81124902,0.10862620,,
3,"Chromis chromis",2.90350008,1.00000000,0.77999997,0.77999997,1.07000005,8.39999962,0.94838601,0.12738100,,
4,"Dicentrarchus labrax",3.93676805,1.00000000,0.92299998,0.92299998,0.56999999,5.13000011,0.09000000,0.11111110,,
5,"Diplodus spp.",3.01025009,1.00000000,1.77199996,1.77199996,1.15999997,5.80000019,0.00000000,0.20000000,,
6,Mugilidae,2.09999990,1.00000000,1.71099997,1.71099997,0.62000000,17.7000008,0.54842931,0.03502825,,
7,"Sarpa salpa",2.00000000,1.00000000,0.83999997,0.83999997,0.99000001,14.3999996,0.00000000,0.06875000,,
8,"Sciaena umbra",3.20931506,1.00000000,2.83699989,2.83699989,0.62000000,3.09999990,0.00000000,0.20000000,,
9,"Sparus aurata",3.17580009,1.00000000,0.10900000,0.10900000,0.99000001,4.73999977,0.00000000,0.20886080,,
10,Bivalvi,2.20499992,1.00000000,17.1380005,17.1380005,0.43399999,2.17000008,0.82021838,0.20000000,,
11,Policheti,2.00000000,1.00000000,30.9370003,30.9370003,0.80599999,4.03000021,0.71391618,0.20000000,,
12,Anfipodi,2.00000000,1.00000000,0.13100000,0.13100000,0.84700000,4.23500013,0.00000000,0.20000000,,
13,Decapodi,2.32999992,1.00000000,0.79799998,0.79799998,0.89999998,5.28299999,0.97217262,0.17035770,,
14,Echinodermi,2.00000000,1.00000000,0.38299999,0.38299999,0.84500003,4.22499990,0.31756759,0.20000000,,
15,microzooplancton,2.00000000,1.00000000,0.80000001,0.80000001,8.58500004,34.34000015,0.86648887,0.25000000,,
16,mesozooplancton,2.04999995,1.00000000,1.29999995,1.29999995,8.58500004,34.34000015,0.95689130,0.25000000,,
17,fitoplancton,1.00000000,1.00000000,48.5999985,48.5999985,93.2779999,,0.01845053,,,
18,macroalghe,1.00000000,1.00000000,190.669998,190.669998,11.6800003,,0.01217559,,,
19,Detrito,1.00000000,1.00000000,1.00000000,1.00000000,,,0.02346759,,,
