,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,sharks,,,,,,,,,,,
1,"juvenile sharks",3.43611193,1.00000000,0.084430002,0.084430002,2.00000000,,17.9606209,0.00237279,0.11135470,,
2,"adult sharks",3.84077191,1.00000000,0.0000006873,0.0000006873,0.50999999,,3.90000105,0.28529420,0.13076919,,
3,dolphins,3.44749403,1.00000000,0.0022900000,0.0022900000,,0.098999999,30.0000000,0.00147656,0.00330000,,
4,"Kemp Ridley sea turtle",3.19621611,1.00000000,0.0070000002,0.0070000002,,0.19000000,3.50000000,0.22556590,0.05428571,,
5,"sea birds",3.18230391,1.00000000,0.0074680001,0.0074680001,,1.00000000,17.7369995,0.20294289,0.05637932,,
,"red drum",,,,,,,,,,,
6,"juvenile red drum",2.34899211,1.00000000,0.20000000,0.20000000,2.20000005,,4.49994278,0.58749008,0.48889509,,
7,"adult red drum",3.15658593,1.00000000,0.0014860490,0.0014860490,0.62000000,,1.86006498,0.37290111,0.33332169,,
,"black drum",,,,,,,,,,,
8,"juvenile black drum",2.32784009,1.00000000,0.10878790,0.10878790,2.00000000,,22.6438408,0.85646081,0.08832424,,
9,"adult black drum",2.68643308,1.00000000,0.0011682470,0.0011682470,0.50000000,,6.35899687,0.27391511,0.07862875,,
,"sand seatrout",,,,,,,,,,,
10,"juvenile sand seatrout",3.00000000,1.00000000,0.0001007523,0.0001007523,3.70000005,,38.6145592,0.05910871,0.09581878,,
11,"adult sand seatrout",2.94041204,1.00000000,0.022545500,0.022545500,0.69999999,,5.39999580,0.17206700,0.12962970,,
,sstrout,,,,,,,,,,,
12,"juvenile spotted seatrout",2.78478503,1.00000000,0.0000594000,0.0000594000,3.70000005,,29.1002197,0.03126391,0.12714680,,
13,"adult spotted seatrout",3.37282896,1.00000000,0.0021573440,0.0021573440,0.69999999,,5.39999485,0.58745837,0.12962970,,
,LMB,,,,,,,,,,,
14,"juvenile largemouth bass",2.98149991,1.00000000,0.0028477500,0.0028477500,2.00000000,,9.29942226,0.46022090,0.21506710,,
