,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seabirds,3.79525590,1.00000000,0.0051000002,0.0051000002,0.050000001,0.18279999,0.19607840,0.27352300,,
2,Dolphins,3.95947003,1.00000000,0.091799997,0.091799997,0.01341000,0.044700000,0.00000000,0.30000001,,
3,Sharks,4.26328802,1.00000000,0.036600001,0.036600001,0.22540000,1.00000000,0.25346559,0.22540000,,
4,"Pelagic fish",3.49721289,1.00000000,0.43000001,0.43000001,0.40000001,1.39999998,0.34317660,0.28571430,,
5,"Demersal fish",3.45082307,1.00000000,0.38999999,0.38999999,0.40000001,1.36899996,0.95481652,0.29218411,,
6,Omnivores,2.75556993,1.00000000,0.20000000,0.20000000,0.34999999,1.39600003,0.95784920,0.25071630,,
7,Dugongs,2.00000000,1.00000000,0.0075200000,0.0075200000,0.0089999996,0.030479999,0.00000000,0.29527560,,
8,Turtles,2.00000000,1.00000000,0.0070000002,0.0070000002,0.020000000,0.079999998,0.78571421,0.25000000,,
9,"Sand crabs",2.90405107,1.00000000,0.60000002,0.60000002,0.69999999,2.40000010,0.49506500,0.29166669,,
10,Prawns,2.13725495,1.00000000,0.69999999,0.69999999,1.97200000,7.50000000,0.36848399,0.26293331,,
11,Jellyfish,3.11111093,1.00000000,1.07500005,1.07500005,0.090000004,0.40000001,0.69688892,0.22499999,,
12,Macrobenthos,2.45170307,1.00000000,0.80000001,0.80000001,1.79999995,6.00000000,0.57611167,0.30000001,,
13,Zooplankton,2.11111093,1.00000000,6.42000008,6.42000008,8.47999954,30.0000000,0.41952789,0.28266671,,
14,Seagrass,1.00000000,1.00000000,16.0000000,16.0000000,25.5499992,,0.00124350,,,
15,Macroalgae,1.00000000,1.00000000,25.9099998,25.9099998,20.0000000,,0.00106058,,,
16,Phytoplankton,1.00000000,1.00000000,11.3000002,11.3000002,28.0000000,,0.54932731,,,
17,Discards,1.00000000,1.00000000,2.00000000,2.00000000,,,0.96006632,,0.00667134,0.00333567
18,Detritus,1.00000000,1.00000000,3.83599997,3.83599997,,,0.00504591,,,
