,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,céphalopodes,3.59899998,1.00000000,0.80000001,0.80000001,1.20000005,12.0000000,0.58004159,0.10000000,,
2,"gros crustacés",2.71000004,1.00000000,1.20000005,1.20000005,0.54000002,5.40000010,0.93481481,0.10000000,,
3,"zooplancton her",2.00000000,1.00000000,0.22402629,0.22402629,10.00000000,50.0000000,0.89999998,0.20000000,,
4,phoques,3.75235009,1.00000000,0.0030000000,0.0030000000,0.10000000,12.8000002,0.00000000,0.00781250,,
5,"poissons adulte",2.99180007,1.00000000,1.00000000,1.00000000,0.50000000,5.00000000,0.41920000,0.10000000,,
6,Macrobenthos2,2.00000000,1.00000000,30.0000000,30.0000000,0.69999999,7.00000000,0.69208771,0.10000000,,
7,Crepidule,2.00000000,1.00000000,34.0000000,34.0000000,0.30000001,6.00000000,0.06372549,0.050000001,0.64999998,0.01911765
8,huîtres2,2.00000000,1.00000000,0.16000000,0.16000000,0.51999998,10.39999962,0.96153861,0.050000001,,
9,Phytoplancton,1.00000000,1.00000000,2.29999995,2.29999995,40.0000000,,0.91786230,,,
10,"juvenile cephal",3.18000007,1.00000000,0.30000001,0.30000001,2.00000000,20.0000000,0.63973331,0.10000000,,
11,"phytobenthos 2",1.00000000,1.00000000,0.27000001,0.27000001,100.0000000,,0.87522441,,,
12,"oiseaux limicol",3.00000000,1.00000000,0.0099999998,0.0099999998,0.40000001,13.33333015,0.25000000,0.029999999,,
13,"juvéniles poiss",3.00000000,1.00000000,0.47266841,0.47266841,6.44999981,21.5000000,0.89999992,0.30000001,,
14,"petites espèces",2.79999995,1.00000000,0.38749051,0.38749051,6.90000010,23.0000000,0.94999993,0.30000001,,
15,Mulets,2.09999990,1.00000000,0.01408889,0.01408889,1.00000000,20.0000000,0.89999992,0.050000001,,
16,anatidés,2.00000000,1.00000000,0.0020000001,0.0020000001,0.20000000,8.00000000,0.00000000,0.025000000,,
17,mouton,2.00000000,1.00000000,0.15000001,0.15000001,0.28000000,5.59999990,0.23809519,0.050000001,,
18,macrobenthos,2.00000000,1.00000000,3.49292994,3.49292994,4.80000019,36.0000000,0.89999998,0.13333330,,
19,Meiobenthos,2.00000000,1.00000000,1.13914394,1.13914394,10.00000000,50.0000000,0.50000000,0.20000000,,
20,Moules,2.00000000,1.00000000,3.20000005,3.20000005,1.00000000,20.00000000,0.67909068,0.050000001,,
21,huîtres,2.00000000,1.00000000,0.44999999,0.44999999,0.69999999,14.00000000,0.76190478,0.050000001,,
22,Macrophytes,1.00000000,1.00000000,40.0000000,40.0000000,1.51999998,,0.01651316,,,
23,Phytobenthos1,1.00000000,1.00000000,13.0000000,13.0000000,160.000000,,0.15579030,,,
24,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.12644389,,,
