,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Walrusses,3.29580688,1.00000000,0.0000010000,0.0000010000,0.059999999,16.8462009,0.00000000,0.00356163,,
2,Cetaceans,3.97667193,1.00000000,0.25099999,0.25099999,0.10000000,11.7939997,0.00000000,0.00847889,,
3,"Grey seals",4.35201979,1.00000000,0.0000010000,0.0000010000,0.059999999,16.0000000,0.28105110,0.00375000,,
4,"Harp Seals",4.12903786,1.00000000,0.18400000,0.18400000,0.10200000,17.4120007,0.16144590,0.00585803,,
5,"Hooded Seals",4.65026522,1.00000000,0.034000002,0.034000002,0.10900000,13.1000004,0.04830460,0.00832061,,
6,Ducks,3.00000000,1.00000000,0.0001680000,0.0001680000,0.25000000,54.7500000,0.33333331,0.00456621,,
7,"Piscivorous Birds",4.14152622,1.00000000,0.0099889999,0.0099889999,0.25000000,54.7500000,0.40873960,0.00456621,,
8,"Planktivorous Birds",3.29963493,1.00000000,0.0021690000,0.0021690000,0.25000000,54.7500000,0.32457349,0.00456621,,
9,"Cod + 40cm",4.06840420,1.00000000,2.41507006,2.41507006,0.34999999,3.24000001,0.44096029,0.10802470,-0.20000000,-0.08281334
10,"Cod  <40 cm",3.73726511,1.00000000,0.34000000,0.34000000,0.80000001,6.09000015,0.07538037,0.13136290,-0.30000001,-0.88235289
11,"Aplaice +35cm",3.59228897,1.00000000,0.97000003,0.97000003,0.54000002,2.00000000,0.03307705,0.27000001,-0.12000000,-0.12371130
12,Aplaice<=35cm,3.59693098,1.00000000,0.77999997,0.77999997,0.63000000,3.74000001,0.34019119,0.16844919,-0.30000001,-0.38461539
13,"G. Halibut +65cm",4.36924410,1.00000000,0.34999999,0.34999999,0.30000001,1.48000002,0.96884340,0.20270270,,
14,"G. Halibut Juv.",4.09336519,1.00000000,0.50000000,0.50000000,0.87000000,4.48000002,0.77603447,0.19419640,,
15,"Yellowtail flounder",3.10152698,1.00000000,0.17132530,0.17132530,0.53366899,3.59999990,0.94999999,0.14824140,-0.050000001,-0.29184261
16,"Witch flounder",3.02010703,1.00000000,0.38933229,0.38933229,0.58786398,2.30448294,0.94999999,0.25509581,-0.10000000,-0.25685000
17,"Winter flounder",3.07913709,1.00000000,0.04835872,0.04835872,0.26736701,1.64357102,0.94999993,0.16267440,,
18,Skates,4.06857777,1.00000000,0.51999998,0.51999998,0.28999999,2.87800002,0.04153479,0.10076440,-0.050000001,-0.09615385
19,Dogfish,3.88488293,1.00000000,0.01751092,0.01751092,0.19298001,4.76999998,0.94999999,0.04045703,,
20,Redfish,3.51881003,1.00000000,1.88000000,1.88000000,0.33000001,2.00000000,0.15227830,0.16500001,-0.50000000,-0.26595739
21,"Transient Mackerel ( +29cm)",3.75012112,1.00000000,0.37254700,0.37254700,0.30000001,4.40000010,0.16546080,0.06818182,,
22,"L. Dem. Pisc (+40 cm)",4.24458313,1.00000000,0.11074810,0.11074810,0.61661297,4.11075306,0.94999999,0.15000001,-0.0099999998,-0.09029499
23,"Juv. Dem. Pisc (- 40cm)",3.81002092,1.00000000,4.64334297,4.64334297,0.14672799,1.39999998,0.94999993,0.10480570,,
24,"L.Plankt.Dem.Feed. (+ 30cm)",3.31343889,1.00000000,0.26732919,0.26732919,0.27173799,1.74699998,0.94999993,0.15554550,-0.039999999,-0.14962821
25,"S.Plank.Dem.Feed. (<30cm)",3.22564912,1.00000000,5.33317280,5.33317280,0.23242500,2.00000000,0.94999999,0.11621250,,
26,O.S.Demersals,3.08875203,1.00000000,1.57177806,1.57177806,0.56403202,4.50000000,0.94999999,0.12534040,,
27,Lumpfish,3.37753510,1.00000000,0.23245920,0.23245920,0.11427300,1.39999998,0.94999999,0.08162357,,
28,"Greenland cod",3.95164299,1.00000000,0.10552520,0.10552520,0.16600899,1.29999995,0.94999993,0.12769920,,
29,Salmon,4.13707590,1.00000000,0.01412667,0.01412667,0.61391473,4.09276485,0.94999993,0.15000001,,
30,Capelin,3.11736989,1.00000000,13.6099997,13.6099997,1.14999998,4.30000019,0.55589390,0.26744181,-6.00000000,-0.44085231
31,Sandlance,3.10959601,1.00000000,2.69000006,2.69000006,1.14999998,7.66699982,0.91031289,0.14999349,,
32,"Arctic cod",3.24535489,1.00000000,3.00000000,3.00000000,0.40000001,2.63299990,0.80706978,0.15191799,,
33,Herring,3.16063595,1.00000000,1.51298404,1.51298404,0.54396898,4.09999990,0.94999993,0.13267539,,
34,"Transient Pelagics",3.92561102,1.00000000,0.01235614,0.01235614,0.40000001,1.99000001,0.94999999,0.20100500,,
35,"Small Pelagics",3.23484802,1.00000000,4.70630980,4.70630980,0.63838202,1.76699996,0.94999999,0.36128011,,
36,"Small Mesopelagics",3.26141596,1.00000000,1.52742195,1.52742195,1.42204201,4.78938198,0.94999999,0.29691559,,
37,"Short finned squid",3.88753605,1.00000000,0.81109852,0.81109852,0.60000002,4.00000000,0.94999993,0.15000001,,
38,"Arctic squid",3.15656590,1.00000000,1.85211897,1.85211897,0.50000000,3.33333302,0.94999999,0.15000001,,
39,"Large Crabs  +95 cm",2.91283011,1.00000000,0.17443401,0.17443401,0.38000000,4.42000008,0.84210712,0.08597285,0.029999999,0.17198481
40,"Small Crabs  - 95 cm",3.01559806,1.00000000,7.60423899,7.60423899,0.38000000,4.42000008,0.94999999,0.08597285,0.10000000,0.01315056
41,Lobster,2.92496991,1.00000000,0.0044789999,0.0044789999,0.38000000,4.42000008,0.94065750,0.08597285,,
42,Shrimp,2.42757607,1.00000000,1.46000004,1.46000004,1.45000005,9.66699982,0.99121368,0.14999481,,
43,Echinoderms,2.00000000,1.00000000,112.300003,112.300003,0.60000002,6.66699982,0.11783750,0.08999550,,
44,Polychaetes,2.00000000,1.00000000,10.5000000,10.5000000,2.00000000,22.2220001,0.38364029,0.09000090,,
45,Bivalves,2.00000000,1.00000000,42.0999985,42.0999985,0.56999999,6.33300018,0.41739699,0.09000473,,
46,"O.Benthic Inver",2.00000000,1.00000000,7.80000019,7.80000019,2.50000000,12.5000000,0.73854578,0.20000000,,
47,L.Zooplankton,2.31313109,1.00000000,22.4599991,22.4599991,3.43300009,19.5000000,0.90546912,0.17605130,,
48,S.Zooplankton,2.00000000,1.00000000,33.6699982,33.6699982,8.39999962,20.6669998,0.72827929,0.40644509,,
49,Phytoplankton,1.00000000,1.00000000,26.8600006,26.8600006,93.0999985,,0.38208210,,,
50,Detritus,1.00000000,1.00000000,389.000000,389.000000,,,0.61587888,,,
