,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Whale fish eater",4.30271196,1.00000000,0.69999999,0.69999999,,0.12000000,6.00000000,0.00295071,0.02000000,,
2,"Whale zooplankton eater",3.58599496,1.00000000,0.013600000,0.013600000,,0.055000000,3.46799994,0.49704549,0.01585929,,
3,"Whale squid eater",4.53269100,1.00000000,0.12100000,0.12100000,,0.090999998,6.00000000,0.00000000,0.01516667,,
4,"Whale mammal eater",5.25419807,1.00000000,0.0003060000,0.0003060000,,0.083999999,8.10000038,0.00000000,0.01037037,,
5,"Seal harp",4.48525095,0.50000000,0.51999998,0.25999999,,0.14900000,17.6420002,0.23720810,0.00844575,,
6,"Seal hooded",4.86200905,1.00000000,0.031500001,0.031500001,,0.11500000,18.3299999,0.13522710,0.00627387,,
7,"Seal other",4.69095182,1.00000000,0.016000001,0.016000001,,0.13400000,13.0000000,0.03027052,0.01030769,,
8,"Seabird piscivore",4.27583504,1.00000000,0.0070000002,0.0070000002,,0.25000000,119.000000,0.07081715,0.00210084,,
9,"Seabird planktivore",3.48117709,1.00000000,0.0055999998,0.0055999998,,0.15000001,64.6050034,0.00000000,0.00232180,,
10,"Seabird benthivore",3.62715101,1.00000000,0.0016800000,0.0016800000,,0.13000000,45.2910004,0.00000000,0.00287033,,
11,"Greenland shark",5.17856884,1.00000000,0.0088000000,0.0088000000,,0.0099999998,0.12500000,0.00000000,0.08000000,,
,"Atlantic Cod",,,,,,,,,,,
12,"Atlantic cod greater than 35cm",4.04650116,1.00000000,2.18000007,2.17999911,0.40200001,,1.61500096,0.98921353,0.24891619,,
13,"Atlantic cod less than 35cm",3.67129207,1.00000000,0.20014900,0.20014900,0.40200001,,4.10193014,0.98726910,0.09800265,,
14,"Greenland halibut",4.41567993,1.00000000,0.80000001,0.80000001,,0.64499998,2.40000010,0.85290980,0.26875001,,
15,"Other piscivorous fish",4.37923717,1.00000000,0.037000000,0.037000000,,0.31169999,4.95400000,0.93328798,0.06291885,,
16,Redfish,3.70645499,1.00000000,1.20000005,1.20000005,,0.33000001,2.00000000,0.80177408,0.16500001,,
17,"Arctic cod",3.47649693,1.00000000,4.54829979,4.54829979,,0.60000002,4.00000000,0.55083472,0.15000001,,
18,"Other plank-piscivourous fish",3.56126308,1.00000000,0.027690001,0.027690001,,0.34999999,2.29999995,0.78733402,0.15217391,,
,"American Plaice",,,,,,,,,,,
19,"American plaice greater than 35cm",3.64554095,1.00000000,0.40000001,0.40000001,0.60000002,,2.00000095,0.55040193,0.29999989,,
20,"American plaice less than 35cm",3.58858991,1.00000000,1.41079998,1.41079998,0.60000002,,3.85559607,0.87491369,0.15561800,,
21,"Thorny skate",3.97810698,1.00000000,0.13000000,0.13000000,,0.15000001,1.79200006,0.99161458,0.08370536,,
22,"Other large benthivorous fish",3.63330793,1.00000000,0.89999998,0.89999998,,0.30000001,1.33000004,0.86874610,0.22556390,,
23,"Witch flounder",3.49017096,1.00000000,0.059999999,0.059999999,,0.38000000,2.59899998,0.82568341,0.14621010,,
24,"Other medium benthivourous fish",3.65763688,1.00000000,0.38499999,0.38499999,,0.40000001,2.00000000,0.94110888,0.20000000,,
25,"Small benthivourous fish",3.59962010,1.00000000,2.42855906,2.42855906,,0.44999999,2.00000000,0.98000008,0.22499999,,
26,Herring,3.67361999,1.00000000,1.85377896,1.85377896,,1.14999998,3.14750004,0.98000002,0.36536929,,
27,Sandlance,3.55971694,1.00000000,1.74346399,1.74346399,,1.14999998,7.65999985,0.98000002,0.15013060,,
28,Capelin,3.48116899,1.00000000,3.04999995,3.04999995,,1.20000005,4.30000019,0.94769073,0.27906981,,
29,"Other planktivorous fish",2.88501191,1.00000000,2.80547309,2.80547309,,1.14999998,4.19000006,0.98000002,0.27446300,,
30,Squid,3.56260610,1.00000000,0.40000001,0.40000001,,3.40000010,13.1999998,0.99911559,0.25757581,,
31,Shrimp,2.43948197,1.00000000,0.58499998,0.58499998,,1.70000005,11.3299999,0.98089772,0.15004410,,
32,"Snow crab",3.56243896,1.00000000,0.24200000,0.24200000,,0.50000000,3.05999994,0.91243422,0.16339870,,
33,"Predatory invertebrates",3.15538001,1.00000000,20.0000000,20.0000000,,2.50000000,8.73299980,0.83096188,0.28627050,,
34,"Deposit feeding invertebrates",2.45970201,1.00000000,85.0000000,85.0000000,,2.50000000,9.10000038,0.92207968,0.27472529,,
35,"Suspension feeding invertebrates",2.00000000,1.00000000,61.0000000,61.0000000,,0.94999999,3.70000005,0.87483871,0.25675681,,
36,Macrozooplankton,2.48419905,1.00000000,17.53186989,17.53186989,,3.43000007,19.5000000,0.98000002,0.17589740,,
37,"Large mesozooplankton",2.57531691,1.00000000,14.0000000,14.0000000,,10.00000000,28.0000000,0.85884488,0.35714290,,
38,"Small mesozooplankton",2.36817503,1.00000000,5.50000000,5.50000000,,33.0000000,105.366997,0.87245369,0.31319109,,
39,Microzooplankton,2.00000000,1.00000000,5.36000013,5.36000013,,73.0000000,240.000000,0.92940122,0.30416670,,
40,"Large phytoplankton",1.00000000,1.00000000,7.17500019,7.17500019,,106.000000,,0.88745570,,,
41,"Small phytoplankton",1.00000000,1.00000000,11.7849998,11.7849998,,106.000000,,0.93734193,,,
42,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.98293269,,,
