,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,phyto,1.00000000,1.00000000,4.56500006,4.56500006,,117.300003,,0.68697178,,,
2,micro-,2.05263209,1.00000000,0.47499999,0.47499999,,258.846985,776.540771,0.68968338,0.33333340,,
3,mesozooplankton,2.32963991,1.00000000,2.78999996,2.78999996,,29.1849995,87.5547104,0.99024212,0.33333439,,
4,Macrozooplankton,2.91864705,1.00000000,0.28742841,0.28742841,,21.0730000,53.1699295,0.94999999,0.39633301,,
5,"Jellyfish+ mnemiopsis",3.24663806,1.00000000,2.47600007,2.47600007,,4.83599997,12.0902596,0.09243836,0.39999139,,
6,Suprabenthos,2.21716094,1.00000000,1.10899997,1.10899997,,7.31500006,54.4015884,0.60917991,0.13446300,,
7,Polychaetes,2.10838294,1.00000000,5.33300018,5.33300018,,1.63300002,12.4621401,0.91832888,0.13103691,,
8,Shrimps,3.14098811,1.00000000,0.39899999,0.39899999,,3.18000007,7.51518488,0.97931641,0.42314330,,
9,Crabs,2.97744608,1.00000000,0.27000001,0.27000001,,2.42300010,4.93705893,0.95878989,0.49077800,,
10,"Norway lobster",3.05996394,1.00000000,0.024000000,0.024000000,,1.31799996,4.75961685,0.97911942,0.27691299,,
11,"Benthic invert. (no crustacea)",2.05335593,1.00000000,8.71199989,8.71199989,,1.14800000,3.26701808,0.94494772,0.35139081,,
12,"Benthic cephalopods",3.48313594,1.00000000,0.29200000,0.29200000,,2.68300009,5.50000000,0.97401649,0.48781821,,
13,"Benthopelagic cephalopods",4.17730522,1.00000000,0.11400000,0.11400000,,2.59599996,26.4699993,0.97236472,0.09807329,,
14,Mullets,2.86950493,1.00000000,0.071999997,0.071999997,,1.79900002,7.67140007,0.98341179,0.23450740,,
15,Anglerfish,4.37883282,1.00000000,0.081000000,0.081000000,,0.90399998,4.34501696,0.72300297,0.20805439,,
16,Flatfishes,3.63726091,1.00000000,0.061000001,0.061000001,,1.59800005,9.09172821,0.99569851,0.17576420,,
17,"Other gadiforms",3.85690308,1.00000000,0.18200000,0.18200000,,1.10000002,7.63662910,0.97292751,0.14404260,,
18,Hake,4.27985001,1.00000000,0.30599999,0.30599999,,0.74500000,5.26110411,0.96334910,0.14160530,,
19,DemeFish1,3.44540906,1.00000000,0.068000004,0.068000004,,1.55100000,7.47940683,0.98531067,0.20736940,,
20,DemeFish2,4.35583782,1.00000000,0.075999998,0.075999998,,1.49399996,5.15135002,0.97851080,0.29002109,,
21,DemeFish3,3.35647988,1.00000000,0.20100001,0.20100001,,1.71300006,8.44809055,0.97829282,0.20276770,,
22,DemeFish4,3.14804697,1.00000000,0.098999999,0.098999999,,2.22300005,9.00293541,0.97424918,0.24691950,,
23,BepeFish,3.61676407,1.00000000,0.26800001,0.26800001,,1.25000000,9.27484798,0.96803218,0.13477311,,
24,"picarels and bogue",3.38839698,1.00000000,0.18700001,0.18700001,,1.69000006,7.68234777,0.97175378,0.21998480,,
25,sharks,3.68518305,1.00000000,0.082000002,0.082000002,,0.57800001,5.15834188,0.59190589,0.11205150,,
26,"rays & skates",4.13161802,1.00000000,0.082000002,0.082000002,,0.87500000,4.07209396,0.74099988,0.21487720,,
,anchovy,,,,,,,,,,,
27,"Juv anchovy",3.32963991,1.00000000,0.35834110,0.35834110,2.24546409,,12.2089901,0.95108318,0.18391889,,
28,"Adult anchovy",3.32963991,1.00000000,1.78999996,1.79000103,1.37336397,,5.20124722,0.91052657,0.26404509,,
,sardine,,,,,,,,,,,
29,"Juv sardine",3.32963991,1.00000000,0.17938951,0.17938951,1.61603701,,18.4114208,0.95855868,0.08777362,,
30,"Adult sardine",3.33011007,1.00000000,0.81000012,0.81000012,1.20232999,,9.49176502,0.97794813,0.12667090,,
31,"Horse mackerel",3.50426507,1.00000000,0.18200000,0.18200000,,1.07799995,7.78894186,0.98239541,0.13840130,,
32,Mackerel,3.70252395,1.00000000,0.28400001,0.28400001,,0.97100002,5.87897205,0.97574329,0.16516490,,
33,"Other Small pelagic fishes",3.33320689,1.00000000,0.56300002,0.56300002,,0.75300002,8.40518665,0.98106807,0.08958754,,
34,"Medium pelagic fish",4.35755110,1.00000000,0.20000000,0.20000000,,0.61000001,3.23925400,0.88255161,0.18831500,,
35,"Large pelagic fishes",4.52859879,1.00000000,0.035000000,0.035000000,,0.33500001,2.38903189,0.65781999,0.14022420,,
36,"Loggerhead turtle",2.96525407,1.00000000,0.020000000,0.020000000,,0.16400000,2.68403196,0.06496951,0.06110211,,
37,"Sea birds",3.09580302,1.00000000,0.0010000000,0.0010000000,,4.78200006,111.613602,0.00794096,0.04284424,,
38,dolphins,4.57901478,1.00000000,0.0099999998,0.0099999998,,0.082999997,13.8078899,0.25669399,0.00601106,,
39,Detritus,1.00000000,1.00000000,31.4400005,31.4400005,,,,0.51522321,,,
40,Discards,1.00000000,1.00000000,0.58399999,0.58399999,,,,0.79742712,,,
