,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,203.664001,203.664001,35.7000008,,0.66693091,,,
2,Microzooplankto,2.06382990,1.00000000,3.64532900,3.64532900,482.000000,1928.00000,0.89999998,0.25000000,,
3,Mesozooplankton,2.53191495,1.00000000,17.37957001,17.37957001,40.0000000,133.332993,0.89999998,0.30000079,,
4,Macrozooplankto,2.61276603,1.00000000,19.72126007,19.72126007,13.0000000,31.7070007,0.89999992,0.41000411,,
5,"Gelatinous zoop",3.23262405,1.00000000,245.660004,245.660004,0.44000000,1.46700001,0.14987560,0.29993179,,
6,Meiobenthos,2.00000000,1.00000000,46.42947006,46.42947006,8.00000000,33.0000000,0.99900001,0.24242420,,
7,Macrobenthos,3.02173901,1.00000000,22.41900063,22.41900063,1.20000005,10.00000000,0.99900001,0.12000000,,
8,Sardine,2.65114903,1.00000000,0.43829301,0.43829301,1.35000002,14.0000000,0.99900007,0.09642857,,
9,Anchovy,3.03353190,1.00000000,0.15000001,0.15000001,1.79999995,18.0000000,0.95425272,0.09999999,,
10,"Pelagic Goby",3.09834695,1.00000000,19.99920082,19.99920082,1.79999995,12.0000000,0.99900007,0.15000001,,
11,Mesopelagics,3.58042598,1.00000000,10.54728985,10.54728985,1.23000002,12.3000002,0.99900001,0.10000000,,
12,cephalopods,3.96182704,1.00000000,1.86437798,1.86437798,5.00000000,15.0000000,0.99900001,0.33333331,,
13,"Other small pel",3.52322602,1.00000000,7.48038197,7.48038197,0.95822400,9.34934044,0.99900001,0.10249110,,
14,"Juvenile horse",3.38851094,1.00000000,4.40995693,4.40995693,1.20000005,10.00000000,0.99900001,0.12000000,,
15,"Adult horse mac",3.59756088,1.00000000,5.36199999,5.36199999,0.80000001,5.33300018,0.64858198,0.15000939,,
16,"Large pelagics",4.54048586,1.00000000,0.18799999,0.18799999,0.50000000,5.00000000,0.27555141,0.10000000,,
17,"Small M. capens",3.97227693,1.00000000,2.06915212,2.06915212,2.00000000,13.3332996,0.99900001,0.15000039,,
18,"Large M. capens",4.44680405,1.00000000,3.32800007,3.32800007,1.22825003,7.82439995,0.92762458,0.15697689,,
19,"Large M. parado",4.11294079,1.00000000,1.89400005,1.89400005,1.14002097,7.27750015,0.65618968,0.15665010,,
20,Benthic-feeding,3.98496890,1.00000000,2.54720497,2.54720497,1.00000000,5.00000000,0.99900001,0.20000000,,
21,Pelagic-feeding,3.95446396,1.00000000,1.30019796,1.30019796,1.00000000,5.00000000,0.99900001,0.20000000,,
22,Chondrichthyans,3.76724792,1.00000000,0.36000001,0.36000001,0.50000000,3.33330011,0.66666007,0.15000150,,
23,Seabirds,4.28598404,1.00000000,0.0040000002,0.0040000002,0.15600000,120.300003,0.60761112,0.00129676,,
24,Seals,4.58225298,1.00000000,0.25299999,0.25299999,0.28999999,18.2500000,0.17056189,0.01589041,,
25,Cetaceans,4.25667191,1.00000000,0.018999999,0.018999999,0.15000001,7.41830015,0.00000000,0.02022027,,
26,Detritus,1.00000000,1.00000000,,,,,0.85813671,,,
