,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Mangroves,1.00000000,1.00000000,13000.0000,13000.0000,0.15000001,,0.69721109,,,
2,Phyto/Microphytobenthos,1.00000000,1.00000000,6.40000010,6.40000010,185.000000,,0.50103462,,,
3,Zooplankton,2.11111093,1.00000000,1.50000000,1.50000000,100.0000000,300.000000,0.73619998,0.33333331,,
4,"Small benthos",2.17284012,1.00000000,9.97000027,9.97000027,12.0000000,50.0000000,0.90289152,0.23999999,,
5,"Predatory snails",3.08642006,1.00000000,2.09999990,2.09999990,0.50000000,4.00000000,0.64571428,0.12500000,,
6,"Predatory crabs",3.05179095,1.00000000,2.50000000,2.50000000,2.00000000,22.0000000,0.76701880,0.09090909,,
7,"Fiddler crabs",2.00000000,1.00000000,14.5000000,14.5000000,5.50000000,95.0000000,0.66082668,0.05789474,,
8,"Land (mangrove) crabs",2.00000000,1.00000000,82.7907486,82.7907486,0.25000000,14.0000000,0.94999999,0.01785714,,
9,"Wood borers",2.00000000,1.00000000,2.50000000,2.50000000,2.20000005,15.0000000,0.94545448,0.14666671,,
10,Shrimps,2.52160501,1.00000000,2.20000005,2.20000005,5.50000000,25.0000000,0.64384037,0.22000000,,
11,"WCFeeders fish <7cm",2.77777791,1.00000000,1.89999998,1.89999998,5.40000010,20.0000000,0.65335029,0.27000001,,
12,"WCFeeders fish >7",3.34861112,1.00000000,1.29999995,1.29999995,2.29999995,13.0000000,0.88099909,0.17692310,,
13,"Bent.Feed.Fish <10",3.10262299,1.00000000,2.00000000,2.00000000,3.00000000,8.00000000,0.86306238,0.37500000,,
14,"Bent.Feed.Fish >10",3.49470592,1.00000000,3.20000005,3.20000005,0.80000001,4.00000000,0.84034401,0.20000000,,
15,"Predatory fish",3.99538898,1.00000000,0.69999999,0.69999999,0.69999999,4.00000000,0.64712977,0.17500000,,
16,Insects,2.00000000,1.00000000,0.89999998,0.89999998,6.19999981,30.0000000,0.85531068,0.20666669,,
17,Mammals,2.95726395,1.00000000,0.32400000,0.32400000,0.34999999,50.0000000,0.95000011,0.00700000,,
18,Birds,3.17650509,1.00000000,0.36000001,0.36000001,0.30000001,60.0000000,0.94999993,0.00500000,,
19,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.87508827,,,
