,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",4.43087721,1.00000000,0.067000002,0.067000002,,0.020000000,9.89999962,0.00000000,0.00202020,,
2,"Toothed whales",4.64753103,1.00000000,0.017000001,0.017000001,,0.020000000,17.6299992,0.00000000,0.00113443,,
3,Seals,4.97851276,1.00000000,0.0080000004,0.0080000004,,0.090000004,26.8419991,0.00000000,0.00335295,,
4,Seabirds,3.42749691,1.00000000,0.0030000000,0.0030000000,,0.28000000,216.000000,0.00000000,0.00129630,,
5,"Juvenile sharks",4.28475189,1.00000000,0.0010000000,0.0010000000,,0.50000000,2.50000000,0.38855779,0.20000000,,
6,Spurdog,4.75299311,1.00000000,0.01678431,0.01678431,,0.60000002,2.00000000,0.94999993,0.30000001,,
7,"Large piscivorous sharks",4.92207623,1.00000000,0.0020000001,0.0020000001,,0.47999999,1.60000002,0.28326029,0.30000001,,
8,"Small sharks",4.33891296,1.00000000,0.0020000001,0.0020000001,,0.50999999,2.96000004,0.41678950,0.17229730,,
9,"Juvenile rays",4.23696995,1.00000000,0.26800001,0.26800001,,0.66000003,1.70000005,0.00547293,0.38823530,,
10,"Starry ray + others",4.45297718,1.00000000,0.10900000,0.10900000,,0.66000003,1.70000005,0.09445015,0.38823530,,
11,"Thornback & Spotted ray",4.49912405,1.00000000,0.066000000,0.066000000,,0.77999997,2.29999995,0.10859370,0.33913040,,
12,"Skate + cuckoo ray",4.43003893,1.00000000,0.050000001,0.050000001,,0.34999999,1.79999995,0.00390980,0.19444440,,
,Cod,,,,,,,,,,,
13,"Juvenile Cod(0-2, 0-40cm)",4.30794382,1.00000000,0.12406880,0.12406880,1.78999996,,8.01194572,0.75266743,0.22341640,,
14,"Cod (adult)",4.81173801,1.00000000,0.16100000,0.16099989,1.19000006,,3.50000095,0.74853581,0.33999991,,
,Whiting,,,,,,,,,,,
15,"Juvenile Whiting (0-1, 0-20cm)",4.25685787,1.00000000,0.021825040,0.021825040,2.35999990,,17.4020309,0.78202188,0.13561630,,
16,"Whiting (adult)",4.34941912,1.00000000,0.35200000,0.35200030,0.88999999,,5.45999908,0.97470522,0.16300370,,
,Haddock,,,,,,,,,,,
17,"Juvenile Haddock (0-1, 0-20cm)",4.06104183,1.00000000,0.0066770110,0.0066770110,2.00000000,,14.3897600,0.81637508,0.13898771,,
18,"Haddock (adult)",4.26819801,1.00000000,0.10400000,0.10400000,1.13999999,,4.40000010,0.99410039,0.25909090,,
