,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Polar bear",4.82508278,1.00000000,0.0009900000,0.0009900000,0.40000001,6.00000000,0.79356062,0.06666667,,
2,Beluga,4.02072811,1.00000000,0.016000001,0.016000001,0.28999999,17.0000000,0.67882758,0.01705882,,
3,Narwhal,4.04811907,1.00000000,0.10300000,0.10300000,0.02670783,19.7999992,0.75999999,0.00134888,,
4,Walrus,3.17551708,1.00000000,0.014100000,0.014100000,0.086000003,30.3999996,0.89969492,0.00282895,,
5,"Ringed seal",3.80975103,1.00000000,0.089000002,0.089000002,0.18400000,16.5000000,0.44799861,0.01115151,,
6,"Little auk",3.13748503,1.00000000,0.13270000,0.13270000,0.15000001,64.6050034,0.00609897,0.00232180,,
7,"Arctic cod Adult",3.21296501,1.00000000,5.41720009,5.41720009,0.40000001,2.63000011,0.79890388,0.15209121,,
8,"Other fish",3.07287788,1.00000000,2.59580803,2.59580803,0.72000003,3.00000000,0.85000002,0.23999999,,
9,Arthropods,2.48315191,1.00000000,9.00000000,9.00000000,0.75000000,6.00000000,0.91880971,0.12500000,,
10,Bivalves,2.15874600,1.00000000,10.9499998,10.9499998,0.62000000,6.32999992,0.99063891,0.09794629,,
11,Echinoderms,2.50400996,1.00000000,12.1000004,12.1000004,0.55000001,2.20000005,0.98373818,0.25000000,,
12,Worms,2.21098900,1.00000000,13.7799997,13.7799997,0.94999999,4.00000000,0.88119853,0.23750000,,
13,"Large copepods",2.17128706,1.00000000,23.4200001,23.4200001,5.50000000,20.0000000,0.13801970,0.27500001,,
14,"Medium copepods",2.12211204,1.00000000,9.48999977,9.48999977,18.0000000,45.0000000,0.99132138,0.40000001,,
15,"Arctic cod Larvae",2.05980992,1.00000000,0.45600000,0.45600000,31.6000004,105.000000,0.10709220,0.30095240,,
16,"Other meso-zooplankton",2.22112203,1.00000000,12.1999998,12.1999998,22.0000000,80.0000000,0.59822488,0.27500001,,
17,"Large pelagic producers",1.00000000,1.00000000,25.0000000,25.0000000,34.5000000,,0.71058458,,,
18,"Small pelagic producers",1.00000000,1.00000000,13.0000000,13.0000000,64.8700027,,0.60038608,,,
19,"Pelagic detritus",1.00000000,1.00000000,0.50000000,0.50000000,,,0.28670311,,,
20,"Benthic detritus",1.00000000,1.00000000,0.050000001,0.050000001,,,0.88392162,,,
