,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Marine Mammals",4.22849703,1.00000000,0.027262570,0.027262570,,1.00000000,12.65822983,0.03010873,0.079000004,,
2,Seals,3.84347892,1.00000000,0.15000001,0.15000001,,0.079999998,19.4444408,0.88986641,0.00411429,0.0049999999,0.03333333
3,Birds,3.53662205,1.00000000,0.016878961,0.016878961,,0.16000000,120.300003,0.83816332,0.00133001,,
4,Sharks,4.09268999,1.00000000,0.41121969,0.41121969,,0.50000000,2.00000000,0.57660419,0.25000000,,
5,Tuna,3.89812112,1.00000000,1.00000000,1.00000000,,0.25000000,5.00000000,0.02384649,0.050000001,,
6,Snoek,3.65816808,1.00000000,0.66420388,0.66420388,,0.25000000,2.50000000,0.94999999,0.10000000,,
7,"Other linefish",3.73733091,1.00000000,0.12135420,0.12135420,,0.20000000,2.00000000,0.58474839,0.10000000,,
,Anchovy,,,,,,,,,,,
8,"Anchovy juvs",2.00000000,1.00000000,0.0048929970,0.0048929970,10.00000000,,103.904503,0.70284063,0.09624222,,
9,"Anchovy adults",2.75978708,1.00000000,5.69999981,5.70000076,0.85000002,,11.6000099,0.78516299,0.07327580,,
,Sardine,,,,,,,,,,,
10,"Sardine juvs",2.00000000,1.00000000,0.023125570,0.023125570,10.00000000,,48.4485588,0.37867919,0.20640451,,
11,"Sardine adults",2.43211889,1.00000000,26.0000000,25.9999809,0.52999997,,4.99997997,0.39805621,0.10600040,,
,Gobies,,,,,,,,,,,
12,"Gobies juvs",2.00000000,1.00000000,0.0044485172,0.0044485172,7.00000000,,144.177994,0.62990832,0.04855110,,
13,"Gobies adults",2.09418988,1.00000000,6.30000019,6.30000114,1.10000002,,15.0000000,0.87710941,0.07333336,,
14,"Other sm pelagics",3.16576290,1.00000000,9.20526600,9.20526600,,0.75000000,7.50000000,0.94999999,0.10000000,,
15,Mesopelagics,3.24000001,1.00000000,7.26861286,7.26861286,,1.23000002,12.30000019,0.50000012,0.10000000,,
,"H mackerel",,,,,,,,,,,
16,"Juv. h mackerel",3.00000000,1.00000000,0.84687662,0.84687662,1.70000005,,15.3162699,0.90486503,0.11099310,,
17,"Adult h mackerel",3.34308100,1.00000000,7.00000000,7.00000191,0.40000001,,5.19999790,0.38938549,0.07692310,,
,Hake,,,,,,,,,,,
18,"J hake",3.38302708,1.00000000,0.48160419,0.48160419,1.04999995,,11.2734499,0.89084512,0.09313919,,
19,"A hake",3.34572101,1.00000000,24.0000000,24.0000095,0.40000001,,2.39999795,0.40731999,0.16666681,,
20,Monkfish,4.02495623,1.00000000,0.60000002,0.60000002,,0.23999999,2.40000010,0.80201912,0.10000000,,
21,"Other demersals",2.78483105,1.00000000,1.15968597,1.15968597,,1.00000000,10.00000000,0.94999999,0.10000000,,
22,Cephalopods,3.43331099,1.00000000,1.02239394,1.02239394,,1.50000000,15.00000000,0.94999999,0.10000000,,
23,Macrobenthos,2.05571294,1.00000000,7.91624498,7.91624498,,1.20000005,10.00000000,0.94999999,0.12000000,,
24,Crabs,2.39965105,1.00000000,0.22984830,0.22984830,,1.20000005,8.60000038,0.94999999,0.13953491,,
25,Lobster,2.52785707,1.00000000,0.23616430,0.23616430,,1.20000005,4.00000000,0.94999993,0.30000001,,
,Jellyfish,,,,,,,,,,,
26,"Jellyfish juvs",2.00000000,1.00000000,0.0016438720,0.0016438720,5.00000000,,11.1599503,0.35359341,0.44803071,,
27,"Jellyfish adults",2.25225210,1.00000000,13.1999998,13.1999998,0.37099999,,0.90400028,0.82530802,0.41039810,,
28,Macrozooplankton,2.40000010,1.00000000,15.36345005,15.36345005,,13.0000000,32.50000000,0.94999993,0.40000001,,
29,Mesozooplankton,2.00000000,1.00000000,26.0000000,26.0000000,,40.0000000,133.33329773,0.35672611,0.30000001,,
30,"Benthic producers",1.00000000,1.00000000,0.59150022,0.59150022,,15.0000000,,0.50000000,,,
31,Phytoplankton,1.00000000,1.00000000,433.440002,433.440002,,49.8691902,,0.10273510,,,
32,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.08698783,,,
