,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Sea Otters",3.62550306,1.00000000,0.0001000000,0.0001000000,0.13000000,101.500000,0.07310597,0.00128079,,
2,Mysticetae,3.06574297,1.00000000,1.33899999,1.33899999,0.020000000,9.10000038,0.00000000,0.00219780,,
3,Odontocetae,3.97731996,1.00000000,0.061314680,0.061314680,0.039999999,15.5000000,0.00000000,0.00258065,,
4,"Seals, sea lions",3.77313709,1.00000000,0.25839761,0.25839761,0.059999999,15.1000004,0.01257995,0.00397351,,
5,Seabirds,3.63893008,1.00000000,0.0073710000,0.0073710000,0.10000000,105.199997,0.00000000,0.00095057,,
6,"Transient salmon",3.11596298,1.00000000,0.20800000,0.20800000,2.48000002,8.32999992,0.74560457,0.29771909,,
7,"Coho salmon",3.75426102,1.00000000,0.024000000,0.024000000,2.75999999,13.80000019,0.97787488,0.20000000,,
8,"Chinook salmon",3.67036200,1.00000000,0.035999998,0.035999998,2.16000009,10.80000019,0.97064841,0.20000000,,
9,"Small squid",2.91991305,1.00000000,1.08982003,1.08982003,6.02299976,34.6749992,0.94640470,0.17369860,,
10,Squid,3.22747803,1.00000000,0.76520002,0.76520002,6.02299976,34.6749992,0.96308488,0.17369860,,
11,Ratfish,3.41205812,1.00000000,0.51700002,0.51700002,0.098999999,1.39999998,0.99777752,0.07071429,,
12,Dogfish,3.61588907,1.00000000,0.90899998,0.90899998,0.098999999,2.71900010,0.85438138,0.03641044,,
13,"Juvenile pollock",3.18479991,1.00000000,0.13200000,0.13200000,1.06099999,5.30499983,0.81805980,0.20000000,,
14,Pollock,3.48089790,1.00000000,0.35900000,0.35900000,0.26300001,1.16799998,0.52448052,0.22517130,,
15,"Forage fish",3.04024005,1.00000000,8.47799969,8.47799969,1.43200004,8.39500046,0.96575803,0.17057770,,
16,Eulachon,3.05876994,1.00000000,1.65999997,1.65999997,1.43200004,8.39500046,0.81588638,0.17057770,,
17,"Juvenile herring",3.01999998,1.00000000,2.26500010,2.26500010,2.19000006,10.9499998,0.81493282,0.20000000,,
18,"Adult herring",3.18000007,1.00000000,0.65799999,0.65799999,0.68300003,5.84000015,0.96188557,0.11695210,,
19,"Juvenile POP",3.03999996,1.00000000,0.061999999,0.061999999,0.67199999,3.21000004,0.77244908,0.20934580,,
20,"Adult POP",3.20436907,1.00000000,0.56099999,0.56099999,0.14399999,2.14000010,0.99971759,0.06728971,,
21,"Inshore rockfish",3.72838092,1.00000000,0.10000000,0.10000000,0.19000000,5.68800020,0.89853019,0.03340365,,
22,"Juvenile picivorous rockfish",3.25740004,1.00000000,0.0070000002,0.0070000002,0.26100001,1.88999999,0.77160949,0.13809520,,
23,"Adult picivorous rockfish",3.32884502,1.00000000,0.65399998,0.65399998,0.037000000,1.25999999,0.59168541,0.02936508,,
24,"Juvenile planktivorous rockfish",3.09999990,1.00000000,0.13600001,0.13600001,0.26100001,3.21000004,0.80627108,0.08130841,,
25,"Adult planktivorous rockfish",3.47932911,1.00000000,1.20700002,1.20700002,0.068000004,2.14000010,0.97549063,0.03177570,,
26,"Juvenile turbot",3.89812589,1.00000000,0.21799999,0.21799999,0.33000001,2.17199993,0.83833718,0.15193370,,
27,"Adult turbot",3.68553996,1.00000000,1.52999997,1.52999997,0.22000000,1.98300004,0.98673290,0.11094300,,
28,"Juvenile flatfish",3.15941191,1.00000000,0.25900000,0.25900000,1.93499994,6.02299976,0.30497861,0.32126850,,
29,"Adult flatfish",3.26385808,1.00000000,0.23600000,0.23600000,0.94900000,4.26999998,0.93414593,0.22224820,,
30,"Juvenile halibut",3.81816602,1.00000000,0.62800002,0.62800002,0.60000002,1.46000004,0.97975349,0.41095889,,
31,"Adult halibut",4.00343609,1.00000000,0.62800002,0.62800002,0.40000001,1.09500003,0.64563841,0.36529681,,
32,"Juvenile Pacific cod",2.91979790,1.00000000,0.089000002,0.089000002,1.98000002,7.50000000,0.15867430,0.26400000,,
33,"Adult Pacific cod",3.90621805,1.00000000,0.16300000,0.16300000,1.32000005,4.00000000,0.80535883,0.33000001,,
34,"Juvenile sablefish",3.28955102,1.00000000,0.11900000,0.11900000,0.60000002,7.00000000,0.91743660,0.08571429,,
35,"Adult sablefish",3.67842102,1.00000000,0.26899999,0.26899999,0.27599999,3.73000002,0.88595581,0.07399464,,
36,"Juvenile lingcod",4.12138224,1.00000000,0.030999999,0.030999999,1.20000005,3.29999995,0.74778283,0.36363640,,
37,"Adult lingcod",4.04184580,1.00000000,0.039000001,0.039000001,0.80000001,3.29999995,0.96998513,0.24242420,,
38,"Shallowwater benthic fish",3.61020994,1.00000000,0.50900000,0.50900000,1.50000000,5.25600004,0.98770320,0.28538811,,
39,Skates,3.71149898,1.00000000,0.33500001,0.33500001,0.31000000,1.24000001,0.98323131,0.25000000,,
40,"Large crabs",2.85689402,1.00000000,0.45600000,0.45600000,1.50000000,5.00000000,0.84522378,0.30000001,,
41,"Small crabs",3.05399990,1.00000000,0.64950001,0.64950001,3.50000000,14.0000000,0.88710958,0.25000000,,
42,"Commercial shrimp",2.66000009,1.00000000,0.20000000,0.20000000,11.4750004,45.90000153,0.26037180,0.25000000,,
43,"Epifaunal invertebrates",2.05999994,1.00000000,13.4480000,13.4480000,1.44799995,16.08889008,0.89527828,0.090000004,,
44,"Infaunal carnivorous invertebrates",2.05999994,1.00000000,13.2450705,13.2450705,2.00000000,22.22221947,0.22894549,0.090000004,,
45,"Infaunal invertebrate detritivores",2.00000000,1.00000000,34.3051300,34.3051300,1.34899998,14.9890003,0.91910678,0.08999933,,
46,"Carnivorous jellyfish",2.16385102,1.00000000,3.00000000,3.00000000,18.0000000,60.0000000,0.69134128,0.30000001,,
47,Euphausiids,2.20000005,1.00000000,8.69999981,8.69999981,6.09999990,24.8199997,0.97509032,0.24576950,,
48,Copepods,2.00000000,1.00000000,4.66699982,4.66699982,27.0000000,90.00000000,0.98858052,0.30000001,,
49,"Corals and sponges",2.00000000,1.00000000,1.92857099,1.92857099,0.0099999998,2.00000000,0.10370370,0.00500000,,
50,Macrophytes,1.00000000,1.00000000,5.28000021,5.28000021,5.25600004,,0.00779641,,,
51,Phytoplankton,1.00000000,1.00000000,15.4060001,15.4060001,178.501999,,0.21555521,,,
52,Discards,1.00000000,1.00000000,0.071999997,0.071999997,,,0.40344599,,,
53,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.44467121,,,
