,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,phytoplankton,1.00000000,1.00000000,55.1500015,55.1500015,120.000000,,0.40093431,,,
2,infauna,2.00000000,1.00000000,35.7000008,35.7000008,2.50000000,12.0000000,0.84009528,0.20833330,,
3,amphipods,2.00000000,1.00000000,4.27624798,4.27624798,3.50000000,22.0000000,0.79999989,0.15909091,,
4,epibenthic,2.45000005,1.00000000,12.09117031,12.09117031,2.00000000,10.00000000,0.80000001,0.20000000,,
5,micro-zoop,2.00000000,1.00000000,3.69378901,3.69378901,100.0000000,300.000000,0.80000007,0.33333331,,
6,copepods,2.20000005,1.00000000,15.61594963,15.61594963,14.0000000,70.0000000,0.80000019,0.20000000,,
7,euphausiids,2.10999990,1.00000000,25.24238014,25.24238014,8.00000000,40.0000000,0.80000007,0.20000000,,
8,carniv-zoops,3.14422798,1.00000000,7.13730478,7.13730478,2.00000000,10.00000000,0.80000007,0.20000000,,
9,"small jellies",2.25000000,1.00000000,1.11369002,1.11369002,9.00000000,30.0000000,0.80000007,0.30000001,,
10,"large jellies",3.16138506,1.00000000,1.03488195,1.03488195,3.00000000,12.0000000,0.80000031,0.25000000,,
11,"pandalid shp",2.74882698,1.00000000,1.50066996,1.50066996,2.00000000,10.00000000,0.80000001,0.20000000,,
12,"benthic shp",3.04105592,1.00000000,1.54762006,1.54762006,2.50000000,12.0000000,0.80000007,0.20833330,,
13,dungeness,3.45587301,1.00000000,1.02750003,1.02750003,0.75000000,3.79999995,0.64167929,0.19736840,,
14,"tanner crb",2.96309996,1.00000000,0.76143938,0.76143938,0.30000001,1.50000000,0.80000007,0.20000000,,
15,cephalopods,3.61668611,1.00000000,1.95448899,1.95448899,2.00000000,6.00000000,0.80000001,0.33333331,,
16,"forage fish",3.17318892,1.00000000,25.71446037,25.71446037,1.50000000,6.00000000,0.80000007,0.25000000,,
17,mesopelagics,3.23997998,1.00000000,6.55020714,6.55020714,0.60000002,3.00000000,0.80000001,0.20000000,,
18,"benthic fish",3.27696490,1.00000000,3.70648503,3.70648503,0.50000000,2.50000000,0.80000001,0.20000000,,
19,macrourids,3.65600991,1.00000000,0.46799999,0.46799999,0.20000000,1.00000000,0.31427541,0.20000000,,
20,sardine,2.83299994,1.00000000,1.00000000,1.00000000,0.50000000,5.00000000,0.93148839,0.10000000,0.20000000,0.20000000
21,mackerel,3.47851396,1.00000000,1.77999997,1.77999997,0.34999999,6.00000000,0.14846399,0.05833333,,
22,salmon,4.06356812,1.00000000,0.41800001,0.41800001,0.93249208,5.81892776,0.72848558,0.16025150,,
23,hake,3.57052207,1.00000000,28.9249992,28.9249992,0.18000001,1.95652199,0.69062829,0.092000000,-2.90000010,-0.10025930
24,skates,4.02297878,1.00000000,0.42100000,0.42100000,0.20000000,2.00000000,0.78262907,0.10000000,,
25,dogfish,4.05204487,1.00000000,1.00000000,1.00000000,0.20000000,2.50000000,0.38772479,0.08000000,,
26,sablefish,4.06511688,1.00000000,1.47200000,1.47200000,0.086000003,2.09999990,0.89578980,0.04095238,-0.039935142,-0.02712985
27,"juv rock",3.26671195,1.00000000,0.61627662,0.61627662,1.50000000,6.00000000,0.80000007,0.25000000,,
28,POP,3.33801198,1.00000000,0.29800001,0.29800001,0.082000002,2.06999993,0.72371429,0.03961353,-0.014000000,-0.04697987
29,canary,3.18133211,1.00000000,0.21430001,0.21430001,0.11300000,1.65999997,0.77711332,0.06807229,-0.025927430,-0.12098660
30,widow,3.52381492,1.00000000,1.48599994,1.48599994,0.16300000,2.20000005,0.43282959,0.07409091,-0.11700000,-0.07873486
31,yellowtail,3.55398607,1.00000000,1.43254006,1.43254006,0.14600000,1.70000005,0.81023163,0.08588235,0.0045628571,0.00318515
32,black,3.97697711,1.00000000,0.23989999,0.23989999,0.12899999,2.00999999,0.55395472,0.06417910,-0.017999999,-0.07503127
33,"shelf rock",3.73798203,1.00000000,0.82800001,0.82800001,0.12500000,2.20000005,0.65623921,0.05681818,-0.041000001,-0.04951691
34,"slope rock",3.28887105,1.00000000,0.58499998,0.58499998,0.059999999,1.90999997,0.86015642,0.03141361,-0.032000002,-0.05470086
35,ssthorny,3.91808391,1.00000000,0.33700001,0.33700001,0.079999998,0.47000000,0.83498102,0.17021281,-0.023000000,-0.06824926
36,lsthorny,3.73119497,1.00000000,1.72000003,1.72000003,0.055000000,0.34999999,0.88662481,0.15714291,,
37,"juv thorny",3.36962104,1.00000000,0.41392669,0.41392669,0.50000000,2.50000000,0.80000001,0.20000000,,
38,"juv round",3.23260307,1.00000000,0.23446080,0.23446080,1.50000000,5.12500620,0.80000007,0.29268259,,
39,lingcod,4.32793999,1.00000000,0.52200001,0.52200001,0.30000001,2.40000010,0.16551509,0.12500000,-0.020000000,-0.03831417
40,"juv flat",3.10561609,1.00000000,1.15383601,1.15383601,1.00000000,4.00000000,0.80000007,0.25000000,,
41,english,3.18248510,1.00000000,0.57999998,0.57999998,0.34999999,2.11999989,0.89524478,0.16509430,0.011000000,0.01896552
42,petrale,4.07765388,1.00000000,0.32600001,0.32600001,0.36000001,1.70000005,0.51646048,0.21176469,,
43,"small flat",3.39029789,1.00000000,3.88665390,3.88665390,0.50000000,2.50000000,0.80000001,0.20000000,,
44,rex,3.08302307,1.00000000,0.40000001,0.40000001,0.50000000,2.11999989,0.81617981,0.23584910,0.0060000001,0.01500000
45,dover,3.06289911,1.00000000,1.39400005,1.39400005,0.12000000,1.07000005,0.59019762,0.11214950,-0.071999997,-0.05164992
46,arrowtooth,4.32560921,1.00000000,0.32499999,0.32499999,0.33500001,2.11999989,0.82417452,0.15801890,,
