,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Minke whales",3.54326701,1.00000000,0.0084400000,0.0084400000,0.098999999,8.42119980,0.00000000,0.01175604,,
2,"Fin whales",3.01181698,1.00000000,0.012200000,0.012200000,0.098999999,4.16079998,0.00000000,0.02379350,,
3,"Humpback whales",3.43797207,1.00000000,0.0030199999,0.0030199999,0.098999999,5.07810020,0.00000000,0.01949548,,
4,"Brydes whales",3.39050698,1.00000000,0.0078499997,0.0078499997,0.098999999,6.26000023,0.00000000,0.01581470,,
5,"Sei whales",3.01740408,1.00000000,0.0016000000,0.0016000000,0.020000000,6.17759991,0.00000000,0.00323750,,
6,"Baleen whales",3.00000000,1.00000000,0.0027600001,0.0027600001,0.039999999,3.39779997,0.00000000,0.01177232,,
7,"Beaked whales",4.20725679,1.00000000,0.0001250000,0.0001250000,0.035999998,9.92339993,0.00000000,0.00362779,,
8,"Sperm whales",4.11793995,1.00000000,0.020199999,0.020199999,0.050000001,5.02510023,0.00000000,0.00995005,,
9,"Killer whales",3.94244599,1.00000000,0.0002620000,0.0002620000,0.020000000,7.76340008,0.00000000,0.00257619,,
10,Dolphins,3.54273701,1.00000000,0.022500001,0.022500001,0.046999998,13.7390003,0.73859107,0.00342092,,
11,Seabirds,3.78266597,1.00000000,0.11800000,0.11800000,0.12000000,118.000000,0.00000000,0.00101695,,
12,"Large pelagics",3.30781198,1.00000000,2.53999996,2.53999996,1.90799999,11.6980000,0.50448018,0.16310480,,
13,"Mesopelagic predators",3.94856596,1.00000000,0.73500001,0.73500001,4.36199999,31.6089993,0.11702950,0.13799870,,
14,"Bathydeersal predators",3.40407991,1.00000000,0.29275441,0.29275441,2.71000004,9.03333282,0.95000011,0.30000001,,
15,Sharks,3.42670703,1.00000000,0.28999999,0.28999999,1.33800006,7.49700022,0.01164753,0.17847140,,
16,Rays,2.65015292,1.00000000,0.11200000,0.11200000,1.00000000,6.00000000,0.03178914,0.16666670,,
17,"Coastal tunas",3.34912109,1.00000000,2.89000010,2.89000010,0.81999999,3.77399993,0.00256478,0.21727610,,
18,"Coastal demersal",2.28465891,1.00000000,4.69600010,4.69600010,13.9399996,46.46665955,0.04916518,0.30000001,,
19,Clupeids,2.77399993,1.00000000,22.1299992,22.1299992,3.09999990,16.3465996,0.52173072,0.18964189,,
20,"Other coastal pelagics",2.79999995,1.00000000,13.1160002,13.1160002,2.61199999,10.6350002,0.41119161,0.24560410,,
21,Cephalopods,3.12579107,1.00000000,2.40919995,2.40919995,4.69999981,16.7350006,0.74453598,0.28084850,,
22,Crustaceans,2.67354012,1.00000000,13.0480003,13.0480003,6.44299984,31.9629993,0.01404125,0.20157680,,
23,Benthos,2.02239299,1.00000000,112.599998,112.599998,4.33400011,32.7299995,0.72220308,0.13241680,,
24,"Benthic producers",1.00000000,1.00000000,10.5000000,10.5000000,107.360001,,0.32663059,,,
25,Zooplankton,2.00000000,1.00000000,20.6359997,20.6359997,58.3559990,274.804993,0.42658079,0.21235420,,
26,Phytoplankton,1.00000000,1.00000000,82.0139999,82.0139999,138.188995,,0.51513582,,,
27,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,0.50000000,,0.36950269,,11869.59960938,1186.95996094
