,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,6.07100010,6.07100010,117.300003,,0.76054239,,,
2,Zooplankton,2.21951199,1.00000000,4.98000002,4.98000002,59.4900017,177.500000,0.94462991,0.33515501,,
3,"Benthic small crustaceans",2.20812893,1.00000000,2.18145704,2.18145704,7.32000017,54.4000015,0.87000000,0.13455880,,
4,Polychaetes,2.09987402,1.00000000,14.46697998,14.46697998,1.63000000,12.4600000,0.92000008,0.13081861,,
5,Shrimps,3.09586000,1.00000000,1.25000000,1.25000000,3.21000004,7.51999998,0.98989469,0.42686170,,
6,Crabs,2.96431899,1.00000000,1.10000002,1.10000002,2.44000006,4.94000006,0.99104059,0.49392709,,
7,"Norway lobster",2.86641502,1.00000000,0.95300001,0.95300001,1.32000005,4.76000023,0.99465871,0.27731091,,
8,"Benthic invertebrates",2.05317092,1.00000000,25.35080910,25.35080910,1.14999998,3.26999998,0.94999993,0.35168189,,
9,"Octopuses and cuttlefish",3.31711102,1.00000000,0.45600000,0.45600000,2.69000006,5.53000021,0.99651992,0.48643759,,
10,Squids,3.82866406,1.00000000,0.50000000,0.50000000,2.59999990,22.1539993,0.99072218,0.11736030,,
11,"Red mullets",2.88576603,1.00000000,0.20600000,0.20600000,1.85000002,6.89599991,0.99631220,0.26827151,,
12,Anglerfish,4.29068899,1.00000000,0.42199999,0.42199999,1.00000000,3.59999990,0.92997873,0.27777779,,
13,Flatfishes,3.63158989,1.00000000,0.28600001,0.28600001,1.50000000,7.73400021,0.99162722,0.19394881,,
14,"Other gadiforms",3.92678690,1.00000000,0.40000001,0.40000001,1.20000005,7.15000010,0.98301172,0.16783220,,
15,Hake,4.16280079,1.00000000,1.15699995,1.15699995,0.69999999,3.50000000,0.99486113,0.20000000,,
16,"Demersal fishes 1",3.18895102,1.00000000,1.74699998,1.74699998,1.50000000,8.17300034,0.99831653,0.18353111,,
17,"Demersal fishes 2",3.79420590,1.00000000,2.90000010,2.90000010,1.00000000,5.59999990,0.99028498,0.17857140,,
18,"Demersal fishes 3",3.62721395,1.00000000,1.00000000,1.00000000,0.89999998,5.51000023,0.99450529,0.16333941,,
19,"Picarels and bogue",3.22292089,1.00000000,1.87800002,1.87800002,1.60000002,8.23700047,0.99746269,0.19424550,,
20,"Sharks and rays",4.37500191,1.00000000,0.45400000,0.45400000,1.41400003,3.14599991,0.83807492,0.44945961,,
21,Anchovy,3.21951199,1.00000000,3.10999990,3.10999990,1.64199996,6.53299999,0.99943489,0.25133929,,
22,Sardine,3.05952811,1.00000000,5.16099977,5.16099977,1.27999997,11.3900003,0.99589598,0.11237930,,
23,"Horse mackerels",3.41318202,1.00000000,0.35420001,0.35420001,1.10000002,6.42999983,0.99853599,0.17107309,,
24,Mackerels,3.69672799,1.00000000,0.33000001,0.33000001,1.12199998,6.00400019,0.99571550,0.18687540,,
25,"Other small pelagics",3.17915201,1.00000000,1.20000005,1.20000005,1.20500004,6.08099985,0.99465650,0.19815820,,
26,"Other larger pelagics",4.21761894,1.00000000,0.23999999,0.23999999,0.69800001,2.66100001,0.98239392,0.26230741,,
27,"Loggerhead turtle",3.30456090,1.00000000,0.020000000,0.020000000,0.16000000,2.68000007,0.78125000,0.05970149,,
28,Seabirds,2.30991411,1.00000000,0.0010000000,0.0010000000,4.78000021,111.610001,0.00000000,0.04282771,,
29,Dolphins,4.46224403,1.00000000,0.020000000,0.020000000,0.079999998,13.8100004,0.21250001,0.00579290,,
30,Discards,1.00000000,1.00000000,,,,,0.81229842,,,
31,Detritus,1.00000000,1.00000000,31.4400005,31.4400005,,,0.67664832,,,
