,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Zooplankton,2.00806499,1.00000000,49.7000008,49.7000008,40.0000000,355.000000,0.48129749,0.11267610,,
2,Meiobenthos,2.05263209,1.00000000,6.00000000,6.00000000,9.00000000,33.2999992,0.86324078,0.27027029,,
3,Makrobenthos,2.21883702,1.00000000,18.0000000,18.0000000,1.39999998,10.00000000,0.95198423,0.14000000,,
4,Anchoveta,2.43346810,1.00000000,51.5400009,51.5400009,2.49000001,16.7999992,0.88521183,0.14821430,,
5,Sardine,2.70564508,1.00000000,36.7900009,36.7900009,2.20000005,12.0000000,0.72300380,0.18333329,,
6,Mackerel,3.36396909,1.00000000,2.60999990,2.60999990,1.10000002,13.8299999,0.93879932,0.07953724,,
7,"Horse mackerel",3.25176811,1.00000000,13.0600004,13.0600004,1.10000002,14.1800003,0.97222340,0.07757404,,
8,Bonito,3.78012395,1.00000000,0.33000001,0.33000001,0.029999999,36.8800011,0.80808091,0.00081345,,
9,Hake,3.54262090,1.00000000,6.00000000,6.00000000,0.34999999,7.80000019,0.82663441,0.04487179,,
10,"Other pelagics",2.75173497,1.00000000,1.50000000,1.50000000,2.20000005,11.1599998,0.80544478,0.19713260,,
11,"Other demersals",3.32686996,1.00000000,5.00000000,5.00000000,1.20000005,5.50000000,0.88408852,0.21818180,,
12,Cormorant,3.68739295,1.00000000,0.020000000,0.020000000,0.039999999,65.0899963,0.00000000,0.00061453,,
13,Booby,3.69406605,1.00000000,0.018999999,0.018999999,0.050000001,62.1399994,0.00000000,0.00080463,,
14,Pelican,3.70767498,1.00000000,0.012000000,0.012000000,0.039999999,39.3300018,0.00000000,0.00101703,,
15,"Sea lion",3.79950309,1.00000000,0.013000000,0.013000000,0.10000000,28.0000000,0.00000000,0.00357143,,
16,"Fur seal",3.79950309,1.00000000,0.0020000001,0.0020000001,0.10000000,31.0000000,0.99999988,0.00322581,,
17,"Other mammals",3.79950309,1.00000000,0.050000001,0.050000001,0.079999998,45.0000000,0.25000000,0.00177778,,
18,Phytoplankton,1.00000000,1.00000000,187.660004,187.660004,250.000000,,0.89999998,,27154.0000,144.69790649
19,"Benthic prod.",1.00000000,1.00000000,25.5799999,25.5799999,12.5000000,,0.60000002,,-0.029996039,-0.00117264
20,Detritus,1.00000000,1.00000000,1082.20996,1082.20996,,,0.23995440,,,
