,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (g/m^2)","Biomass (g/m^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (g/m^2)","BA rate (/year)"
1,"Grey seals",4.76725197,1.00000000,0.0004900000,0.0004900000,,0.11700000,16.0000000,0.17442870,0.00731250,,
2,"Harbour seals",4.77105999,1.00000000,0.0005100000,0.0005100000,,0.090000004,15.0000000,0.87145972,0.00600000,,
3,Whales,4.31993580,1.00000000,0.0002800000,0.0002800000,,0.13300000,12.8000002,0.00000000,0.01039063,,
4,Otters,4.62518883,1.00000000,0.0001236000,0.0001236000,,0.25000000,68.4400024,0.00000000,0.00365284,,
5,"Piscivore benthic bird",4.38285923,1.00000000,0.0003934000,0.0003934000,,0.20999999,103.000000,0.02420897,0.00203884,,
6,"Pelag diving birds",4.33044577,1.00000000,0.0000000010,0.0000000010,,0.078000002,135.600006,0.00000000,0.00057522,,
7,"Surface feeding birds",3.58962107,1.00000000,0.0001388000,0.0001388000,,0.12800001,118.900002,0.00000000,0.00107653,,
8,"Benthic invertebrate f. birds",3.16703701,1.00000000,0.0004310000,0.0004310000,,0.16300000,57.5999985,0.00000000,0.00282986,,
,Cod,,,,,,,,,,,
9,"Large cod",3.97428608,1.00000000,0.075499997,0.075499997,0.52999997,,3.00000000,0.56595647,0.17666660,,
10,"Small cod",4.11742401,1.00000000,0.022627510,0.022627510,1.20000005,,8.52774715,0.96361637,0.14071710,,
,Saithe,,,,,,,,,,,
11,"Large saithe",4.10800123,1.00000000,0.011700000,0.011700000,0.52999997,,3.00000000,0.56442517,0.17666671,,
12,"Small saithe",3.42551899,1.00000000,0.0085683558,0.0085683558,1.20000005,,6.27369881,0.99664259,0.19127470,,
,Haddock,,,,,,,,,,,
13,"Large haddock",3.39479208,1.00000000,0.018300001,0.018299989,0.52999997,,3.00000095,0.52314621,0.17666660,,
14,"Small haddock",3.29290891,1.00000000,0.013401790,0.013401790,1.20000005,,6.27370310,0.99873388,0.19127460,,
15,"Small gadoids",3.37828493,1.00000000,0.05610485,0.05610485,,1.20000005,6.00000000,0.89999992,0.20000000,,
16,Halibut,4.41298103,1.00000000,0.0075300001,0.0075300001,,0.52999997,3.00000000,0.00000000,0.17666671,,
17,"Other large flatfish",3.53867292,1.00000000,0.060300000,0.060300000,,0.52999997,3.00000000,0.03966705,0.17666671,,
18,"Other small flatfish",3.57835197,1.00000000,0.0056500002,0.0056500002,,1.20000005,6.00000000,0.81598109,0.20000000,,
19,"Large other demersal fish",3.65179205,1.00000000,0.00287054,0.00287054,,0.52999997,3.00000000,0.89999998,0.17666671,,
20,"Small other demersal fish",3.33639407,1.00000000,0.04980102,0.04980102,,1.20000005,6.00000000,0.89999998,0.20000000,,
21,Cottids,3.83299804,1.00000000,0.01423254,0.01423254,,1.28999996,3.93000007,0.89999992,0.32824430,,
22,"Small pelagic fish",3.24234509,1.00000000,0.10652760,0.10652760,,1.00000000,6.00000000,0.89999998,0.16666670,,
23,Herring,3.38411498,1.00000000,0.078500003,0.078500003,,1.00000000,4.00000000,0.17275970,0.25000000,,
