,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Transient Orca",5.44707584,1.00000000,0.0010000000,0.0010000000,0.050000001,6.03499985,0.00000000,0.00828500,,
2,"Resident Orca",4.91970778,1.00000000,0.015000000,0.015000000,0.050000001,8.66699982,0.00000000,0.00576901,,
3,Sharks,4.51867485,1.00000000,0.66229999,0.66229999,0.10000000,6.99499989,0.75274289,0.01429593,,
4,Halibut,4.52990723,1.00000000,0.67699999,0.67699999,0.31999999,1.73000002,0.86456728,0.18497109,,
5,Porpoise,4.46588516,1.00000000,0.015000000,0.015000000,0.23999999,29.2000008,0.98906952,0.00821918,,
6,Pinnipeds,4.44892502,1.00000000,0.071999997,0.071999997,0.059999999,25.5499992,0.99381948,0.00234834,,
7,Lingcod,4.31623077,1.00000000,0.077000000,0.077000000,0.57999998,3.29999995,0.81563151,0.17575760,,
8,Sablefish,4.02960014,1.00000000,0.29300001,0.29300001,0.56599998,6.42000008,0.77427417,0.08816199,,
9,"Adult Atooth",4.24629879,1.00000000,4.00000000,4.00000000,0.22000000,3.02999997,0.79229349,0.07260726,,
10,"Adult Salmon",4.17930698,1.00000000,3.41000009,3.41000009,1.30999994,13.0000000,0.99581319,0.10076920,,
11,"Pac. Cod",4.08401394,1.00000000,0.30000001,0.30000001,1.20000005,4.00000000,0.93593198,0.30000001,,
12,"Juv. Atooth.",4.01403713,1.00000000,0.85500002,0.85500002,0.22000000,3.02999997,0.95566428,0.07260726,,
13,"Avian Predators",3.91713095,1.00000000,0.0020000001,0.0020000001,0.050000001,36.5000000,0.00000000,0.00136986,,
14,Seabirds,3.80283999,1.00000000,0.022000000,0.022000000,0.17000000,150.600006,0.97593588,0.00112882,,
15,"Deep demersals",3.77747703,1.00000000,0.95999998,0.95999998,0.93000001,3.21000004,0.98379982,0.28971961,,
16,"Pollock 1+",3.75502110,1.00000000,7.48000002,7.48000002,0.70899999,2.55900002,0.99846548,0.27706131,,
