,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Mysticetae,3.40942001,1.00000000,0.03513385,0.03513385,,0.055000000,4.84999990,0.024254421,0.01134021,,
2,"Piscivorous odontocetae",4.10111809,1.00000000,0.05521036,0.05521036,,0.035000000,6.10453081,0.024254410,0.00573345,,
3,"Deepdiving odontocetae",3.98158789,1.00000000,0.09661809,0.09661809,,0.020000000,3.59901595,0.024254421,0.00555707,,
4,Dugongs,2.00000000,1.00000000,0.054000001,0.054000001,,0.025000000,11.0120001,0.00000000,0.00227025,,
5,Birds,3.37864709,1.00000000,0.36600000,0.36600000,,0.38100001,63.9490013,0.02050064,0.00595787,,
6,"Reef associated turtles",3.25536108,1.00000000,0.0040000002,0.0040000002,,0.14300001,3.50000000,0.46075460,0.04085714,,
7,"Green turtles",2.16894197,1.00000000,0.0080000004,0.0080000004,,0.052999999,3.50000000,0.88562471,0.01514286,,
8,"Oceanic turtles",3.37497401,1.00000000,0.0080000004,0.0080000004,,0.052999999,3.50000000,0.88521308,0.01514286,,
9,Crocodiles,3.91177201,1.00000000,0.00141258,0.00141258,,0.40786499,6.50000000,0.46477500,0.06274846,,
,Groupers,,,,,,,,,,,
10,"Adult groupers",3.67289209,1.00000000,0.50000000,0.50000018,0.22499999,,9.08599663,0.95931238,0.02476338,-0.025000000,-0.04999998
11,"Subadult groupers",3.65769506,1.00000000,0.17808360,0.17808360,0.40000001,,13.0521402,0.79612601,0.03064633,-0.0053425091,-0.03000000
12,"Juvenile groupers",3.76474595,1.00000000,0.051224910,0.051224910,1.20000005,,26.5815201,0.45390269,0.04514415,-0.0015367470,-0.02999999
,Snappers,,,,,,,,,,,
13,"Adult snappers",3.57120490,1.00000000,0.34492299,0.34492239,0.40000001,,7.10491323,0.98950118,0.05629907,,
14,"Subadult snappers",3.62474108,1.00000000,0.28800189,0.28800189,1.10000002,,10.8379202,0.66716093,0.10149550,,
15,"Juvenile snappers",3.83220911,1.00000000,0.24165609,0.24165609,1.44697797,,21.0777798,0.56800038,0.06864945,,
,"Napoleon wrasse",,,,,,,,,,,
16,"Adult Napoleon wrasse",3.65921998,1.00000000,0.048999999,0.049000021,0.44999999,,8.89999580,0.92033762,0.05056182,-0.0018046530,-0.03682964
17,"Subadult Napoleon wrasse",3.46864009,1.00000000,0.083342060,0.083342068,0.50000000,,12.9521399,0.80020541,0.03860366,0.0069618351,0.08353326
18,"Juvenile Napoleon wrasse",3.32970691,1.00000000,0.016014369,0.016014369,1.20000005,,29.8150291,0.93301839,0.04024816,,
19,"Skipjack tuna",3.49948192,1.00000000,0.69300002,0.69300002,,2.00000000,6.64349985,0.97727573,0.30104610,,
20,"Other tuna",3.63484001,1.00000000,0.54100001,0.54100001,,1.40790498,4.69299984,0.90382111,0.30000111,,
21,Mackerel,3.84982300,1.00000000,0.086000003,0.086000003,,2.91346407,9.71150017,0.93034548,0.30000141,,
22,Billfish,3.82338095,1.00000000,0.82499999,0.82499999,,0.95595801,3.18650007,0.30398551,0.30000249,,
,"Coral trout",,,,,,,,,,,
23,"Adult coral trout",3.81681490,1.00000000,0.033000000,0.032999981,0.34999999,,3.30297899,0.93673289,0.10596500,,
24,"Juvenile coral trout",3.72675800,1.00000000,0.0091873230,0.0091873230,0.55000001,,6.98123503,0.81464338,0.07878263,,
,"Large sharks",,,,,,,,,,,
25,"Adult large sharks",4.18455315,1.00000000,0.061000001,0.061000001,0.69999999,,3.60000110,0.77338731,0.19444440,-0.0030499999,-0.05000000
26,"Juvenile large sharks",3.83897710,1.00000000,0.043747030,0.043747030,0.89999998,,6.06471014,0.99007761,0.14839950,,
,"Small sharks",,,,,,,,,,,
27,"Adult small sharks",4.16509724,1.00000000,0.041000001,0.041000009,1.12000000,,4.00000095,0.30882710,0.27999991,-0.0004100000,-0.01000000
28,"Juvenile small sharks",3.58394694,1.00000000,0.12763810,0.12763810,1.79999995,,6.12979507,0.48139131,0.29364759,,
29,"Whale shark",3.71160007,1.00000000,0.00282316,0.00282316,,0.068446837,0.22820000,0.024254439,0.29994231,,
30,"Manta ray",3.63672996,1.00000000,0.00322060,0.00322060,,0.60000002,2.00000000,0.024254430,0.30000001,,
,Rays,,,,,,,,,,,
31,"Adult rays",3.40169907,1.00000000,0.17700000,0.17700040,0.60000002,,2.41575599,0.52859282,0.24836950,,
32,"Juvenile rays",3.32525992,1.00000000,0.030620730,0.030620730,1.20000005,,5.92330790,0.92137218,0.20258950,,
,Butterflyfish,,,,,,,,,,,
