,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,20.1299992,20.1299992,180.692001,,0.58379787,,,
2,Bacteria,2.00000000,1.00000000,3.82699990,3.82699990,91.2500000,182.50000000,0.90460920,0.50000000,,
3,Microzooplankton,2.21942592,1.00000000,3.16100001,3.16100001,72.0000000,242.423996,0.54659349,0.29700029,,
4,Copepods_S,2.10366893,1.00000000,7.80900002,7.80900002,42.5769997,127.750000,0.81598258,0.33328381,,
5,Copepods_L,2.23330903,1.00000000,7.63299990,7.63299990,48.5229988,109.500000,0.92410970,0.44313240,,
6,Gelatinous_Zooplankton,2.93352795,1.00000000,1.01300001,1.01300001,37.9669991,145.326004,0.69020182,0.26125401,,
7,Micronekton,2.61948490,1.00000000,7.65399981,7.65399981,14.2500000,85.4970016,0.84732598,0.16667250,,
8,Macrobenthos_polychaete,2.33050609,1.00000000,14.9200001,14.9200001,2.51399994,17.5000000,0.92878038,0.14365710,,
9,Macrobenthos_crustaceans,2.55159593,1.00000000,6.29600000,6.29600000,3.06200004,21.0000000,0.99698001,0.14580950,,
10,Macrobenthos_mollusks,2.27680898,1.00000000,8.34000015,8.34000015,2.04299998,13.9490004,0.83827901,0.14646210,,
11,Macrobenthos_others,2.47167492,1.00000000,9.38990021,9.38990021,2.01900005,16.0590000,0.79376918,0.12572390,,
12,Megabenthos_filters,2.10800910,1.00000000,2.99699998,2.99699998,3.93799996,16.5119991,0.22570179,0.23849320,,
13,Megabenthos_others,2.86955309,1.00000000,4.49800014,4.49800014,1.89800000,9.53299999,0.80003327,0.19909790,,
14,Shrimp,2.78271508,1.00000000,3.02010107,3.02010107,1.00000000,5.00000000,0.49776801,0.20000000,,
15,Mesopelagic,3.25499892,1.00000000,0.27439740,0.27439740,0.64999998,1.82500005,0.75199997,0.35616440,,
16,Atlantic_herring,3.43936801,1.00000000,10.41345978,10.41345978,0.62000000,4.59000015,0.61299992,0.13507630,,
17,Anadromous_alosines,3.35605788,1.00000000,0.63400000,0.63400000,1.29999995,9.39999962,0.90399998,0.13829790,0.00016165,0.00025497
