,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Pelagic-benthic ff",3.35819793,1.00000000,0.10200000,0.10200000,0.41000000,4.90999985,0.20597850,0.08350306,,
2,"S. cantharus",3.28021908,1.00000000,0.13500001,0.13500001,0.51999998,4.59999990,0.18691450,0.11304350,,
3,"Benthic ff",3.20148706,1.00000000,0.18500000,0.18500000,0.63000000,6.05999994,0.26246491,0.10396040,,
4,"S. auratus",3.15832996,1.00000000,0.25799999,0.25799999,0.46000001,4.65999985,0.12069160,0.09871245,,
5,"Planktonic f",2.79999995,1.00000000,0.037999999,0.037999999,0.88999999,28.5100002,0.28076521,0.03121712,,
6,"Small b-p ff",2.70804501,1.00000000,0.12600000,0.12600000,1.81500006,16.5869999,0.26235679,0.10942300,,
7,"Detritivorous f",2.42969108,1.00000000,0.057999998,0.057999998,0.28000000,9.00000000,0.29974881,0.03111111,,
8,Gasteropoda,2.31017494,1.00000000,1.73800004,1.73800004,1.99000001,7.50000000,0.97720861,0.26533329,,
9,Crustacea,2.25380802,1.00000000,0.63900000,0.63900000,4.19999981,30.0000000,0.96881431,0.14000000,,
10,Annelida,2.03292799,1.00000000,6.58799982,6.58799982,2.52999997,30.0000000,0.22763160,0.08433333,,
11,Bivalvia,2.00000000,1.00000000,2.68199992,2.68199992,4.42999983,15.0000000,0.41314971,0.29533330,,
12,Zooplankton,2.00000000,1.00000000,0.075000003,0.075000003,150.000000,300.000000,0.48100361,0.50000000,,
13,Phytoplankton,1.00000000,1.00000000,0.28600001,0.28600001,475.000000,,0.64040917,,,
14,Detritus,1.00000000,1.00000000,,,,,0.99401021,,,
