,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,0.00000000,1.00000000,0.60600001,0.60600001,66.8460007,,,,,
2,Seagrass,0.00000000,1.00000000,3.08100009,3.08100009,11.9090004,,,,,
3,Shrimp,0.00000000,1.00000000,0.0010000000,0.0010000000,4.29199982,21.3910007,,,,
4,"Other fish",0.00000000,1.00000000,0.0010000000,0.0010000000,4.04899979,22.2980003,,,,
5,Clupeoidae,0.00000000,1.00000000,0.026000001,0.026000001,1.50600004,7.10099983,,,,
6,Poecilidae,0.00000000,1.00000000,0.0010000000,0.0010000000,10.8590002,38.0999985,,,,
7,Tetraodontidae,0.00000000,1.00000000,0.0020000001,0.0020000001,0.40799999,1.67799997,,,,
8,Gerreidae,0.00000000,1.00000000,0.0020000001,0.0020000001,0.85699999,2.67100000,,,,
9,Lutjanidae,0.00000000,1.00000000,0.0010000000,0.0010000000,0.69099998,1.92100000,,,,
10,Sparidae,0.00000000,1.00000000,0.0049999999,0.0049999999,0.44400001,2.95700002,,,,
11,Zooplankton,0.00000000,1.00000000,0.0089999996,0.0089999996,42.2159996,149.309998,,,,
12,Benthos,0.00000000,1.00000000,0.0089999996,0.0089999996,9.24899960,27.3430004,,,,
13,"Other crustaceans",0.00000000,1.00000000,0.0010000000,0.0010000000,2.75900006,9.05200005,,,,
14,Ariidae,0.00000000,1.00000000,0.0010000000,0.0010000000,0.28500000,2.07500005,,,,
15,Cichlidae,0.00000000,1.00000000,0.0010000000,0.0010000000,0.33899999,2.37199998,,,,
16,Detritus,0.00000000,1.00000000,0.048999999,0.048999999,,,0.00000000,,,
