,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,21.3349991,21.3349991,343.885986,,0.69360119,,,
2,Macroalgae,1.00000000,1.00000000,284.606995,284.606995,16.0919991,,0.04238669,,,
3,Zooplankton,2.17508793,1.00000000,27.8740005,27.8740005,40.0589981,157.882996,0.77467209,0.25372589,,
4,Polychates,2.06110501,1.00000000,45.8969994,45.8969994,1.09099996,4.47399998,0.81267792,0.24385341,,
5,Scallops,2.00000000,1.00000000,23.6889992,23.6889992,1.36399996,10.5559998,0.82065308,0.12921560,,
6,"Sea urchins",2.10834098,1.00000000,22.7980003,22.7980003,0.59700000,2.78600001,0.64263862,0.21428570,,
7,"Herbivorous gastropods",2.00000000,1.00000000,25.2579994,25.2579994,1.23500001,4.11600018,0.65082937,0.30004859,,
8,"Benthic detrivores",2.00000000,1.00000000,36.7949982,36.7949982,1.30200005,6.80600023,0.89234591,0.19130179,,
9,"Misc. filter feeders",2.23172402,1.00000000,22.0639992,22.0639992,1.09399998,5.04400015,0.73128438,0.21689130,,
10,"Pedratory gastropods",3.07956696,1.00000000,37.2970009,37.2970009,1.51100004,3.88100004,0.78080261,0.38933271,,
11,"Small carnivores",2.86327600,1.00000000,14.6689997,14.6689997,0.53700000,2.67700005,0.65825129,0.20059770,,
12,"Predatory crabs",3.18878603,1.00000000,7.37900019,7.37900019,2.00200009,8.70300007,0.69601393,0.23003560,,
13,"sea stars",3.12853408,1.00000000,1.03299999,1.03299999,0.73100001,3.67000008,0.68036002,0.19918260,,
14,octopus,3.73532200,1.00000000,0.015000000,0.015000000,4.91099977,12.7989998,0.90405732,0.38370180,,
15,"littoral fish",2.80062509,1.00000000,2.61299992,2.61299992,1.19500005,14.3000002,0.69813442,0.08356643,,
16,"small pelagic fish",2.11633396,1.00000000,82.1340027,82.1340027,1.72700000,18.7059994,0.64085168,0.09232332,,
17,"pelagic predatory fish",3.14471197,1.00000000,1.16100001,1.16100001,0.86900002,8.12300014,0.46303231,0.10698020,,
18,"marine mammals",3.33835912,1.00000000,0.018999999,0.018999999,0.10300000,46.1790009,0.00000000,0.00223045,,
19,"sea birds",3.18818402,1.00000000,0.020000000,0.020000000,0.037000000,60.1559982,0.00000000,0.00061507,,
20,cephalopods,3.13396001,1.00000000,0.37099999,0.37099999,4.24900007,11.1250000,0.52144831,0.38193259,,
21,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.10127190,,,
