,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phythoplankton,1.00000000,1.00000000,2.22000003,2.22000003,652.710022,,0.21484029,,,
2,Zooplakton,2.11111093,1.00000000,1.84520996,1.84520996,50.2099991,150.649994,0.89999992,0.33328909,,
3,Epiphyton,1.00000000,1.00000000,1.37000000,1.37000000,153.309998,,0.71732372,,,
4,Microphytobenthos,1.00000000,1.00000000,2.08373594,2.08373594,209.610001,,0.50099999,,,
5,"Fiddler crabs",2.00328207,1.00000000,16.0000000,16.0000000,7.30000019,31.8899994,0.50940412,0.22891191,,
6,Polychaetas,2.19090390,1.00000000,4.28432608,4.28432608,2.91000009,17.2600002,0.94999993,0.16859791,,
7,Bivalves,2.00000000,1.00000000,6.33987999,6.33987999,2.00000000,9.00000000,0.94999999,0.22222219,,
8,Gastropods,2.00000000,1.00000000,5.27011108,5.27011108,2.65000010,38.8300018,0.94999999,0.06824620,,
9,"Blue crab",2.54846811,1.00000000,3.74022698,3.74022698,2.00000000,8.00000000,0.75999987,0.25000000,,
10,Shrimp,2.31950903,1.00000000,4.25669003,4.25669003,2.80999994,26.8999996,0.94999993,0.10446100,,
11,Sardines,2.55555606,1.00000000,0.30481759,0.30481759,2.10999990,56.8600006,0.82439029,0.03710869,,
12,Mullet,2.01710200,1.00000000,3.23709893,3.23709893,1.88000000,43.1500015,0.55000001,0.04356894,,
13,Flatfish,2.99353194,1.00000000,0.91222340,0.91222340,3.16000009,13.4300003,0.55583042,0.23529410,,
14,Puffer,2.78224111,1.00000000,0.87091631,0.87091631,3.17000008,11.0600004,0.52846742,0.28661841,,
15,"Mojarra(Eucinostomus spp)",2.95293188,1.00000000,0.028205300,0.028205300,1.33000004,12.8439999,0.84982288,0.10355030,,
16,"Mojarra(Diapterus spp)",2.77592802,1.00000000,1.61209297,1.61209297,2.90000010,10.6099997,0.35597929,0.27332711,,
17,Snapper,3.21354890,1.00000000,0.073668256,0.073668256,0.33129999,6.42899990,0.06011145,0.05153212,,
18,"Pemecou sea catfish",2.82790303,1.00000000,4.57349586,4.57349586,1.38000000,9.93999958,0.53703088,0.13883300,,
19,"Others Catfish",2.89586210,1.00000000,1.79890704,1.79890704,1.13000000,12.5000000,0.57952321,0.09040000,,
20,Drum,3.20291710,1.00000000,0.14974460,0.14974460,1.73000002,9.43500042,0.46933189,0.18335980,,
21,Grunt,3.27476001,1.00000000,0.11730000,0.11730000,0.92970002,8.78499985,0.86846602,0.10582810,,
22,Croaker,2.21305990,1.00000000,0.43099999,0.43099999,0.21220000,6.90000010,0.96632189,0.03075362,,
23,Snook,3.25832391,1.00000000,2.57399988,2.57399988,1.67999995,5.69999981,0.55569428,0.29473680,,
24,jack,3.31265092,1.00000000,0.22606030,0.22606030,0.46560001,6.65999985,0.14879030,0.06990992,,
25,Detritus,1.00000000,1.00000000,2.75999999,2.75999999,,,0.34408039,,,
