,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Transient orca",5.35098696,1.00000000,0.0007000000,0.0007000000,,0.020000000,11.0000000,0.00000000,0.00181818,,
2,"Toothed whales",4.71429205,1.00000000,0.017451890,0.017451890,,0.034000002,11.5000000,0.93155420,0.00295652,,
3,"Baleen whales",3.44295907,1.00000000,0.036100000,0.036100000,,0.096299998,10.9200001,0.63954920,0.00881868,,
,"sea lions",,,,,,,,,,,
4,"Sea lions embryo",1.00000000,1.00000000,0.0000023926,0.0000023926,0.020199999,,227.859406,0.00000000,0.00008865,,
5,"Sea lions pup",1.00000000,1.00000000,0.0000907907,0.0000907906,0.58999997,,86.4557190,0.81767571,0.00682430,,
6,"Sea lions juv",4.50252724,1.00000000,0.0014426870,0.0014426870,0.19000000,,40.5373497,0.74969751,0.00468703,,
7,"Sea lions adults",4.50020218,1.00000000,0.013000000,0.013000480,0.11000000,,25.4889107,0.69997412,0.00431560,,
8,"Small mammals",4.41497898,1.00000000,0.041000001,0.041000001,,0.20999999,28.8500004,0.79936123,0.00727903,,
9,"Sea otters",3.29786992,1.00000000,0.0000300000,0.0000300000,,0.20999999,85.0000000,0.00000000,0.00247059,,
10,Birds,4.01519012,1.00000000,0.0059540002,0.0059540002,,0.38000000,68.0000000,0.38972950,0.00558823,,
11,"Shark mammal eater",4.76395607,1.00000000,0.0099999998,0.0099999998,,0.13000000,1.29999995,0.07041740,0.10000000,,
12,"Shark and skate",4.05415106,1.00000000,0.25099999,0.25099999,,0.12000000,1.20000005,0.70574123,0.10000000,,
13,Salmon,3.51871896,1.00000000,1.11000001,1.11000001,,2.09999990,10.50000000,0.34555349,0.20000000,,
14,"Pel L",3.73450494,1.00000000,0.03443465,0.03443465,,0.22000000,1.10000002,0.94999999,0.20000000,,
15,"Pel S",3.38211799,1.00000000,0.92396748,0.92396748,,0.88999999,4.44999981,0.95000011,0.20000000,,
16,Sandlance,3.09911990,1.00000000,1.29999995,1.29999995,,1.14999998,5.75000000,0.59243590,0.20000000,,
17,Herring,3.32930398,1.00000000,0.34500000,0.34500000,,1.26999998,6.34999990,0.99149382,0.20000000,,
,pollock,,,,,,,,,,,
18,"Pollock juv",3.45618296,1.00000000,0.0054057171,0.0054057171,1.20000005,,5.89082098,0.88989848,0.20370680,,
19,"Pollock adult",3.57193589,1.00000000,0.20000000,0.20000011,0.30000001,,1.50000000,0.86941773,0.20000000,,
20,POP,3.44411492,1.00000000,2.38000011,2.38000011,,0.070000000,0.34999999,0.83363730,0.20000000,,
21,"Rockfish slope",3.62628698,1.00000000,0.68235880,0.68235880,,0.10700000,0.53500003,0.95000023,0.20000000,,
22,"Rockfish shelf",3.67510200,1.00000000,2.62211895,2.62211895,,0.022000000,0.11000000,0.94999993,0.20000000,,
23,Sablefish,3.26044297,1.00000000,0.88999999,0.88999999,,0.13000000,0.64999998,0.36743051,0.20000000,,
24,"Pacific cod",4.25015020,1.00000000,0.28000000,0.28000000,,0.37000000,1.85000002,0.90667927,0.20000000,,
25,Halibut,4.11520004,1.00000000,0.25999999,0.25999999,,0.36000001,1.79999995,0.98480660,0.20000000,,
26,Arrowtooth,4.25032187,1.00000000,0.60000002,0.60000002,,0.20000000,1.00000000,0.80587131,0.20000000,,
27,"Dem L",3.91150403,1.00000000,0.19828810,0.19828810,,0.26699999,1.33500004,0.95000011,0.20000000,,
28,Flatfish,3.49843192,1.00000000,1.75311506,1.75311506,,0.26300001,1.31500006,0.94999981,0.20000000,,
29,"Dem S",3.32210994,1.00000000,1.02376294,1.02376294,,1.07000005,4.28000021,0.94999993,0.25000000,,
30,"Deep L",3.74164891,1.00000000,0.14308961,0.14308961,,0.44999999,2.25000000,0.94999993,0.20000000,,
31,"Deep S",3.26566696,1.00000000,1.37162399,1.37162399,,1.00000000,4.00000000,0.50000000,0.25000000,,
32,Shrimps,2.65387702,1.00000000,2.55993199,2.55993199,,2.00000000,13.0000000,0.94999993,0.15384620,,
33,"Benthic inverts",2.24000001,1.00000000,50.0000000,50.0000000,,2.00000000,17.0000000,0.27469611,0.11764710,,
34,"Epibenthic carnivorous",2.81869602,1.00000000,2.90790105,2.90790105,,1.29999995,8.66666603,0.94999993,0.15000001,,
35,Cephalopods,3.71403790,1.00000000,0.22600050,0.22600050,,2.54999995,10.00000000,0.94999999,0.25500000,,
36,"L zoo",2.40000010,1.00000000,40.0000000,40.0000000,,4.30000019,16.8999996,0.82440019,0.25443789,,
37,"S zoo",2.00000000,1.00000000,17.15317917,17.15317917,,20.0000000,112.000000,0.90000010,0.17857140,,
38,Phyto,1.00000000,1.00000000,31.8045006,31.8045006,,100.0000000,,0.74508721,,,
39,"Marine plants",1.00000000,1.00000000,23.2280006,23.2280006,,4.40000010,,0.88150293,,,
40,Detritus,1.00000000,1.00000000,13.9499998,13.9499998,,,,0.35255721,,,
