,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large predators",4.27695990,1.00000000,0.0099999998,0.0099999998,1.20000005,15.0000000,0.25000000,0.08000001,,
2,Tuna,4.34625292,1.00000000,0.020000000,0.020000000,0.80000001,4.00000000,0.25000000,0.20000000,,
3,"Medium pelagics",3.62390399,1.00000000,0.050000001,0.050000001,1.50000000,7.50000000,0.92453349,0.20000000,,
4,"small pelagics",2.77959299,1.00000000,0.20999999,0.20999999,3.34999990,17.6000004,0.98464108,0.19034091,,
5,"Other pelagics",3.86158800,1.00000000,0.12000000,0.12000000,3.00000000,12.0000000,0.72815913,0.25000000,,
6,Cephalopods,2.94674301,1.00000000,0.079999998,0.079999998,3.09999990,16.0000000,0.87325889,0.19374999,,
7,"Demersal predators",3.39637709,1.00000000,1.21000004,1.21000004,3.00000000,12.0000000,0.05206611,0.25000000,,
8,"Reef fish",2.10526299,1.00000000,0.10000000,0.10000000,2.00000000,12.0000000,0.95449662,0.16666670,,
9,Leiognathids,2.87602091,1.00000000,0.49000001,0.49000001,3.00000000,17.5000000,0.63561088,0.17142861,,
10,"Other small demersals",2.96534109,1.00000000,0.20999999,0.20999999,3.70000005,18.5000000,0.97609657,0.20000000,,
11,Crustaceans,2.42105293,1.00000000,2.84999990,2.84999990,4.19999981,21.8999996,0.97735512,0.19178081,,
12,Zoobenthos,2.10526299,1.00000000,20.0000000,20.0000000,6.57000017,27.3999996,0.07379174,0.23978101,,
13,Zooplankton,2.05263209,1.00000000,4.26000023,4.26000023,50.0000000,200.000000,0.60354787,0.25000000,,
14,Phytoplankton,1.00000000,1.00000000,6.86999989,6.86999989,120.000000,,0.86585778,,,
15,Detritus,1.00000000,1.00000000,120.000000,120.000000,,,,,,
