,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large tunas",3.87015605,1.00000000,0.17299999,0.17299999,1.49000001,7.76999998,0.66598320,0.19176321,,
2,"medium tunas",3.82754493,1.00000000,0.0080000004,0.0080000004,2.46000004,12.2900000,0.76799792,0.20016269,,
3,"small barracudas",3.80186701,1.00000000,0.016000001,0.016000001,3.36999989,13.4799995,0.82927263,0.25000000,,
4,"small tunas",3.66722798,1.00000000,0.0060000001,0.0060000001,2.83999991,18.8500004,0.93647748,0.15066309,,
5,"large barracudas",3.66836405,1.00000000,0.42800000,0.42800000,0.50000000,5.48999977,0.71207410,0.09107468,,
6,"wolf herrings",3.58601308,1.00000000,0.31400001,0.31400001,0.34999999,6.84000015,0.94944662,0.05116959,,
7,needlefish,3.55433798,1.00000000,0.085000001,0.085000001,0.50000000,8.22000027,0.48370770,0.06082725,,
8,"other carangids",3.48128390,1.00000000,0.87900001,0.87900001,2.00000000,17.4300003,0.78395939,0.11474470,,
9,"pomfrets, torps",3.38300395,1.00000000,0.050999999,0.050999999,2.50000000,15.6999998,0.90230972,0.15923570,,
10,"false trevallie",3.37891507,1.00000000,0.054000001,0.054000001,1.61000001,15.4499998,0.87761557,0.10420710,,
11,yellowstripe,3.30086899,1.00000000,0.0080000004,0.0080000004,4.26000023,23.1000004,0.96737838,0.18441559,,
12,dolphinfishes,3.28243494,1.00000000,0.18000001,0.18000001,0.25000000,3.67000008,0.68639708,0.06811989,,
13,cephalopods,3.22005796,1.00000000,2.75000000,2.75000000,3.09999990,12.0000000,0.94388282,0.25833330,,
14,"sea cat fish",3.11957407,1.00000000,0.097999997,0.097999997,0.98000002,6.53000021,0.63900262,0.15007660,,
15,ribbonfish,3.07465291,1.00000000,0.19599999,0.19599999,1.40999997,6.17999983,0.49806711,0.22815530,,
16,ponyfishes,3.06139493,1.00000000,0.023000000,0.023000000,4.40000010,24.1200008,0.84068578,0.18242121,,
17,soles,3.05526400,1.00000000,0.12200000,0.12200000,1.20000005,11.0500002,0.94142592,0.10859730,,
18,"indian mackerel",3.05263090,1.00000000,0.041000001,0.041000001,3.99000001,20.8799992,0.97479957,0.19109200,,
19,terapontids,2.95789504,1.00000000,0.039999999,0.039999999,1.38999999,12.5799999,0.83958268,0.11049280,,
20,anchovies,2.94736910,1.00000000,0.25000000,0.25000000,7.57000017,40.6899986,0.88328308,0.18604080,,
21,drums,2.94736791,1.00000000,0.12000000,0.12000000,1.00000000,8.47999954,0.84540808,0.11792450,,
22,"other clupeids",2.87928891,1.00000000,0.22600000,0.22600000,3.08999991,22.3099995,0.96283811,0.13850290,,
23,sardines,2.83947396,1.00000000,0.21799999,0.21799999,10.3000002,34.0200005,0.91284728,0.30276310,,
24,"thrissa spp",2.73684192,1.00000000,0.61199999,0.61199999,2.45000005,18.5599995,0.92588627,0.13200431,,
25,herrings,2.63684201,1.00000000,0.60600001,0.60600001,3.65000010,23.3099995,0.92449182,0.15658520,,
26,crabs,2.63842106,1.00000000,1.93799996,1.93799996,2.50000000,8.50000000,0.94806099,0.29411769,,
27,"flying fishes",2.52631593,1.00000000,0.012000000,0.012000000,3.08999991,26.3400002,0.88689423,0.11731210,,
28,"milk fish",2.49368405,1.00000000,0.039999999,0.039999999,0.81000000,37.7500000,0.53612918,0.02145695,,
29,shrimps,2.31578898,1.00000000,0.10200000,0.10200000,5.28000021,26.3999996,0.92015147,0.20000000,,
30,"bigeye scad",2.20375991,1.00000000,0.25700000,0.25700000,1.60000002,32.9300003,0.89771521,0.04858791,,
31,halfbeaks,2.17894697,1.00000000,0.029999999,0.029999999,2.68000007,53.6599998,0.50233579,0.04994410,,
32,mugilids,2.12631607,1.00000000,0.0080000004,0.0080000004,1.10000002,20.3600006,0.66246623,0.05402751,,
33,annelids,2.05263209,1.00000000,0.77999997,0.77999997,4.59999990,25.0000000,0.97262818,0.18400000,,
34,zoobenthos,2.05263209,1.00000000,5.55900002,5.55900002,10.00000000,50.0000000,0.94884813,0.20000000,,
35,zooplankton,2.05263209,1.00000000,2.03900003,2.03900003,30.0000000,150.000000,0.94943970,0.20000000,,
36,molluscs,2.00000000,1.00000000,3.48799992,3.48799992,2.50000000,9.30000019,0.95149273,0.26881719,,
37,phytoplankton,1.00000000,1.00000000,2.62500000,2.62500000,365.000000,,0.32677540,,,
38,phytobenthos,1.00000000,1.00000000,11.4770002,11.4770002,12.5000000,,0.95005512,,,
39,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.22887810,,,
